RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,跑馬地,Turf,1200,86,1012,258,29.02,8.5,25.49
Class 4,沙田,Turf,1400,68,933,204,43.74,7.29,21.86
Class 4,沙田,Turf,1200,70,895,210,41.15,7.82,23.46
Class 4,跑馬地,Turf,1650,51,605,153,26.83,8.43,25.29
Class 3,沙田,Turf,1400,41,554,123,43.79,7.4,22.2
Class 3,沙田,Turf,1200,42,512,126,40.25,8.2,24.61
Class 3,跑馬地,Turf,1200,40,461,120,26.07,8.68,26.03
Class 3,跑馬地,Turf,1650,26,298,78,22.57,8.72,26.17
Class 3,沙田,Turf,1600,19,262,57,32.58,7.25,21.76
Class 4,沙田,Turf,1600,19,259,58,35.01,7.34,22.39
Class 5,沙田,Turf,1400,19,256,57,28.03,7.42,22.27
Class 4,沙田,Turf,1000,16,218,48,39.95,7.34,22.02
Class 4,沙田,AWT,1200,18,216,54,24.5,8.33,25.0
Class 4,沙田,AWT,1650,16,207,48,26.7,7.73,23.19
Class 5,跑馬地,Turf,1200,17,200,51,20.78,8.5,25.5
Class 3,沙田,Turf,1000,13,176,39,39.11,7.39,22.16
Class 5,跑馬地,Turf,1650,14,157,42,19.12,8.92,26.75
Class 4,跑馬地,Turf,1000,13,155,39,24.7,8.39,25.16
Class 3,沙田,AWT,1200,12,143,36,26.87,8.39,25.17
Class 3,跑馬地,Turf,1000,12,131,36,24.62,9.16,27.48
Class 5,沙田,AWT,1200,11,129,34,20.37,8.53,26.36
Class 5,沙田,Turf,1200,10,127,30,24.35,7.87,23.62
Class 2,沙田,Turf,1400,12,125,36,28.55,9.6,28.8
Class 4,跑馬地,Turf,1800,10,119,30,21.97,8.4,25.21
Class 5,沙田,Turf,1600,9,118,27,22.56,7.63,22.88
Class 5,跑馬地,Turf,1000,10,116,30,18.62,8.62,25.86
Class 3,沙田,AWT,1650,9,116,27,25.31,7.76,23.28
Class 3,跑馬地,Turf,1800,10,115,30,20.87,8.7,26.09
Class 2,沙田,Turf,1200,10,108,30,32.14,9.26,27.78
Class 4,沙田,Turf,1800,7,94,21,29.24,7.45,22.34
Class 3,沙田,Turf,1800,6,81,18,34.3,7.41,22.22
Class 2,沙田,Turf,1600,7,71,21,24.13,9.86,29.58
Class 3,沙田,Turf,2000,6,69,18,26.73,8.7,26.09
Class 4,沙田,Turf,2000,5,67,15,28.06,7.46,22.39
Class 5,沙田,AWT,1650,5,61,15,20.89,8.2,24.59
Class 2,跑馬地,Turf,1200,5,60,16,21.5,8.33,26.67
Class 4,跑馬地,Turf,2200,5,58,16,18.33,8.62,27.59
Class 5,跑馬地,Turf,1800,5,57,15,18.98,8.77,26.32
Class 5,沙田,Turf,1800,4,50,12,18.94,8.0,24.0
Class 2,跑馬地,Turf,1650,5,48,15,17.55,10.42,31.25
Class 4,沙田,AWT,1800,3,42,9,30.64,7.14,21.43
Class 5,跑馬地,Turf,2200,4,39,12,17.32,10.26,30.77
Group 3,沙田,Turf,1800,3,39,9,32.16,7.69,23.08
Class 5,沙田,AWT,1800,3,36,9,24.53,8.33,25.0
Group 1,沙田,Turf,1200,3,35,9,73.25,8.57,25.71
Group 1,沙田,Turf,1600,3,35,9,46.69,8.57,25.71
Class 2,沙田,AWT,1650,3,34,9,14.98,8.82,26.47
Group 1,沙田,Turf,2000,3,32,9,41.44,9.38,28.12
Group 2,沙田,Turf,1200,3,32,9,68.31,9.38,28.12
Class 2,沙田,AWT,1200,3,30,9,17.2,10.0,30.0
Group 2,沙田,Turf,1600,3,30,9,26.73,10.0,30.0
Class 5,沙田,Turf,2000,2,28,6,30.15,7.14,21.43
Class 2,沙田,Turf,1000,3,27,9,28.05,11.11,33.33
Group 3,沙田,Turf,1400,3,27,9,19.03,11.11,33.33
Class 1,沙田,Turf,1200,3,26,9,17.85,11.54,34.62
Griffin,沙田,Turf,1000,3,26,9,30.42,11.54,34.62
Class 2,沙田,Turf,2000,2,24,6,25.88,8.33,25.0
Class 2,跑馬地,Turf,1800,2,24,6,22.82,8.33,25.0
Group 1,跑馬地,Turf,1650,2,24,6,16.72,8.33,25.0
Class 2,沙田,Turf,1800,2,23,6,25.7,8.7,26.09
