RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,True,28,419,97,33.23,6.68,23.15,ClassVenueDistance
Class 4,沙田,Turf,1400,True,21,388,67,44.78,5.41,17.27,ClassVenueDistance
Class 4,跑馬地,Turf,1200,False,39,355,101,23.01,10.99,28.45,ClassVenueDistance
Class 4,沙田,Turf,1200,True,25,341,69,48.49,7.33,20.23,ClassVenueDistance
Class 4,沙田,Turf,1400,False,32,326,92,31.96,9.82,28.22,ClassVenueDistance
Class 4,沙田,Turf,1200,False,21,313,78,36.95,6.71,24.92,ClassVenueDistance
Class 4,跑馬地,Turf,1650,True,15,236,55,27.01,6.36,23.31,ClassVenueDistance
Class 4,跑馬地,Turf,1650,False,23,216,60,20.78,10.65,27.78,ClassVenueDistance
Class 3,沙田,Turf,1400,True,9,206,39,44.91,4.37,18.93,ClassVenueDistance
Class 3,沙田,Turf,1200,False,20,197,67,34.73,10.15,34.01,ClassVenueDistance
Class 3,跑馬地,Turf,1200,True,18,187,43,26.14,9.63,22.99,ClassVenueDistance
Class 3,沙田,Turf,1200,True,11,185,29,46.12,5.95,15.68,ClassVenueDistance
Class 3,沙田,Turf,1400,False,20,169,49,29.98,11.83,28.99,ClassVenueDistance
Class 3,跑馬地,Turf,1200,False,13,165,50,22.27,7.88,30.3,ClassVenueDistance
Class 4,沙田,AWT,1200,False,11,132,38,29.02,8.33,28.79,ClassVenueDistance
Class 5,沙田,Turf,1400,True,11,131,27,36.38,8.4,20.61,ClassVenueDistance
Class 4,沙田,Turf,1600,True,5,126,21,43.49,3.97,16.67,ClassVenueDistance
Class 4,沙田,AWT,1200,True,10,122,27,36.26,8.2,22.13,ClassVenueDistance
Class 3,跑馬地,Turf,1650,True,9,121,24,28.36,7.44,19.83,ClassVenueDistance
Class 3,跑馬地,Turf,1650,False,12,120,39,17.6,10.0,32.5,ClassVenueDistance
Class 3,沙田,Turf,1600,True,10,120,22,46.11,8.33,18.33,ClassVenueDistance
Class 4,沙田,Turf,1600,False,11,95,27,23.77,11.58,28.42,ClassVenueDistance
