RaceClass,WtBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 1,Heavy (131+),3,6,4,6.22,50.0,66.67
Class 1,Light (<=115),0,10,2,63.71,0.0,20.0
Class 1,Med-Heavy (127-130),0,2,0,16.0,0.0,0.0
Class 1,Med-Light (116-120),0,6,1,32.58,0.0,16.67
Class 1,Medium (121-126),0,6,2,18.98,0.0,33.33
Class 2,Med-Light (116-120),15,128,38,26.81,11.72,29.69
Class 2,Med-Heavy (127-130),7,62,22,23.59,11.29,35.48
Class 2,Medium (121-126),14,164,42,24.11,8.54,25.61
Class 2,Heavy (131+),7,98,19,24.6,7.14,19.39
Class 2,Light (<=115),4,60,17,25.45,6.67,28.33
Class 3,Light (<=115),11,106,20,50.55,10.38,18.87
Class 3,Med-Heavy (127-130),37,376,120,23.2,9.84,31.91
Class 3,Medium (121-126),66,809,198,32.85,8.16,24.47
Class 3,Med-Light (116-120),49,673,134,40.32,7.28,19.91
Class 3,Heavy (131+),29,422,101,20.78,6.87,23.93
Class 4,Heavy (131+),83,829,249,24.41,10.01,30.04
Class 4,Med-Heavy (127-130),91,1041,251,34.16,8.74,24.11
Class 4,Medium (121-126),93,1400,285,39.67,6.64,20.36
Class 4,Med-Light (116-120),44,682,148,34.22,6.45,21.7
Class 4,Light (<=115),3,69,11,38.8,4.35,15.94
Class 5,Med-Light (116-120),14,148,37,27.98,9.46,25.0
Class 5,Med-Heavy (127-130),23,255,55,26.4,9.02,21.57
Class 5,Medium (121-126),21,266,62,26.6,7.89,23.31
Class 5,Heavy (131+),31,438,113,22.28,7.08,25.8
Class 5,Light (<=115),3,46,6,38.06,6.52,13.04
Griffin,Medium (121-126),2,15,5,16.23,13.33,33.33
Griffin,Light (<=115),0,1,1,10.0,0.0,100.0
Group 1,Heavy (131+),2,17,6,11.54,11.76,35.29
Group 1,Med-Heavy (127-130),2,17,4,18.99,11.76,23.53
Group 1,Medium (121-126),12,125,37,62.5,9.6,29.6
Group 1,Light (<=115),0,2,0,127.5,0.0,0.0
Group 1,Med-Light (116-120),0,6,1,19.67,0.0,16.67
Group 2,Med-Heavy (127-130),3,9,5,15.21,33.33,55.56
Group 2,Light (<=115),2,11,2,55.21,18.18,18.18
Group 2,Medium (121-126),2,50,12,57.22,4.0,24.0
Group 2,Heavy (131+),0,2,0,7.45,0.0,0.0
Group 2,Med-Light (116-120),0,9,2,63.32,0.0,22.22
Group 3,Med-Light (116-120),4,13,6,21.67,30.77,46.15
Group 3,Light (<=115),2,11,2,18.47,18.18,18.18
Group 3,Med-Heavy (127-130),1,13,5,20.59,7.69,38.46
Group 3,Medium (121-126),1,25,7,17.67,4.0,28.0
Group 3,Heavy (131+),0,22,4,35.59,0.0,18.18
Unknown,Medium (121-126),3,42,9,35.85,7.14,21.43
