HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
G477,美麗多盈(G477),沙田,Turf,1800,0,1,0,-1.0,31.0,0.0,0.0,-100.0
G477,美麗多盈(G477),沙田,Turf,2000,0,1,0,-1.0,36.0,0.0,0.0,-100.0
H002,熊噹噹(H002),跑馬地,Turf,1650,0,1,0,-1.0,13.0,0.0,0.0,-100.0
H011,型到爆(H011),沙田,AWT,1650,0,1,0,-1.0,22.0,0.0,0.0,-100.0
H011,型到爆(H011),沙田,Turf,1600,0,1,0,-1.0,18.0,0.0,0.0,-100.0
H011,型到爆(H011),沙田,Turf,2000,0,1,0,-1.0,5.2,0.0,0.0,-100.0
H011,型到爆(H011),跑馬地,Turf,1650,0,1,0,-1.0,16.0,0.0,0.0,-100.0
H011,型到爆(H011),跑馬地,Turf,1800,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H018,鼓浪飛凡(H018),沙田,Turf,1200,0,1,0,-1.0,50.0,0.0,0.0,-100.0
H018,鼓浪飛凡(H018),沙田,Turf,1600,0,1,0,-1.0,74.0,0.0,0.0,-100.0
H018,鼓浪飛凡(H018),跑馬地,Turf,1200,0,1,0,-1.0,70.0,0.0,0.0,-100.0
H018,鼓浪飛凡(H018),跑馬地,Turf,1800,0,1,0,-1.0,40.0,0.0,0.0,-100.0
H027,武林至尊(H027),沙田,Turf,1400,0,1,0,-1.0,42.0,0.0,0.0,-100.0
H027,武林至尊(H027),沙田,Turf,1800,0,1,0,-1.0,6.3,0.0,0.0,-100.0
H028,嘉應勇士(H028),沙田,Turf,1000,0,1,0,-1.0,5.0,0.0,0.0,-100.0
H028,嘉應勇士(H028),跑馬地,Turf,1200,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H034,皮具大師(H034),沙田,Turf,1600,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H034,皮具大師(H034),沙田,Turf,2000,0,1,0,-1.0,10.0,0.0,0.0,-100.0
H037,有財有勢(H037),跑馬地,Turf,1200,0,1,0,-1.0,37.0,0.0,0.0,-100.0
H037,有財有勢(H037),跑馬地,Turf,1800,0,1,0,-1.0,16.0,0.0,0.0,-100.0
H041,時尚歡欣(H041),跑馬地,Turf,1200,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H041,時尚歡欣(H041),跑馬地,Turf,1650,0,1,0,-1.0,8.2,0.0,0.0,-100.0
H044,瑰麗人生(H044),沙田,Turf,1400,0,1,0,-1.0,143.0,0.0,0.0,-100.0
H057,有你有我(H057),沙田,Turf,1000,0,1,0,-1.0,24.0,0.0,0.0,-100.0
H061,開心馬(H061),跑馬地,Turf,1200,0,1,0,-1.0,91.0,0.0,0.0,-100.0
H065,三代同心(H065),跑馬地,Turf,1200,0,1,0,-1.0,46.0,0.0,0.0,-100.0
H066,美麗歡聲(H066),沙田,AWT,1800,0,1,1,-1.0,14.0,0.0,100.0,-100.0
H066,美麗歡聲(H066),跑馬地,Turf,1800,0,1,0,-1.0,5.9,0.0,0.0,-100.0
H069,超霸勝(H069),沙田,AWT,1200,0,1,0,-1.0,22.0,0.0,0.0,-100.0
H069,超霸勝(H069),沙田,Turf,1200,0,1,0,-1.0,23.0,0.0,0.0,-100.0
H070,建測羣英(H070),跑馬地,Turf,1800,0,1,0,-1.0,7.9,0.0,0.0,-100.0
H081,水晶酒杯(H081),沙田,Turf,1200,0,1,1,-1.0,55.0,0.0,100.0,-100.0
H081,水晶酒杯(H081),跑馬地,Turf,1200,0,1,0,-1.0,33.0,0.0,0.0,-100.0
H087,獎星(H087),沙田,Turf,1800,0,1,0,-1.0,28.0,0.0,0.0,-100.0
H092,八駿巨昇(H092),沙田,AWT,1200,0,1,0,-1.0,38.0,0.0,0.0,-100.0
H092,八駿巨昇(H092),沙田,Turf,1200,0,1,0,-1.0,55.0,0.0,0.0,-100.0
H106,金德義(H106),沙田,Turf,1600,0,1,0,-1.0,11.0,0.0,0.0,-100.0
H106,金德義(H106),沙田,Turf,2000,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H106,金德義(H106),跑馬地,Turf,1650,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H109,超超比(H109),沙田,AWT,1650,0,1,0,-1.0,35.0,0.0,0.0,-100.0
H109,超超比(H109),跑馬地,Turf,1800,0,1,0,-1.0,12.0,0.0,0.0,-100.0
H113,亞機拉(H113),沙田,Turf,1200,0,1,0,-1.0,58.0,0.0,0.0,-100.0
H115,紅運帝王(H115),沙田,Turf,1400,0,1,0,-1.0,149.0,0.0,0.0,-100.0
H116,大學生(H116),沙田,Turf,1400,0,1,0,-1.0,78.0,0.0,0.0,-100.0
H117,飛鷹翱翔(H117),沙田,Turf,1000,0,1,0,-1.0,14.0,0.0,0.0,-100.0
H120,精彩動力(H120),沙田,AWT,1200,0,1,0,-1.0,42.0,0.0,0.0,-100.0
H120,精彩動力(H120),沙田,AWT,1800,0,1,0,-1.0,6.5,0.0,0.0,-100.0
H120,精彩動力(H120),跑馬地,Turf,1650,0,1,0,-1.0,67.0,0.0,0.0,-100.0
H122,飛輪步(H122),沙田,AWT,1650,0,1,0,-1.0,40.0,0.0,0.0,-100.0
H123,特別美麗(H123),沙田,AWT,1650,0,1,0,-1.0,4.1,0.0,0.0,-100.0
H123,特別美麗(H123),沙田,Turf,1400,0,1,0,-1.0,5.7,0.0,0.0,-100.0
H123,特別美麗(H123),沙田,Turf,1800,0,1,1,-1.0,3.5,0.0,100.0,-100.0
H123,特別美麗(H123),跑馬地,Turf,1650,0,1,0,-1.0,10.0,0.0,0.0,-100.0
