RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,15-28d,40,412,116,26.34,9.71,28.16,ClassVenueDistance
Class 4,沙田,Turf,1400,15-28d,29,375,86,38.15,7.73,22.93,ClassVenueDistance
Class 4,沙田,Turf,1200,15-28d,18,290,67,40.36,6.21,23.1,ClassVenueDistance
Class 4,跑馬地,Turf,1650,15-28d,20,248,62,22.95,8.06,25.0,ClassVenueDistance
Class 3,跑馬地,Turf,1200,15-28d,17,190,51,25.54,8.95,26.84,ClassVenueDistance
Class 3,沙田,Turf,1200,15-28d,15,179,49,39.47,8.38,27.37,ClassVenueDistance
Class 3,沙田,Turf,1400,15-28d,15,163,35,34.88,9.2,21.47,ClassVenueDistance
Class 4,沙田,Turf,1400,29-56d,14,152,30,35.25,9.21,19.74,ClassVenueDistance
Class 4,沙田,Turf,1200,29-56d,13,145,34,40.64,8.97,23.45,ClassVenueDistance
Class 4,跑馬地,Turf,1200,29-56d,5,141,31,31.11,3.55,21.99,ClassVenueDistance
Class 4,沙田,AWT,1200,15-28d,12,132,39,30.33,9.09,29.55,ClassVenueDistance
Class 3,跑馬地,Turf,1650,15-28d,12,127,34,22.17,9.45,26.77,ClassVenueDistance
Class 5,沙田,Turf,1400,15-28d,7,120,24,32.89,5.83,20.0,ClassVenueDistance
Class 3,沙田,Turf,1600,15-28d,11,109,27,36.92,10.09,24.77,ClassVenueDistance
Class 4,跑馬地,Turf,1200,<=14d,12,108,27,29.46,11.11,25.0,ClassVenueDistance
Class 4,沙田,Turf,1600,15-28d,10,101,24,38.63,9.9,23.76,ClassVenueDistance
Class 4,沙田,AWT,1650,15-28d,7,89,18,33.95,7.87,20.22,ClassVenueDistance
Class 3,沙田,Turf,1200,29-56d,9,88,22,29.04,10.23,25.0,ClassVenueDistance
Class 4,沙田,Turf,1400,<=14d,5,86,22,41.48,5.81,25.58,ClassVenueDistance
Class 3,沙田,Turf,1400,29-56d,5,82,25,28.99,6.1,30.49,ClassVenueDistance
Class 4,跑馬地,Turf,1650,<=14d,5,79,19,22.11,6.33,24.05,ClassVenueDistance
Class 4,沙田,Turf,1200,<=14d,1,79,15,45.19,1.27,18.99,ClassVenueDistance
Class 4,跑馬地,Turf,1650,29-56d,7,76,19,25.64,9.21,25.0,ClassVenueDistance
Class 3,跑馬地,Turf,1200,<=14d,7,75,19,21.57,9.33,25.33,ClassVenueDistance
Class 4,沙田,Turf,1200,57-90d,9,73,18,47.29,12.33,24.66,ClassVenueDistance
Class 3,沙田,AWT,1200,15-28d,8,67,19,23.57,11.94,28.36,ClassVenueDistance
