Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
鍾易禮,告東尼,14,173,30,-76.3,41.05,8.09,17.34,-44.1
田泰安,桂福特,12,122,38,-22.799999999999997,20.25,9.84,31.15,-18.69
艾兆禮,蔡約翰,17,121,35,-6.5,20.23,14.05,28.93,-5.37
黃智弘,方嘉柏,16,113,33,32.900000000000006,25.99,14.16,29.2,29.12
艾道拿,蔡約翰,6,110,31,-28.599999999999998,29.05,5.45,28.18,-26.0
何澤堯,呂健威,13,104,36,-12.0,24.08,12.5,34.62,-11.54
班德禮,大衛希斯,11,93,22,-11.2,39.57,11.83,23.66,-12.04
霍宏聲,廖康銘,7,91,25,-50.4,17.13,7.69,27.47,-55.38
梁家俊,羅富全,8,89,26,-8.600000000000001,26.29,8.99,29.21,-9.66
希威森,廖康銘,7,88,24,-33.6,20.08,7.95,27.27,-38.18
潘明輝,賀賢,5,84,19,60.7,36.89,5.95,22.62,72.26
梁家俊,巫偉傑,7,81,14,65.1,49.69,8.64,17.28,80.37
楊明綸,大衛希斯,3,78,16,-63.5,58.96,3.85,20.51,-81.41
周俊樂,巫偉傑,10,76,22,-29.0,36.18,13.16,28.95,-38.16
奧爾民,賀賢,6,72,18,51.6,33.8,8.33,25.0,71.67
蔡明紹,巫偉傑,3,67,17,-49.2,36.48,4.48,25.37,-73.43
潘頓,大衛希斯,16,61,27,-4.7,6.73,26.23,44.26,-7.7
莫雷拉,方嘉柏,10,61,20,6.4,8.8,16.39,32.79,10.49
艾兆禮,廖康銘,9,60,22,1.299999999999999,17.28,15.0,36.67,2.17
何澤堯,方嘉柏,7,57,16,-36.0,21.02,12.28,28.07,-63.16
潘明輝,羅富全,6,57,13,25.7,37.27,10.53,22.81,45.09
金誠剛,丁冠豪,2,54,19,-6.8,29.34,3.7,35.19,-12.59
霍宏聲,游達榮,5,53,12,71.8,25.47,9.43,22.64,135.47
何澤堯,文家良,3,53,9,-23.0,34.16,5.66,16.98,-43.4
布文,韋達,3,53,14,-41.1,16.09,5.66,26.42,-77.55
蔡明紹,告東尼,3,53,12,-29.5,26.52,5.66,22.64,-55.66
奧爾民,徐雨石,5,52,15,-2.3999999999999986,39.45,9.62,28.85,-4.62
布文,蔡約翰,4,51,22,-22.0,20.3,7.84,43.14,-43.14
布文,沈集成,10,48,20,45.7,16.89,20.83,41.67,95.21
艾兆禮,伍鵬志,4,48,11,-22.9,31.07,8.33,22.92,-47.71
潘明輝,姚本輝,3,48,11,1.4000000000000004,30.46,6.25,22.92,2.92
周俊樂,葉楚航,1,47,5,-29.0,40.16,2.13,10.64,-61.7
金誠剛,姚本輝,3,45,14,-34.1,33.68,6.67,31.11,-75.78
潘頓,羅富全,5,44,18,-26.0,4.67,11.36,40.91,-59.09
艾道拿,大衛希斯,3,44,14,4.899999999999999,21.83,6.82,31.82,11.14
梁家俊,文家良,2,44,8,117.9,57.83,4.55,18.18,267.95
希威森,桂福特,4,43,13,-6.6,25.83,9.3,30.23,-15.35
潘頓,賀賢,4,43,14,-23.6,6.46,9.3,32.56,-54.88
希威森,大衛希斯,3,43,9,-19.4,33.88,6.98,20.93,-45.12
金誠剛,沈集成,2,43,8,6.1,64.4,4.65,18.6,14.19
蔡明紹,蘇偉賢,1,43,3,-34.8,31.07,2.33,6.98,-80.93
金誠剛,鄭俊偉,1,43,4,-32.0,73.06,2.33,9.3,-74.42
周俊樂,游達榮,6,41,15,-2.200000000000001,22.0,14.63,36.59,-5.37
金誠剛,游達榮,1,41,2,-29.0,60.23,2.44,4.88,-70.73
巴度,黎昭昇,5,40,12,32.1,29.18,12.5,30.0,80.25
奧爾民,蘇偉賢,4,40,9,48.1,47.9,10.0,22.5,120.25
霍宏聲,大衛希斯,3,40,6,12.199999999999998,39.62,7.5,15.0,30.5
楊明綸,鄭俊偉,1,40,5,-21.0,61.57,2.5,12.5,-52.5
田泰安,伍鵬志,0,40,5,-40.0,35.82,0.0,12.5,-100.0
巴度,廖康銘,4,39,12,34.7,17.82,10.26,30.77,88.97
巴度,方嘉柏,2,38,8,-22.4,28.09,5.26,21.05,-58.95
希威森,韋達,2,38,7,-22.3,33.8,5.26,18.42,-58.68
布文,方嘉柏,6,37,13,9.2,9.76,16.22,35.14,24.86
潘頓,告東尼,4,37,15,-15.6,6.48,10.81,40.54,-42.16
巴度,羅富全,2,37,10,-23.3,29.95,5.41,27.03,-62.97
潘頓,呂健威,7,36,22,-7.3999999999999995,4.0,19.44,61.11,-20.56
班德禮,蘇偉賢,5,36,16,6.6,18.84,13.89,44.44,18.33
田泰安,蔡約翰,3,36,11,7.0,18.19,8.33,30.56,19.44
蔡明紹,葉楚航,1,36,10,-5.0,32.6,2.78,27.78,-13.89
潘頓,黎昭昇,6,35,13,-18.0,5.67,17.14,37.14,-51.43
布文,告東尼,4,35,8,-6.6,12.52,11.43,22.86,-18.86
田泰安,大衛希斯,3,35,5,-10.4,26.8,8.57,14.29,-29.71
希威森,呂健威,1,35,5,-28.6,34.47,2.86,14.29,-81.71
梁家俊,鄭俊偉,4,34,10,3.3999999999999986,39.61,11.76,29.41,10.0
周俊樂,文家良,3,34,6,24.7,58.82,8.82,17.65,72.65
楊明綸,蘇偉賢,1,34,1,-13.0,73.83,2.94,2.94,-38.24
潘頓,文家良,9,33,21,-5.0,3.57,27.27,63.64,-15.15
霍宏聲,韋達,5,33,8,22.6,27.52,15.15,24.24,68.48
潘明輝,巫偉傑,4,33,10,-3.8000000000000007,25.63,12.12,30.3,-11.52
巴度,告東尼,1,33,6,-26.2,45.52,3.03,18.18,-79.39
班德禮,丁冠豪,1,33,4,-19.0,28.97,3.03,12.12,-57.58
潘明輝,文家良,0,33,2,-33.0,50.33,0.0,6.06,-100.0
潘頓,廖康銘,10,32,19,-0.7999999999999998,4.54,31.25,59.38,-2.5
艾兆禮,賀賢,7,32,14,68.3,23.14,21.88,43.75,213.44
班德禮,沈集成,2,32,4,-15.200000000000001,44.86,6.25,12.5,-47.5
艾道拿,黎昭昇,2,32,8,-18.9,41.86,6.25,25.0,-59.06
潘頓,沈集成,10,31,17,3.5999999999999996,5.69,32.26,54.84,11.61
紀仁安,徐雨石,5,31,13,7.7,13.26,16.13,41.94,24.84
布文,大衛希斯,4,31,8,-11.7,17.95,12.9,25.81,-37.74
黃寶妮,文家良,4,31,9,46.900000000000006,32.48,12.9,29.03,151.29
班德禮,韋達,3,31,8,-17.7,33.0,9.68,25.81,-57.1
田泰安,葉楚航,3,31,4,-1.6999999999999993,27.31,9.68,12.9,-5.48
艾兆禮,告東尼,3,31,10,6.7,20.09,9.68,32.26,21.61
麥文堅,蔡約翰,3,31,9,19.1,24.47,9.68,29.03,61.61
潘明輝,鄭俊偉,4,30,7,47.9,33.31,13.33,23.33,159.67
楊明綸,丁冠豪,2,30,8,57.0,37.29,6.67,26.67,190.0
周俊樂,伍鵬志,1,30,4,-22.7,34.91,3.33,13.33,-75.67
潘頓,蘇偉賢,6,29,12,-9.3,4.04,20.69,41.38,-32.07
周俊樂,呂健威,4,29,12,8.399999999999999,15.48,13.79,41.38,28.97
希威森,沈集成,4,29,11,29.3,28.13,13.79,37.93,101.03
黃智弘,沈集成,3,29,9,62.8,24.27,10.34,31.03,216.55
巴度,巫偉傑,1,29,7,-25.2,36.22,3.45,24.14,-86.9
潘大衛,方嘉柏,0,29,4,-29.0,43.45,0.0,13.79,-100.0
