Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡約翰,沙田,Turf,1200,4,104,32,-57.4,32.2,3.85,30.77,-55.19
大衛希斯,沙田,Turf,1200,10,99,20,-51.8,44.0,10.1,20.2,-52.32
呂健威,沙田,Turf,1400,11,95,32,-4.099999999999999,38.15,11.58,33.68,-4.32
呂健威,沙田,Turf,1200,12,94,37,-29.200000000000003,27.97,12.77,39.36,-31.06
大衛希斯,沙田,Turf,1400,8,93,16,-5.100000000000002,46.37,8.6,17.2,-5.48
巫偉傑,沙田,Turf,1400,11,91,24,-34.6,35.0,12.09,26.37,-38.02
蔡約翰,沙田,Turf,1400,9,89,29,5.300000000000001,26.5,10.11,32.58,5.96
蘇偉賢,沙田,Turf,1400,9,89,30,-43.5,26.31,10.11,33.71,-48.88
羅富全,沙田,Turf,1200,9,88,16,16.1,50.09,10.23,18.18,18.3
韋達,跑馬地,Turf,1200,12,87,26,-15.700000000000001,17.31,13.79,29.89,-18.05
方嘉柏,跑馬地,Turf,1200,18,85,35,6.5,15.71,21.18,41.18,7.65
告東尼,沙田,Turf,1400,8,85,16,-27.6,33.67,9.41,18.82,-32.47
大衛希斯,跑馬地,Turf,1200,15,83,23,4.799999999999998,27.54,18.07,27.71,5.78
文家良,沙田,Turf,1200,10,83,25,160.9,47.47,12.05,30.12,193.86
沈集成,跑馬地,Turf,1200,9,82,22,66.7,26.39,10.98,26.83,81.34
廖康銘,沙田,Turf,1200,6,80,26,24.8,25.63,7.5,32.5,31.0
游達榮,沙田,Turf,1400,5,80,11,-5.5,45.77,6.25,13.75,-6.88
羅富全,沙田,Turf,1400,7,79,21,1.3,23.35,8.86,26.58,1.65
巫偉傑,沙田,Turf,1200,6,78,20,-26.3,40.39,7.69,25.64,-33.72
文家良,沙田,Turf,1400,3,78,9,-45.0,62.44,3.85,11.54,-57.69
廖康銘,跑馬地,Turf,1200,4,77,17,-56.0,18.62,5.19,22.08,-72.73
賀賢,沙田,Turf,1400,5,76,17,-40.6,25.81,6.58,22.37,-53.42
黎昭昇,沙田,Turf,1200,12,75,20,8.299999999999999,31.07,16.0,26.67,11.07
蘇偉賢,沙田,Turf,1200,9,75,21,91.6,41.96,12.0,28.0,122.13
伍鵬志,沙田,Turf,1400,4,75,18,-59.8,34.96,5.33,24.0,-79.73
葉楚航,沙田,Turf,1200,2,75,11,-69.6,58.04,2.67,14.67,-92.8
巫偉傑,跑馬地,Turf,1200,7,72,25,-21.5,24.78,9.72,34.72,-29.86
蔡約翰,跑馬地,Turf,1200,7,72,23,-17.4,18.97,9.72,31.94,-24.17
沈集成,沙田,Turf,1200,6,71,15,31.8,45.66,8.45,21.13,44.79
方嘉柏,沙田,Turf,1400,3,71,16,-33.6,36.97,4.23,22.54,-47.32
廖康銘,沙田,Turf,1400,10,68,17,-33.0,21.43,14.71,25.0,-48.53
黎昭昇,跑馬地,Turf,1200,4,67,17,-37.5,26.88,5.97,25.37,-55.97
呂健威,跑馬地,Turf,1200,5,66,21,-40.7,27.55,7.58,31.82,-61.67
伍鵬志,沙田,Turf,1200,3,66,6,-53.8,50.13,4.55,9.09,-81.52
羅富全,跑馬地,Turf,1200,5,65,17,-4.0,24.95,7.69,26.15,-6.15
告東尼,跑馬地,Turf,1200,5,64,16,-27.599999999999998,24.36,7.81,25.0,-43.12
賀賢,沙田,Turf,1200,4,64,25,-15.1,32.44,6.25,39.06,-23.59
巫偉傑,跑馬地,Turf,1650,7,63,14,-17.9,25.65,11.11,22.22,-28.41
游達榮,跑馬地,Turf,1650,9,62,21,23.9,22.5,14.52,33.87,38.55
桂福特,沙田,Turf,1400,3,62,16,6.0,25.74,4.84,25.81,9.68
鄭俊偉,跑馬地,Turf,1200,3,61,12,-32.1,35.08,4.92,19.67,-52.62
姚本輝,沙田,Turf,1200,7,60,20,-28.3,27.45,11.67,33.33,-47.17
姚本輝,沙田,Turf,1400,6,60,19,7.199999999999999,34.48,10.0,31.67,12.0
姚本輝,跑馬地,Turf,1200,3,60,14,-50.3,25.7,5.0,23.33,-83.83
徐雨石,跑馬地,Turf,1200,3,60,7,-37.4,36.32,5.0,11.67,-62.33
游達榮,沙田,Turf,1200,3,60,12,18.9,32.04,5.0,20.0,31.5
告東尼,沙田,Turf,1200,1,60,4,-55.2,70.44,1.67,6.67,-92.0
大衛希斯,跑馬地,Turf,1650,2,59,16,-50.6,19.12,3.39,27.12,-85.76
葉楚航,沙田,Turf,1400,4,58,7,3.7,43.86,6.9,12.07,6.38
沈集成,跑馬地,Turf,1650,11,55,16,44.2,21.78,20.0,29.09,80.36
告東尼,跑馬地,Turf,1650,6,55,10,-12.700000000000001,14.78,10.91,18.18,-23.09
文家良,跑馬地,Turf,1200,2,55,13,-45.0,33.21,3.64,23.64,-81.82
伍鵬志,跑馬地,Turf,1200,1,55,11,-47.7,35.34,1.82,20.0,-86.73
桂福特,沙田,Turf,1200,6,54,14,5.7,28.06,11.11,25.93,10.56
方嘉柏,沙田,Turf,1200,5,54,10,-9.499999999999998,31.23,9.26,18.52,-17.59
方嘉柏,跑馬地,Turf,1650,11,53,18,39.0,18.22,20.75,33.96,73.58
廖康銘,跑馬地,Turf,1650,7,53,21,-8.899999999999999,9.29,13.21,39.62,-16.79
葉楚航,跑馬地,Turf,1200,1,52,5,-48.7,44.05,1.92,9.62,-93.65
韋達,沙田,Turf,1400,2,51,14,-40.9,45.95,3.92,27.45,-80.2
鄭俊偉,沙田,Turf,1200,1,51,9,-44.5,69.18,1.96,17.65,-87.25
賀賢,跑馬地,Turf,1200,3,50,14,-32.1,28.76,6.0,28.0,-64.2
韋達,沙田,Turf,1200,2,49,11,-39.7,31.63,4.08,22.45,-81.02
徐雨石,沙田,Turf,1200,1,49,2,-35.0,72.19,2.04,4.08,-71.43
廖康銘,沙田,Turf,1600,7,48,14,-20.6,25.87,14.58,29.17,-42.92
鄭俊偉,沙田,Turf,1400,0,48,3,-48.0,60.84,0.0,6.25,-100.0
羅富全,跑馬地,Turf,1650,3,47,10,-30.6,16.69,6.38,21.28,-65.11
沈集成,沙田,Turf,1400,0,47,3,-47.0,58.04,0.0,6.38,-100.0
蔡約翰,沙田,Turf,1600,6,46,12,-6.5,23.55,13.04,26.09,-14.13
游達榮,跑馬地,Turf,1200,3,46,9,-24.1,20.42,6.52,19.57,-52.39
黎昭昇,沙田,Turf,1400,0,46,6,-46.0,49.95,0.0,13.04,-100.0
大衛希斯,沙田,Turf,1600,1,45,11,-33.0,37.3,2.22,24.44,-73.33
呂健威,跑馬地,Turf,1650,4,44,16,46.0,18.92,9.09,36.36,104.55
蘇偉賢,跑馬地,Turf,1200,1,44,4,-31.0,51.48,2.27,9.09,-70.45
韋達,跑馬地,Turf,1650,0,44,12,-44.0,32.22,0.0,27.27,-100.0
姚本輝,跑馬地,Turf,1650,4,43,13,-0.20000000000000018,15.74,9.3,30.23,-0.47
呂健威,沙田,Turf,1600,3,43,11,-27.2,32.68,6.98,25.58,-63.26
姚本輝,沙田,Turf,1600,3,43,10,-24.1,25.24,6.98,23.26,-56.05
丁冠豪,沙田,Turf,1400,3,41,9,-22.4,41.73,7.32,21.95,-54.63
伍鵬志,跑馬地,Turf,1650,2,41,6,19.0,20.3,4.88,14.63,46.34
告東尼,沙田,Turf,1600,2,41,8,-22.1,43.74,4.88,19.51,-53.9
蔡約翰,跑馬地,Turf,1650,3,40,11,-20.7,22.49,7.5,27.5,-51.75
桂福特,跑馬地,Turf,1200,2,38,10,-22.6,24.5,5.26,26.32,-59.47
羅富全,沙田,Turf,1600,2,37,10,-28.5,40.7,5.41,27.03,-77.03
丁冠豪,跑馬地,Turf,1650,1,35,6,-26.1,29.0,2.86,17.14,-74.57
游達榮,沙田,Turf,1600,1,35,5,-30.6,50.07,2.86,14.29,-87.43
丁冠豪,沙田,Turf,1200,2,34,6,-26.5,49.46,5.88,17.65,-77.94
巫偉傑,沙田,Turf,1600,0,33,4,-33.0,40.1,0.0,12.12,-100.0
文家良,跑馬地,Turf,1650,4,32,8,55.3,32.03,12.5,25.0,172.81
黎昭昇,跑馬地,Turf,1650,1,32,6,3.0,29.1,3.12,18.75,9.38
沈集成,沙田,AWT,1200,5,31,11,-1.5,23.55,16.13,35.48,-4.84
廖康銘,沙田,AWT,1200,4,31,12,-0.8999999999999986,14.68,12.9,38.71,-2.9
方嘉柏,沙田,AWT,1200,3,31,7,2.1999999999999993,20.46,9.68,22.58,7.1
大衛希斯,沙田,AWT,1200,0,31,4,-31.0,45.47,0.0,12.9,-100.0
文家良,沙田,AWT,1200,4,30,10,-8.9,19.07,13.33,33.33,-29.67
丁冠豪,跑馬地,Turf,1200,3,30,7,102.5,32.95,10.0,23.33,341.67
伍鵬志,沙田,Turf,1600,3,30,5,12.8,28.11,10.0,16.67,42.67
方嘉柏,沙田,Turf,1600,2,30,6,-3.9000000000000004,15.88,6.67,20.0,-13.0
羅富全,沙田,AWT,1200,1,30,8,-27.8,16.93,3.33,26.67,-92.67
大衛希斯,沙田,Turf,1000,1,29,4,-13.0,41.29,3.45,13.79,-44.83
徐雨石,跑馬地,Turf,1650,1,29,8,-18.0,33.67,3.45,27.59,-62.07
沈集成,沙田,AWT,1650,1,29,12,-24.1,17.26,3.45,41.38,-83.1
文家良,沙田,Turf,1600,2,28,6,-19.2,41.41,7.14,21.43,-68.57
蔡約翰,沙田,Turf,1000,6,27,11,49.3,26.84,22.22,40.74,182.59
賀賢,沙田,AWT,1200,4,27,9,6.300000000000001,23.51,14.81,33.33,23.33
徐雨石,沙田,Turf,1400,1,27,3,-20.2,69.83,3.7,11.11,-74.81
蘇偉賢,沙田,Turf,1600,1,27,4,-22.4,31.79,3.7,14.81,-82.96
方嘉柏,跑馬地,Turf,1000,4,26,11,-0.5,12.95,15.38,42.31,-1.92
大衛希斯,沙田,AWT,1650,3,26,7,-8.9,47.46,11.54,26.92,-34.23
伍鵬志,沙田,AWT,1650,2,26,4,-11.5,28.28,7.69,15.38,-44.23
徐雨石,沙田,AWT,1200,2,26,9,-9.4,38.25,7.69,34.62,-36.15
賀賢,沙田,Turf,1000,3,25,10,50.4,37.13,12.0,40.0,201.6
葉楚航,沙田,AWT,1200,2,25,4,-4.6,32.72,8.0,16.0,-18.4
韋達,沙田,Turf,1600,2,25,2,-7.199999999999999,76.76,8.0,8.0,-28.8
告東尼,跑馬地,Turf,1800,1,25,10,-9.0,12.72,4.0,40.0,-36.0
葉楚航,跑馬地,Turf,1650,1,25,4,2.0,42.36,4.0,16.0,8.0
蘇偉賢,跑馬地,Turf,1650,1,25,5,-11.0,29.63,4.0,20.0,-44.0
告東尼,沙田,AWT,1200,4,24,9,5.199999999999999,23.56,16.67,37.5,21.67
賀賢,沙田,Turf,1600,3,24,3,99.7,21.63,12.5,12.5,415.42
游達榮,沙田,AWT,1650,2,24,7,-5.0,19.2,8.33,29.17,-20.83
鄭俊偉,沙田,Turf,1000,2,24,7,29.0,50.04,8.33,29.17,120.83
告東尼,沙田,Turf,1000,1,24,3,-2.0,31.62,4.17,12.5,-8.33
韋達,沙田,Turf,1000,1,24,7,-19.0,18.93,4.17,29.17,-79.17
韋達,跑馬地,Turf,1000,1,24,4,-14.0,27.47,4.17,16.67,-58.33
廖康銘,沙田,AWT,1650,5,23,12,0.9999999999999996,9.13,21.74,52.17,4.35
徐雨石,跑馬地,Turf,1000,4,23,9,20.6,21.17,17.39,39.13,89.57
蔡約翰,沙田,AWT,1200,3,23,4,12.3,20.59,13.04,17.39,53.48
告東尼,沙田,Turf,1800,2,23,5,-2.9000000000000004,13.6,8.7,21.74,-12.61
方嘉柏,沙田,AWT,1650,2,23,4,-16.5,27.78,8.7,17.39,-71.74
方嘉柏,跑馬地,Turf,1800,2,23,6,-11.899999999999999,12.48,8.7,26.09,-51.74
桂福特,沙田,Turf,1600,2,23,7,-2.0,19.53,8.7,30.43,-8.7
鄭俊偉,沙田,AWT,1200,2,23,4,1.4000000000000004,23.54,8.7,17.39,6.09
鄭俊偉,沙田,AWT,1650,2,23,3,2.0,52.13,8.7,13.04,8.7
伍鵬志,跑馬地,Turf,1000,1,23,6,75.0,30.29,4.35,26.09,326.09
告東尼,沙田,AWT,1650,1,23,5,-19.5,23.65,4.35,21.74,-84.78
蘇偉賢,沙田,Turf,1000,0,23,2,-23.0,82.67,0.0,8.7,-100.0
賀賢,跑馬地,Turf,1650,0,23,4,-23.0,21.55,0.0,17.39,-100.0
文家良,沙田,Turf,1000,4,22,6,7.1,38.07,18.18,27.27,32.27
告東尼,沙田,Turf,2000,2,22,7,-4.300000000000001,25.47,9.09,31.82,-19.55
廖康銘,沙田,Turf,1000,2,22,5,-11.5,27.85,9.09,22.73,-52.27
葉楚航,沙田,AWT,1650,1,22,2,-7.0,36.95,4.55,9.09,-31.82
伍鵬志,沙田,Turf,1800,3,21,5,11.0,22.97,14.29,23.81,52.38
大衛希斯,沙田,Turf,1800,3,21,6,12.9,20.01,14.29,28.57,61.43
姚本輝,沙田,AWT,1200,3,21,8,-6.8,24.6,14.29,38.1,-32.38
廖康銘,跑馬地,Turf,1000,2,21,3,9.2,26.73,9.52,14.29,43.81
呂健威,沙田,Turf,1000,4,20,4,-5.8,30.38,20.0,20.0,-29.0
