Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
何澤堯,丁冠豪,0,3,1,0.0,33.3
何澤堯,伍鵬志,5,36,14,13.9,38.9
何澤堯,呂健威,6,63,12,9.5,19.0
何澤堯,告東尼,0,3,1,0.0,33.3
何澤堯,姚本輝,0,3,0,0.0,0.0
何澤堯,容天鵬,0,1,1,0.0,100.0
何澤堯,巫偉傑,0,3,0,0.0,0.0
何澤堯,徐雨石,1,5,3,20.0,60.0
何澤堯,文家良,2,11,6,18.2,54.5
何澤堯,方嘉柏,4,29,14,13.8,48.3
何澤堯,沈集成,1,17,8,5.9,47.1
何澤堯,游達榮,1,11,5,9.1,45.5
何澤堯,羅富全,1,12,4,8.3,33.3
何澤堯,葉楚航,1,6,2,16.7,33.3
何澤堯,蘇偉賢,4,29,6,13.8,20.7
何澤堯,鄭俊偉,1,4,2,25.0,50.0
何澤堯,黎昭昇,0,20,1,0.0,5.0
司徒岳,伊比軒,0,1,0,0.0,0.0
周俊樂,丁冠豪,1,21,5,4.8,23.8
周俊樂,伍鵬志,2,19,4,10.5,21.1
周俊樂,呂健威,1,18,4,5.6,22.2
周俊樂,告東尼,0,6,1,0.0,16.7
周俊樂,大衛希斯,0,9,1,0.0,11.1
周俊樂,姚本輝,4,38,17,10.5,44.7
周俊樂,容天鵬,3,103,10,2.9,9.7
周俊樂,巫偉傑,4,23,5,17.4,21.7
周俊樂,徐雨石,0,3,0,0.0,0.0
周俊樂,文家良,1,10,1,10.0,10.0
周俊樂,沈集成,2,45,9,4.4,20.0
周俊樂,游達榮,0,1,0,0.0,0.0
周俊樂,羅富全,1,12,1,8.3,8.3
周俊樂,葉楚航,3,41,6,7.3,14.6
周俊樂,蘇偉賢,0,7,0,0.0,0.0
周俊樂,鄭俊偉,1,9,1,11.1,11.1
周俊樂,韋達,0,7,0,0.0,0.0
周俊樂,黎昭昇,0,1,0,0.0,0.0
奧爾民,丁冠豪,1,2,1,50.0,50.0
奧爾民,伍鵬志,0,22,4,0.0,18.2
奧爾民,呂健威,1,18,3,5.6,16.7
奧爾民,告東尼,0,9,1,0.0,11.1
奧爾民,大衛希斯,0,7,1,0.0,14.3
奧爾民,姚本輝,2,28,9,7.1,32.1
奧爾民,容天鵬,0,6,1,0.0,16.7
奧爾民,巫偉傑,0,1,0,0.0,0.0
奧爾民,廖康銘,0,9,0,0.0,0.0
奧爾民,徐雨石,4,27,11,14.8,40.7
奧爾民,文家良,0,7,0,0.0,0.0
奧爾民,方嘉柏,1,3,1,33.3,33.3
奧爾民,沈集成,0,14,2,0.0,14.3
奧爾民,游達榮,0,3,0,0.0,0.0
奧爾民,羅富全,0,5,0,0.0,0.0
奧爾民,葉楚航,0,3,0,0.0,0.0
奧爾民,蔡約翰,0,14,1,0.0,7.1
奧爾民,蘇偉賢,2,16,5,12.5,31.2
奧爾民,賀賢,0,9,2,0.0,22.2
奧爾民,鄭俊偉,1,2,1,50.0,50.0
奧爾民,韋達,1,26,4,3.8,15.4
奧爾民,黎昭昇,0,5,0,0.0,0.0
川田將雅,中內田充正,0,2,1,0.0,50.0
川田將雅,伍鵬志,0,1,0,0.0,0.0
川田將雅,廖康銘,0,1,0,0.0,0.0
川田將雅,杉山晴紀,0,2,0,0.0,0.0
川田將雅,賀賢,0,2,0,0.0,0.0
川田將雅,高野友和,0,1,0,0.0,0.0
巫顯東,丁冠豪,0,1,0,0.0,0.0
巫顯東,呂健威,1,14,5,7.1,35.7
巫顯東,告東尼,0,2,0,0.0,0.0
巫顯東,姚本輝,0,8,0,0.0,0.0
巫顯東,容天鵬,0,6,0,0.0,0.0
巫顯東,巫偉傑,0,3,0,0.0,0.0
巫顯東,徐雨石,0,17,0,0.0,0.0
巫顯東,文家良,0,2,0,0.0,0.0
巫顯東,沈集成,2,37,4,5.4,10.8
巫顯東,游達榮,0,2,0,0.0,0.0
巫顯東,羅富全,1,4,1,25.0,25.0
巫顯東,蔡約翰,0,1,0,0.0,0.0
巫顯東,蘇偉賢,0,2,0,0.0,0.0
巫顯東,賀賢,0,1,0,0.0,0.0
巫顯東,鄭俊偉,0,19,2,0.0,10.5
巫顯東,黎昭昇,0,1,0,0.0,0.0
巴度,丁冠豪,0,3,0,0.0,0.0
巴度,伍鵬志,1,31,5,3.2,16.1
巴度,呂健威,0,2,0,0.0,0.0
巴度,告東尼,6,61,18,9.8,29.5
巴度,大衛希斯,1,8,2,12.5,25.0
巴度,姚本輝,0,21,8,0.0,38.1
巴度,容天鵬,2,18,4,11.1,22.2
巴度,巫偉傑,0,9,2,0.0,22.2
巴度,廖康銘,6,49,20,12.2,40.8
巴度,徐雨石,0,15,0,0.0,0.0
巴度,文家良,3,24,6,12.5,25.0
巴度,方嘉柏,3,42,10,7.1,23.8
巴度,沈集成,0,13,2,0.0,15.4
巴度,游達榮,3,13,6,23.1,46.2
巴度,羅富全,1,49,9,2.0,18.4
巴度,葉楚航,0,3,0,0.0,0.0
巴度,蔡約翰,2,72,10,2.8,13.9
巴度,蘇偉賢,1,18,3,5.6,16.7
巴度,賀賢,1,38,7,2.6,18.4
巴度,韋達,0,11,0,0.0,0.0
巴度,黎昭昇,1,19,4,5.3,21.1
巴米高,伍鵬志,1,4,1,25.0,25.0
巴米高,呂健威,0,1,1,0.0,100.0
巴米高,告東尼,0,1,0,0.0,0.0
巴米高,姚本輝,0,3,0,0.0,0.0
巴米高,巫偉傑,0,1,1,0.0,100.0
巴米高,徐雨石,1,1,1,100.0,100.0
巴米高,羅富全,0,1,0,0.0,0.0
巴米高,葉楚航,1,1,1,100.0,100.0
巴米高,蔡約翰,0,1,0,0.0,0.0
巴米高,費伯華,0,1,0,0.0,0.0
巴米高,鄭俊偉,0,1,0,0.0,0.0
巴米高,韋達,0,2,0,0.0,0.0
布宜學,巫偉傑,0,2,0,0.0,0.0
布宜學,方嘉柏,0,1,0,0.0,0.0
布宜學,沈集成,0,1,0,0.0,0.0
