model,feature_scope,matrix_weight,development_gate,improvement_dimensions,selection_score,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,top3_capture_at4,top5_capture_at5,actual_top3_average_rank,mean_top2_hits,competitive_ndcg_at5,top2_zero_or_one_hit
Matrix Champion,frozen_matrix,1.0,True,0,1.8880149560023582,2019.0,161.0,0.2553743969421597,0.06953260898871376,0.009045823661774765,0.7240838676463706,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.546583850931677,0.5602484472049689,4.894409937888199,0.968944099378882,0.555176791912529,0.7763975155279503
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_7d,0.7,True,2,1.90709117040301,2019.0,161.0,0.2532608447483277,0.0690688674341885,0.006537998596226809,0.7258723398565211,0.2484472049689441,0.42857142857142855,0.5341614906832298,0.7080745341614907,0.4491374739821945,4.204968944099379,4.881987577639752,0.35239150083870585,0.43892339544513453,0.6273291925465838,0.2422360248447205,0.5031055900621118,0.2546583850931677,0.43892339544513453,0.5331313032338706,0.5424430641821947,0.5652173913043478,4.881987577639752,1.0124223602484472,0.5574327803464646,0.7453416149068323
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_7d,0.8,False,1,1.87188092293514,2019.0,161.0,0.2533158564461221,0.06910208120281307,0.006230646086173161,0.7258756827952317,0.2484472049689441,0.422360248447205,0.5341614906832298,0.6956521739130435,0.447609102422767,4.22360248447205,4.896480331262939,0.3510585687604322,0.443064182194617,0.6190476190476191,0.2546583850931677,0.515527950310559,0.22981366459627328,0.443064182194617,0.5268875354414717,0.546583850931677,0.5565217391304348,4.896480331262939,0.9751552795031055,0.5515503054044888,0.7701863354037266
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_7d,0.9,False,0,1.888996200478437,2019.0,161.0,0.25358453405848724,0.06917671631975313,0.008037382690342106,0.7256149335758079,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7080745341614907,0.44744434309651704,4.198757763975156,4.894409937888199,0.3494882963827064,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5322209156982028,0.546583850931677,0.5602484472049689,4.894409937888199,0.968944099378882,0.5558000638118734,0.7763975155279503
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components,0.7,True,2,1.895014744831999,2019.0,161.0,0.25304852657847265,0.06896367778065682,0.007633210004835843,0.7268518208987157,0.2546583850931677,0.42857142857142855,0.5279503105590062,0.6956521739130435,0.45080835313754575,4.229813664596273,4.898550724637682,0.3548998620427192,0.43892339544513453,0.6252587991718426,0.2484472049689441,0.5031055900621118,0.2484472049689441,0.43892339544513453,0.5311733162056378,0.5341614906832298,0.5677018633540373,4.898550724637682,1.0,0.5569909097750229,0.7515527950310559
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components,0.8,False,0,1.8816988174340321,2019.0,161.0,0.2531671311892696,0.06903314778136173,0.007322676296069186,0.7264606970695799,0.2422360248447205,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.44316761568314367,4.248447204968944,4.898550724637682,0.35045379051590236,0.443064182194617,0.6252587991718428,0.2546583850931677,0.515527950310559,0.22981366459627328,0.443064182194617,0.5285767806083101,0.546583850931677,0.560248447204969,4.898550724637682,0.9751552795031055,0.5533881442930034,0.7701863354037266
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components,0.9,False,0,1.889011703408271,2019.0,161.0,0.253507019409318,0.06914320962359986,0.0081832878765544,0.7256817923500191,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7080745341614907,0.44744434309651704,4.198757763975156,4.894409937888199,0.3493517869294267,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5322209156982028,0.546583850931677,0.5602484472049689,4.894409937888199,0.968944099378882,0.5558000638118734,0.7763975155279503
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components_raw,0.7,False,4,1.9190442618462036,2019.0,161.0,0.2530038429304107,0.06891129823946125,0.008337195079752523,0.727002253140691,0.2484472049689441,0.4472049689440994,0.5217391304347826,0.7080745341614907,0.451897705469134,4.192546583850931,4.855072463768116,0.36045362504989836,0.44306418219461696,0.629399585921325,0.22981366459627328,0.5217391304347826,0.2484472049689441,0.44306418219461696,0.5375333240075293,0.5548654244306419,0.5664596273291925,4.855072463768116,1.0186335403726707,0.5621295024819751,0.7515527950310559
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components_raw,0.8,False,1,1.8825114194211423,2019.0,161.0,0.2530685160205792,0.06898707110538284,0.007268681783505077,0.7270022531406909,0.2484472049689441,0.422360248447205,0.5341614906832298,0.6956521739130435,0.44809996766518506,4.211180124223603,4.890269151138716,0.35139787748483403,0.4409937888198758,0.6231884057971016,0.2546583850931677,0.5093167701863354,0.2360248447204969,0.4409937888198758,0.5294915756412668,0.546583850931677,0.5590062111801242,4.890269151138716,0.9813664596273292,0.5539325760414071,0.7639751552795031
HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,matrix_plus_components_raw,0.9,False,0,1.8805742647519283,2019.0,161.0,0.2534258795424792,0.06911543593970061,0.007666431287132465,0.7257720516952042,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.898550724637681,0.34933069001391986,0.4451345755693581,0.6252587991718427,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5296979386304302,0.546583850931677,0.5590062111801242,4.898550724637681,0.968944099378882,0.5539302481138404,0.7763975155279503
