period,model,development_gate,external_gate,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,top3_capture_at4,top5_capture_at5,actual_top3_average_rank,mean_top2_hits,competitive_ndcg_at5,top2_zero_or_one_hit
walk_forward,Matrix Champion,True,True,2019.0,161.0,0.2553743969421597,0.06953260898871376,0.009045823661774765,0.7240838676463706,0.2484472049689441,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4472373037590429,4.204968944099379,4.894409937888199,0.3494336926013945,0.4451345755693581,0.629399585921325,0.2546583850931677,0.5217391304347826,0.2236024844720497,0.4451345755693581,0.5312117248710938,0.546583850931677,0.5602484472049689,4.894409937888199,0.968944099378882,0.555176791912529,0.7763975155279503
walk_forward,HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,True,,2019.0,161.0,0.2532608447483277,0.0690688674341885,0.006537998596226809,0.7258723398565211,0.2484472049689441,0.42857142857142855,0.5341614906832298,0.7080745341614907,0.4491374739821945,4.204968944099379,4.881987577639752,0.35239150083870585,0.43892339544513453,0.6273291925465838,0.2422360248447205,0.5031055900621118,0.2546583850931677,0.43892339544513453,0.5331313032338706,0.5424430641821947,0.5652173913043478,4.881987577639752,1.0124223602484472,0.5574327803464646,0.7453416149068323
external_holdout,Matrix Champion,True,True,107.0,9.0,0.2871808263420074,0.07703831312766682,0.018944431880599112,0.6315192743764171,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.31587301587301586,4.777777777777778,5.4444444444444455,0.24996114996115,0.37037037037037035,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.37037037037037035,0.4868369455928211,0.5555555555555556,0.6,5.4444444444444455,0.5555555555555556,0.5365325343081095,0.8888888888888888
external_holdout,HKJC_MATRIX_ANCHORED_LAMBDARANK_V1,True,False,107.0,9.0,0.2827734351556043,0.07700996666447349,0.01874464399714567,0.6519274376417233,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.3306878306878307,4.666666666666667,5.333333333333333,0.29362859362859367,0.4444444444444444,0.5925925925925926,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.46579967567766656,0.5185185185185185,0.6,5.333333333333333,0.5555555555555556,0.525538006254926,0.8888888888888888
