feature_scope,feature,gain,split,gain_share
matrix_7d,num__rel_matrix_stability,67.90409900934901,84,0.2774064609276642
matrix_7d,num__rel_matrix_trainer_signal,61.182181572541595,82,0.2499456249251724
matrix_7d,num__rel_matrix_race_shape,23.470639318227768,54,0.09588385802870061
matrix_7d,num__matrix_stability,22.65120458509773,39,0.09253624731601724
matrix_7d,num__matrix_race_shape,22.013984306628117,89,0.08993303153286904
matrix_7d,num__matrix_sectional,10.76751334965229,48,0.04398818060905535
matrix_7d,num__rel_matrix_class_advantage,7.1771882132743485,49,0.02932073925879
matrix_7d,num__rel_matrix_horse_health,6.544614430516958,33,0.026736505657130802
matrix_7d,num__matrix_class_advantage,6.451942395418882,31,0.026357915532844167
matrix_7d,num__rel_matrix_sectional,5.199081572238356,22,0.021239642968096946
matrix_7d,num__rel_matrix_form_line,4.952162832720205,23,0.020230913676850194
matrix_7d,num__matrix_trainer_signal,4.589481212198734,20,0.018749261961266434
matrix_7d,num__matrix_horse_health,1.26094494477411,14,0.0051512983701654785
matrix_7d,num__matrix_form_line,0.6169286984950304,8,0.002520319235377144
matrix_plus_components,num__rel_feat_jockey_score,50.901285741478205,68,0.18966870557868365
matrix_plus_components,num__rel_feat_consistency_score,38.520953953266144,30,0.14353703187537378
matrix_plus_components,num__rel_matrix_trainer_signal,24.802544370293617,41,0.09241940389608011
matrix_plus_components,num__rel_matrix_stability,22.539443537592888,15,0.08398662269459051
matrix_plus_components,num__rel_feat_form_score,20.79829683911521,31,0.0774987504196127
matrix_plus_components,num__rel_matrix_race_shape,17.753395876847208,37,0.0661528204354109
matrix_plus_components,num__matrix_race_shape,12.009726049378514,42,0.04475072016273336
matrix_plus_components,num__rel_feat_same_distance_signal_score,10.015341319143772,27,0.03731923066891748
matrix_plus_components,num__feat_speed_score,9.133977929130197,30,0.03403508861055499
matrix_plus_components,num__matrix_stability,8.95547918882221,17,0.03336996543088542
matrix_plus_components,num__feat_race_shape_context_score,7.785938069224358,25,0.029012013621931225
matrix_plus_components,num__rel_feat_speed_score,6.371685883263126,35,0.023742217828649152
matrix_plus_components,num__rel_feat_draw_score,4.659687392413616,13,0.01736295779656933
