date,meeting_name,race_number,horse_number,race_key,horse_name,finish_pos,is_win,is_top3,current_live_recomputed_ability,probability_matrix,matrix_rank,probability_hybrid,ml_rank_score,hybrid_rank_score,hybrid_rank,rank_change,entered_top2,left_top2,rank3_placegetter_entered_top2,period
2026-05-09,2026-05-09_ShaTin,3,13,2026-05-09::2026-05-09_ShaTin::R3,添喜運,3,0,1,72.451464,0.21497087343503454,1,0.1989449043348493,0.16285890158623859,0.9769230841682234,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,6,2026-05-09::2026-05-09_ShaTin::R3,志醒大將,12,0,0,67.326026,0.09964821091936092,4,0.1395123654046254,0.16950603571197873,0.8384615451941411,2,2,True,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,7,2026-05-09::2026-05-09_ShaTin::R3,雪茄福星,10,0,0,68.986115,0.12947231892994052,2,0.12849110173667147,-0.3032784537032165,0.8076923145909192,3,-1,False,True,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,8,2026-05-09::2026-05-09_ShaTin::R3,巴閉佬,2,0,1,68.412529,0.11841161757828968,3,0.11821304132095824,-0.2384050459936016,0.7769230837643298,4,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,1,2026-05-09::2026-05-09_ShaTin::R3,文武全能,5,0,0,66.33373,0.08483192895030361,6,0.08575283352798795,-0.032667055857547735,0.6615384681718346,5,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,2,2026-05-09::2026-05-09_ShaTin::R3,凱旋幸運,8,0,0,66.88775899999999,0.09284413684908178,5,0.07192986882470552,-0.4406218724763078,0.6000000066887758,6,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,10,2026-05-09::2026-05-09_ShaTin::R3,朗日雪峰,7,0,0,63.234593,0.0504764599984879,8,0.06729504687673053,0.10507778430612924,0.5769230832465363,7,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,14,2026-05-09::2026-05-09_ShaTin::R3,東昇鉞,4,0,0,65.305626,0.07158791817622928,7,0.056253061029379735,-0.4302375563694567,0.515384621915178,8,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,5,2026-05-09::2026-05-09_ShaTin::R3,銳一,6,0,0,60.600229999999996,0.03201748616885755,11,0.03647173938049498,-0.18103285639931746,0.36923077529079223,9,2,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,11,2026-05-09::2026-05-09_ShaTin::R3,海洋帝君,9,0,0,61.404261999999996,0.036827605906685684,9,0.03212102722526277,-0.4844519099816487,0.32692308306350315,10,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,4,2026-05-09::2026-05-09_ShaTin::R3,連連好運,11,0,0,60.973168,0.03416841575016358,10,0.030313067166917767,-0.476586860164962,0.3076923137896245,11,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,12,2026-05-09::2026-05-09_ShaTin::R3,肥仔精神,1,1,1,58.636664,0.02268102492877284,12,0.019683907420804822,-0.4844519099816487,0.16538462124828182,12,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,3,3,2026-05-09::2026-05-09_ShaTin::R3,大浪園田,13,0,0,55.082781000000004,0.012062002408792094,13,0.0150180357506116,-0.48706638601462243,0.07692308243135502,13,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,6,2026-05-09::2026-05-09_ShaTin::R4,鴻圖新星,12,0,0,75.53232,0.23659974125771144,1,0.19037387341305817,0.47100332620386925,1.000000007553232,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,4,2026-05-09::2026-05-09_ShaTin::R4,支付之父,2,0,1,71.18402000000002,0.1339463809831804,2,0.14286053821857433,0.14832917489943684,0.8857142928326878,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,3,2026-05-09::2026-05-09_ShaTin::R4,凝聚美麗,13,0,0,70.458438,0.12047688381045442,3,0.13257787215389927,0.1550371239570596,0.857142864188701,3,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,1,2026-05-09::2026-05-09_ShaTin::R4,展雄威,9,0,0,69.88702,0.11062666823138549,5,0.10740341394230431,0.2679622734982074,0.7785714355601306,4,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,7,2026-05-09::2026-05-09_ShaTin::R4,極速神影,4,0,0,70.28827100000001,0.1174743309759787,4,0.10329230506145116,0.0299135304747668,0.7642857213145413,5,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,13,2026-05-09::2026-05-09_ShaTin::R4,燊輝之星,11,0,0,66.41475799999999,0.06401592991153758,6,0.06505953203294328,-0.2929316259648131,0.6000000066414759,6,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,14,2026-05-09::2026-05-09_ShaTin::R4,縱橫大兄,6,0,0,63.912957999999996,0.042187873676326135,8,0.055133554674800134,-0.08200333721073746,0.5428571492484388,7,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,9,2026-05-09::2026-05-09_ShaTin::R4,喜意,8,0,0,66.28575699999999,0.06267855242743962,7,0.04966518994890185,-0.3411862877019971,0.5071428637714328,8,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,12,2026-05-09::2026-05-09_ShaTin::R4,領航多福,5,0,0,62.76164899999999,0.03466580366905605,9,0.03937822424033364,-0.32627323104735584,0.4285714348475935,9,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,11,2026-05-09::2026-05-09_ShaTin::R4,致力之城,3,0,1,60.221106999999996,0.022314237370476876,10,0.03855069984168172,-0.24272219885278387,0.4214285774506822,10,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,8,2026-05-09::2026-05-09_ShaTin::R4,步風影,7,0,0,59.292483,0.018959193576139333,11,0.02404746801219278,-0.3968290492176448,0.2642857202149626,11,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,2,2026-05-09::2026-05-09_ShaTin::R4,電子好好,10,0,0,57.388957999999995,0.013543944677168511,12,0.019358612175960722,-0.4844519099816487,0.19285714859603867,12,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,10,2026-05-09::2026-05-09_ShaTin::R4,一舖掂晒,1,1,1,57.38178899999999,0.01352673002695074,13,0.018942043481333035,-0.37891223255221956,0.18571429145246462,13,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,4,5,2026-05-09::2026-05-09_ShaTin::R4,智勝勳章,14,0,0,55.083624,0.00898372940619474,14,0.01335667280256553,-0.48706638601462243,0.07142857693693383,14,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,9,2026-05-09::2026-05-09_ShaTin::R5,星辰千帥,5,0,0,70.674796,0.22050922088640723,1,0.1966522230156393,0.08712353426050296,0.9500000070674796,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,3,2026-05-09::2026-05-09_ShaTin::R5,輝灑自如,9,0,0,68.494578,0.15835242523423768,2,0.19258266059173323,0.1749011606669415,0.9416666735161244,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,2,2026-05-09::2026-05-09_ShaTin::R5,心雄雄,3,0,1,66.627186,0.11749456638299932,3,0.12712559290847222,-0.09338248676851722,0.783333339996052,3,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,1,2026-05-09::2026-05-09_ShaTin::R5,錶之浩瀚,6,0,0,65.463852,0.09703116964124568,5,0.11340458750482414,0.11913509631355966,0.7416666732130519,4,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,7,2026-05-09::2026-05-09_ShaTin::R5,電子騰飛,4,0,0,65.720067,0.10123967165760576,4,0.0877033735021501,-0.29261042936487464,0.6500000065720066,5,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,8,2026-05-09::2026-05-09_ShaTin::R5,潮流勇駒,7,0,0,62.412813,0.05788177178216945,7,0.07072176822099176,-0.07864586886399218,0.5750000062412812,6,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,12,2026-05-09::2026-05-09_ShaTin::R5,最好玩,8,0,0,63.039035999999996,0.06444946412104216,6,0.06738459291399339,-0.2140135966301864,0.558333339637237,7,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,10,2026-05-09::2026-05-09_ShaTin::R5,明天更好,11,0,0,61.314626,0.04786990458420077,8,0.038247933620253034,-0.4844519099816487,0.3666666727981293,8,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,6,2026-05-09::2026-05-09_ShaTin::R5,老鼠斑,2,0,1,59.59906,0.03547306841309363,10,0.036383169722178005,-0.21241978509309864,0.35000000595990605,9,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,11,2026-05-09::2026-05-09_ShaTin::R5,摘星聲升,12,0,0,60.459256999999994,0.04124233543805144,9,0.02865906410351952,-0.48706638601462243,0.270833339379259,10,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,5,2026-05-09::2026-05-09_ShaTin::R5,三代至醒,10,0,0,59.04956199999999,0.032205223136757145,11,0.02431735371142392,-0.38435651778670576,0.21666667257162286,11,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,5,4,2026-05-09::2026-05-09_ShaTin::R5,君子,1,1,1,57.89209600000001,0.02625117872218979,12,0.016817680184821403,-0.48706638601462243,0.09583333912254292,12,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,7,2026-05-09::2026-05-09_ShaTin::R6,文明福星,2,0,1,69.858465,0.13255735600159071,1,0.16525681555925245,0.09082014391614691,0.9357142927001322,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,6,2026-05-09::2026-05-09_ShaTin::R6,龍傲綾羅,1,1,1,68.73970299999999,0.11167859000652021,3,0.14272115864935483,0.1535265667518498,0.8785714354453988,2,1,True,False,True,walk_forward
2026-05-09,2026-05-09_ShaTin,6,9,2026-05-09::2026-05-09_ShaTin::R6,開心旺財,8,0,0,69.027441,0.11677058639494156,2,0.12272481207349446,-0.2417935305461457,0.8214285783313157,3,-1,False,True,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,13,2026-05-09::2026-05-09_ShaTin::R6,全神貫注,7,0,0,68.577944,0.10889827530804701,4,0.11810678063891841,0.1103619059938642,0.8071428640006516,4,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,11,2026-05-09::2026-05-09_ShaTin::R6,有情有義,6,0,0,67.32177899999999,0.08923960452746844,7,0.08797306148287626,0.1541396489563852,0.7000000067321779,5,2,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,8,2026-05-09::2026-05-09_ShaTin::R6,源好運,9,0,0,68.411864,0.10610442821529222,5,0.08622868250354182,-0.0264405213699917,0.6928571496983292,6,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,5,2026-05-09::2026-05-09_ShaTin::R6,久久為軍,4,0,0,67.41839199999998,0.09063434756915785,6,0.07955576512695021,-0.005779983425918452,0.6642857210275536,7,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,14,2026-05-09::2026-05-09_ShaTin::R6,紅衣財神,11,0,0,65.685457,0.06832825418722396,8,0.046471934012197846,-0.3549195530623155,0.47857143513997424,8,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,2,2026-05-09::2026-05-09_ShaTin::R6,同樣世界,5,0,0,62.8958,0.04268778947055661,9,0.04270837260609274,-0.28531386132274766,0.45000000628958003,9,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,4,2026-05-09::2026-05-09_ShaTin::R6,笑必勝,13,0,0,61.99725499999999,0.036572572991622726,11,0.027858302665576568,-0.37891223255221956,0.3071428633425827,10,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,3,2026-05-09::2026-05-09_ShaTin::R6,將傲,3,0,1,62.849074,0.04234728964695532,10,0.02755982859051529,-0.48706638601462243,0.303571434856336,11,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,1,2026-05-09::2026-05-09_ShaTin::R6,財富非凡,12,0,0,59.386692999999994,0.023196799518646963,12,0.02035537171475374,-0.48706638601462243,0.20357143451009788,12,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,10,2026-05-09::2026-05-09_ShaTin::R6,萬里鵬躍,10,0,0,59.25169400000001,0.022652493765739582,13,0.01747833648969478,-0.48706638601462243,0.153571434496598,13,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,6,12,2026-05-09::2026-05-09_ShaTin::R6,皮具伯樂,14,0,0,53.627902000000006,0.008331612396236837,14,0.015000777886780605,-0.48706638601462243,0.10357143393421878,14,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,1,2026-05-09::2026-05-09_ShaTin::R7,威武年代,14,0,0,70.781456,0.13802531022451767,1,0.1792297168850665,0.10099390982112368,0.9571428642210027,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,5,2026-05-09::2026-05-09_ShaTin::R7,大千雄心,9,0,0,69.923893,0.12153191659348002,2,0.17606072005860662,0.17965638702580095,0.9500000069923894,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,7,2026-05-09::2026-05-09_ShaTin::R7,綫路福將,13,0,0,69.836811,0.11994800224186433,3,0.11018028945590344,-0.284137069693103,0.7714285784122525,3,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,2,2026-05-09::2026-05-09_ShaTin::R7,嘉應巨昇,6,0,0,67.715264,0.08628009419879318,4,0.0904182967753377,-0.2872354104873811,0.7000000067715264,4,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,9,2026-05-09::2026-05-09_ShaTin::R7,捷威,5,0,0,67.43399600000001,0.08248721848657986,5,0.08862543227133113,-0.1498350968628977,0.6928571496005425,5,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,4,2026-05-09::2026-05-09_ShaTin::R7,都靈冠星,4,0,0,65.533717,0.06049089778484663,9,0.06397425413458875,0.15378548720433788,0.5785714351248004,6,3,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,14,2026-05-09::2026-05-09_ShaTin::R7,堅闖,11,0,0,67.134597,0.07861006797024134,6,0.05648295602868673,-0.3532023484555555,0.5357142924277454,7,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,13,2026-05-09::2026-05-09_ShaTin::R7,金鑽精靈,1,1,1,64.4723,0.050657583020354086,10,0.04877982015243736,0.014586313768104122,0.4857142921615158,8,2,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,8,2026-05-09::2026-05-09_ShaTin::R7,好運年,2,0,1,66.09233,0.06633646044140835,8,0.04776363412222293,-0.3314468920827962,0.47857143518066153,9,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,12,2026-05-09::2026-05-09_ShaTin::R7,紅磚戰士,7,0,0,67.01590399999999,0.07711776919601776,7,0.045790918845357846,-0.4826296822177737,0.46428572098730464,10,-3,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,11,2026-05-09::2026-05-09_ShaTin::R7,君達得,3,0,1,61.683156,0.03144607409552841,12,0.03399954570048973,-0.08616668145512936,0.3642857204540299,11,1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,6,2026-05-09::2026-05-09_ShaTin::R7,爆出美麗,8,0,0,63.737127,0.0447353645879053,11,0.023573083007046143,-0.4844519099816487,0.24285714923085555,12,-1,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,10,2026-05-09::2026-05-09_ShaTin::R7,明亮天下,12,0,0,59.811611,0.022690501077548796,13,0.021149686536549517,-0.33217163657461557,0.20714286312401825,13,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,7,3,2026-05-09::2026-05-09_ShaTin::R7,巴閉仔,10,0,0,58.991163,0.019642740080914288,14,0.01397164602637557,-0.48706638601462243,0.07142857732768773,14,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,4,2026-05-09::2026-05-09_ShaTin::R8,超寫意,9,0,0,74.19507999999999,0.19889120577450317,1,0.21958245932886955,0.2836227524422773,1.000000007419508,1,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,10,2026-05-09::2026-05-09_ShaTin::R8,辣得準,7,0,0,72.678323,0.1631280385694339,2,0.17844598855333968,0.18844839926145285,0.916666673934499,2,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,11,2026-05-09::2026-05-09_ShaTin::R8,富國兄弟,2,0,1,71.76952899999999,0.14385979410455182,3,0.1342809737456352,0.0458746932752452,0.8083333405102863,3,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,3,2026-05-09::2026-05-09_ShaTin::R8,手機錶勁,3,0,1,70.287342,0.11604691436476508,4,0.12268164090577927,0.15378548720433788,0.7750000070287341,4,0,False,False,False,walk_forward
2026-05-09,2026-05-09_ShaTin,8,2,2026-05-09::2026-05-09_ShaTin::R8,快活英雄,10,0,0,66.80490099999999,0.06739699464464294,6,0.07686145086294303,0.029247039051637475,0.6083333400138234,5,1,False,False,False,walk_forward
