feature,importance_mean_abs
hit_rate_l10,0.09344241107691273
amc,0.09295551422397515
hit_rate_l5,0.055965970703758416
line_value,0.0538855640649192
away_ppg,0.04862927929646602
home_ppg,0.04784494673864553
l10_cov,0.026168038866356144
usg_pct,0.012966437272813821
l10_sd,0.010778400417955988
l10_med,0.010698446600823096
l3_avg,0.00972661332906516
pace_projected,0.008425332409945014
l10_avg,0.008010295374881021
b2b_ppg_diff_pct,0.007314954185923843
ts_pct,0.0072373135734674215
def_rtg,0.006873774107789788
l5_avg,0.006266021705155171
opp_def_rank,0.004769541713955171
opp_def_rating,0.004262043155379556
opp_pace,0.004087230309682655
is_home,0.001535054465725868
defender_pm,0.00014173021324439687
usg_bonus_pct,0.0
b2b_flag,0.0
rest_days,0.0
