rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
115,sectional_speed_heavy+class_weight_class_only+class_weight_heavy_rating,place_off,4.1%,19.9%,37.7%,42.5%,51.3%,45,152,106,13,+0.0,-0.9,-1.3,-0.1,-3,+7
116,race_shape_pure_pace+sectional_speed_heavy+class_weight_heavy_rating,place_live,5.1%,19.6%,37.7%,41.9%,47.8%,54,143,103,16,+0.9,-1.3,-1.3,-0.7,+6,-2
117,sectional_speed_heavy+class_weight_heavy_rating+track_pure,place_live,4.7%,19.6%,37.7%,42.3%,50.3%,49,148,104,15,+0.6,-1.3,-1.3,-0.3,+1,+3
118,class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
119,class_weight_heavy_rating+formline_purer,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
120,class_weight_80_20+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
121,class_weight_no_rating+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
122,class_weight_class_only+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
123,class_weight_80_20+class_weight_heavy_rating+formline_purer,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
124,class_weight_no_rating+class_weight_heavy_rating+formline_purer,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
125,class_weight_class_only+class_weight_heavy_rating+formline_purer,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
126,class_weight_80_20+class_weight_no_rating+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
127,class_weight_80_20+class_weight_class_only+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
128,class_weight_class_only+class_weight_no_rating+class_weight_heavy_rating,place_off,4.4%,19.6%,37.7%,42.5%,50.6%,46,151,105,14,+0.3,-1.3,-1.3,-0.1,-2,+6
129,race_shape_pure_pace+sectional_speed_heavy,place_live,4.4%,19.6%,37.7%,42.0%,48.1%,51,146,105,14,+0.3,-1.3,-1.3,-0.6,+3,+1
130,race_shape_pure_pace+sectional_speed_heavy+formline_purer,place_live,4.4%,19.6%,37.7%,42.0%,47.8%,51,146,105,14,+0.3,-1.3,-1.3,-0.6,+3,+1
131,race_shape_pure_pace+sectional_speed_heavy+class_weight_heavy_rating,place_half,4.4%,19.6%,37.7%,41.7%,47.8%,54,143,105,14,+0.3,-1.3,-1.3,-0.9,+6,-2
132,jt_fit_tempered+class_weight_heavy_rating,place_half,4.1%,19.6%,37.7%,42.1%,49.7%,49,148,106,13,+0.0,-1.3,-1.3,-0.5,+1,+3
133,jt_fit_tempered+class_weight_heavy_rating+formline_purer,place_half,4.1%,19.6%,37.7%,42.1%,49.7%,49,148,106,13,+0.0,-1.3,-1.3,-0.5,+1,+3
134,jt_fit_tempered+class_weight_80_20+class_weight_heavy_rating,place_half,4.1%,19.6%,37.7%,42.1%,49.7%,49,148,106,13,+0.0,-1.3,-1.3,-0.5,+1,+3
135,jt_fit_tempered+class_weight_no_rating+class_weight_heavy_rating,place_half,4.1%,19.6%,37.7%,42.1%,49.7%,49,148,106,13,+0.0,-1.3,-1.3,-0.5,+1,+3
136,jt_fit_tempered+class_weight_class_only+class_weight_heavy_rating,place_half,4.1%,19.6%,37.7%,42.1%,49.7%,49,148,106,13,+0.0,-1.3,-1.3,-0.5,+1,+3
137,sectional_speed_heavy+class_weight_class_only+track_pure,place_live,4.1%,19.6%,37.7%,42.0%,49.1%,50,147,106,13,+0.0,-1.3,-1.3,-0.6,+2,+2
138,jt_fit_tempered+class_weight_no_rating,place_live,3.8%,19.6%,37.7%,41.9%,49.4%,50,147,107,12,-0.3,-1.3,-1.3,-0.7,+2,+2
139,jt_fit_tempered+class_weight_80_20+class_weight_no_rating,place_live,3.8%,19.6%,37.7%,41.9%,49.4%,50,147,107,12,-0.3,-1.3,-1.3,-0.7,+2,+2
140,jt_fit_tempered+class_weight_class_only+class_weight_no_rating,place_live,3.8%,19.6%,37.7%,41.9%,49.4%,50,147,107,12,-0.3,-1.3,-1.3,-0.7,+2,+2
141,jt_fit_tempered+class_weight_no_rating+formline_purer,place_live,3.8%,19.6%,37.7%,41.8%,49.1%,51,146,107,12,-0.3,-1.3,-1.3,-0.8,+3,+1
142,jt_fit_tempered+class_weight_no_rating,place_half,3.5%,19.6%,37.7%,41.8%,49.4%,50,147,108,11,-0.6,-1.3,-1.3,-0.8,+2,+2
143,jt_fit_tempered+class_weight_no_rating+formline_purer,place_half,3.5%,19.6%,37.7%,41.8%,49.4%,50,147,108,11,-0.6,-1.3,-1.3,-0.8,+2,+2
144,jt_fit_tempered+class_weight_80_20+class_weight_no_rating,place_half,3.5%,19.6%,37.7%,41.8%,49.4%,50,147,108,11,-0.6,-1.3,-1.3,-0.8,+2,+2
145,jt_fit_tempered+class_weight_class_only+class_weight_no_rating,place_half,3.5%,19.6%,37.7%,41.8%,49.4%,50,147,108,11,-0.6,-1.3,-1.3,-0.8,+2,+2
146,sectional_speed_heavy+class_weight_heavy_rating+track_pure,place_half,4.4%,19.3%,37.7%,42.3%,50.6%,48,149,105,14,+0.3,-1.6,-1.3,-0.3,+0,+4
147,sectional_speed_heavy+class_weight_no_rating+track_pure,place_half,3.8%,19.3%,37.7%,42.3%,50.0%,46,151,107,12,-0.3,-1.6,-1.3,-0.3,-2,+6
148,class_weight_80_20,place_off,3.8%,19.3%,37.7%,42.2%,50.3%,47,150,107,12,-0.3,-1.6,-1.3,-0.4,-1,+5
149,class_weight_80_20+formline_purer,place_off,3.8%,19.3%,37.7%,42.2%,50.3%,47,150,107,12,-0.3,-1.6,-1.3,-0.4,-1,+5
150,sectional_speed_heavy+class_weight_class_only+track_pure,place_half,3.8%,19.3%,37.7%,42.0%,49.4%,49,148,107,12,-0.3,-1.6,-1.3,-0.6,+1,+3
151,class_weight_80_20+track_pure,place_half,3.8%,19.3%,37.7%,41.9%,48.1%,50,147,107,12,-0.3,-1.6,-1.3,-0.7,+2,+2
152,class_weight_class_only+track_pure,place_half,3.8%,19.3%,37.7%,41.9%,48.1%,50,147,107,12,-0.3,-1.6,-1.3,-0.7,+2,+2
