Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
巫偉傑,Class 4,沙田,Turf,1000,1,7,1,7.0,52.71,14.29,14.29,100.0
文家良,Class 3,沙田,Turf,1200,1,7,2,45.0,35.43,14.29,28.57,642.86
游達榮,Class 3,沙田,Turf,1200,1,7,1,0.7999999999999998,42.57,14.29,14.29,11.43
告東尼,Class 3,沙田,Turf,1200,0,7,0,-7.0,34.43,0.0,0.0,-100.0
告東尼,Class 3,沙田,Turf,1400,0,7,1,-7.0,49.83,0.0,14.29,-100.0
容天鵬,Class 4,沙田,Turf,1200,0,7,0,-7.0,82.57,0.0,0.0,-100.0
巫偉傑,Class 3,沙田,Turf,1400,0,7,1,-7.0,65.31,0.0,14.29,-100.0
巫偉傑,Class 4,沙田,Turf,1400,0,7,1,-7.0,48.54,0.0,14.29,-100.0
方嘉柏,Class 3,沙田,Turf,1400,0,7,0,-7.0,37.93,0.0,0.0,-100.0
蘇偉賢,Class 4,跑馬地,Turf,1200,0,7,0,-7.0,47.29,0.0,0.0,-100.0
賀賢,Class 4,跑馬地,Turf,1200,0,7,1,-7.0,39.29,0.0,14.29,-100.0
鄭俊偉,Class 4,沙田,Turf,1000,0,7,0,-7.0,73.57,0.0,0.0,-100.0
韋達,Class 4,沙田,Turf,1000,0,7,3,-7.0,39.67,0.0,42.86,-100.0
韋達,Class 4,跑馬地,Turf,1200,0,7,2,-7.0,27.27,0.0,28.57,-100.0
伍鵬志,Class 3,沙田,Turf,1400,1,6,2,-2.3,30.33,16.67,33.33,-38.33
姚本輝,Class 4,沙田,Turf,1000,1,6,2,0.40000000000000036,12.3,16.67,33.33,6.67
葉楚航,Class 4,沙田,Turf,1400,1,6,1,3.0999999999999996,58.2,16.67,16.67,51.67
蔡約翰,Class 4,沙田,Turf,1000,1,6,1,29.0,50.83,16.67,16.67,483.33
黎昭昇,Class 4,沙田,Turf,1000,1,6,2,1.2999999999999998,42.57,16.67,33.33,21.67
丁冠豪,Class 3,沙田,Turf,1200,0,6,2,-6.0,73.08,0.0,33.33,-100.0
呂健威,Class 4,沙田,Turf,1400,0,6,0,-6.0,42.28,0.0,0.0,-100.0
告東尼,Class 3,跑馬地,Turf,1200,0,6,1,-6.0,30.88,0.0,16.67,-100.0
告東尼,Class 4,跑馬地,Turf,1200,0,6,1,-6.0,34.0,0.0,16.67,-100.0
姚本輝,Class 3,沙田,Turf,1200,0,6,1,-6.0,42.75,0.0,16.67,-100.0
容天鵬,Class 3,沙田,Turf,1400,0,6,0,-6.0,100.83,0.0,0.0,-100.0
文家良,Class 4,沙田,Turf,1400,0,6,1,-6.0,31.1,0.0,16.67,-100.0
方嘉柏,Class 3,沙田,Turf,1200,0,6,0,-6.0,61.67,0.0,0.0,-100.0
沈集成,Class 3,沙田,Turf,1000,0,6,0,-6.0,75.0,0.0,0.0,-100.0
蘇偉賢,Class 3,沙田,Turf,1000,0,6,0,-6.0,48.33,0.0,0.0,-100.0
蘇偉賢,Class 3,跑馬地,Turf,1200,0,6,0,-6.0,57.0,0.0,0.0,-100.0
鄭俊偉,Class 4,跑馬地,Turf,1200,0,6,2,-6.0,49.9,0.0,33.33,-100.0
方嘉柏,Class 3,跑馬地,Turf,1650,2,5,2,6.6,12.12,40.0,40.0,132.0
廖康銘,Class 3,沙田,Turf,1600,1,5,1,8.0,46.0,20.0,20.0,160.0
文家良,Class 4,跑馬地,Turf,1200,1,5,1,-2.2,51.16,20.0,20.0,-44.0
方嘉柏,Class 3,沙田,Turf,1000,1,5,1,-2.2,40.16,20.0,20.0,-44.0
沈集成,Class 3,沙田,Turf,1400,1,5,2,-0.5,81.1,20.0,40.0,-10.0
羅富全,Class 3,沙田,Turf,1200,1,5,2,7.0,35.3,20.0,40.0,140.0
丁冠豪,Class 4,沙田,Turf,1000,0,5,0,-5.0,46.6,0.0,0.0,-100.0
告東尼,Class 4,沙田,Turf,1000,0,5,0,-5.0,41.4,0.0,0.0,-100.0
大衛希斯,Class 3,沙田,Turf,1000,0,5,1,-5.0,60.0,0.0,20.0,-100.0
大衛希斯,Class 3,沙田,Turf,1400,0,5,0,-5.0,35.6,0.0,0.0,-100.0
大衛希斯,Class 4,沙田,AWT,1200,0,5,2,-5.0,19.5,0.0,40.0,-100.0
姚本輝,Class 4,沙田,Turf,1400,0,5,4,-5.0,38.06,0.0,80.0,-100.0
容天鵬,Class 4,沙田,Turf,1400,0,5,1,-5.0,28.32,0.0,20.0,-100.0
羅富全,Class 3,沙田,Turf,1000,0,5,0,-5.0,33.62,0.0,0.0,-100.0
羅富全,Class 3,沙田,Turf,1400,0,5,1,-5.0,28.56,0.0,20.0,-100.0
葉楚航,Class 4,跑馬地,Turf,1200,0,5,1,-5.0,47.62,0.0,20.0,-100.0
賀賢,Class 4,跑馬地,Turf,1000,0,5,1,-5.0,44.18,0.0,20.0,-100.0
韋達,Class 4,沙田,AWT,1200,0,5,0,-5.0,90.0,0.0,0.0,-100.0
黎昭昇,Class 3,沙田,Turf,1200,0,5,1,-5.0,36.98,0.0,20.0,-100.0
方嘉柏,Class 4,沙田,Turf,1000,2,4,2,1.1,3.75,50.0,50.0,27.5
沈集成,Class 3,沙田,Turf,1200,1,4,1,1.5,23.38,25.0,25.0,37.5
沈集成,Class 3,跑馬地,Turf,1650,1,4,1,-1.6,17.35,25.0,25.0,-40.0
游達榮,Class 3,跑馬地,Turf,1200,1,4,1,38.0,44.75,25.0,25.0,950.0
游達榮,Class 4,跑馬地,Turf,1200,1,4,1,-0.8999999999999999,57.42,25.0,25.0,-22.5
羅富全,Class 4,沙田,Turf,1000,1,4,1,6.0,12.92,25.0,25.0,150.0
蔡約翰,Class 3,沙田,Turf,1200,1,4,1,-2.5,25.18,25.0,25.0,-62.5
蘇偉賢,Class 3,沙田,Turf,1400,1,4,1,0.8999999999999999,31.98,25.0,25.0,22.5
伍鵬志,Class 3,跑馬地,Turf,1000,0,4,0,-4.0,27.25,0.0,0.0,-100.0
伍鵬志,Class 3,跑馬地,Turf,1650,0,4,1,-4.0,20.0,0.0,25.0,-100.0
伍鵬志,Class 4,跑馬地,Turf,1200,0,4,1,-4.0,11.0,0.0,25.0,-100.0
呂健威,Class 3,沙田,Turf,1000,0,4,0,-4.0,47.25,0.0,0.0,-100.0
呂健威,Class 3,沙田,Turf,1600,0,4,1,-4.0,18.58,0.0,25.0,-100.0
告東尼,Class 3,跑馬地,Turf,1650,0,4,0,-4.0,19.18,0.0,0.0,-100.0
告東尼,Class 4,沙田,Turf,1400,0,4,0,-4.0,42.0,0.0,0.0,-100.0
告東尼,Class 4,跑馬地,Turf,1650,0,4,0,-4.0,41.48,0.0,0.0,-100.0
大衛希斯,Class 3,沙田,AWT,1200,0,4,0,-4.0,52.0,0.0,0.0,-100.0
大衛希斯,Class 3,跑馬地,Turf,1200,0,4,1,-4.0,46.38,0.0,25.0,-100.0
大衛希斯,Griffin,沙田,Turf,1000,0,4,2,-4.0,21.48,0.0,50.0,-100.0
姚本輝,Class 3,跑馬地,Turf,1000,0,4,0,-4.0,35.25,0.0,0.0,-100.0
姚本輝,Class 3,跑馬地,Turf,1200,0,4,1,-4.0,35.62,0.0,25.0,-100.0
姚本輝,Class 4,跑馬地,Turf,1200,0,4,1,-4.0,7.32,0.0,25.0,-100.0
容天鵬,Class 4,跑馬地,Turf,1200,0,4,0,-4.0,25.75,0.0,0.0,-100.0
巫偉傑,Class 4,跑馬地,Turf,1650,0,4,0,-4.0,57.0,0.0,0.0,-100.0
巫偉傑,Class 5,沙田,Turf,1400,0,4,1,-4.0,45.5,0.0,25.0,-100.0
廖康銘,Class 3,沙田,Turf,1400,0,4,0,-4.0,45.25,0.0,0.0,-100.0
方嘉柏,Class 3,沙田,Turf,1600,0,4,0,-4.0,21.42,0.0,0.0,-100.0
方嘉柏,Class 4,沙田,AWT,1200,0,4,0,-4.0,34.75,0.0,0.0,-100.0
方嘉柏,Class 4,跑馬地,Turf,1000,0,4,1,-4.0,37.42,0.0,25.0,-100.0
沈集成,Class 3,跑馬地,Turf,1200,0,4,0,-4.0,31.75,0.0,0.0,-100.0
沈集成,Class 4,沙田,Turf,1000,0,4,0,-4.0,25.08,0.0,0.0,-100.0
沈集成,Class 4,跑馬地,Turf,1650,0,4,1,-4.0,24.75,0.0,25.0,-100.0
游達榮,Class 3,沙田,Turf,1000,0,4,0,-4.0,27.75,0.0,0.0,-100.0
羅富全,Class 3,沙田,Turf,1600,0,4,2,-4.0,12.1,0.0,50.0,-100.0
葉楚航,Class 3,沙田,Turf,1000,0,4,1,-4.0,41.65,0.0,25.0,-100.0
葉楚航,Class 3,沙田,Turf,1200,0,4,0,-4.0,44.72,0.0,0.0,-100.0
蔡約翰,Class 3,沙田,Turf,1400,0,4,0,-4.0,30.0,0.0,0.0,-100.0
蔡約翰,Class 3,跑馬地,Turf,1200,0,4,1,-4.0,12.62,0.0,25.0,-100.0
賀賢,Class 3,沙田,Turf,1400,0,4,0,-4.0,64.25,0.0,0.0,-100.0
鄭俊偉,Class 4,沙田,Turf,1400,0,4,1,-4.0,32.1,0.0,25.0,-100.0
黎昭昇,Class 4,沙田,Turf,1400,0,4,0,-4.0,110.5,0.0,0.0,-100.0
大衛希斯,Class 3,跑馬地,Turf,1650,1,3,3,2.2,26.73,33.33,100.0,73.33
姚本輝,Class 4,沙田,AWT,1200,1,3,3,0.5,8.13,33.33,100.0,16.67
廖康銘,Class 4,沙田,AWT,1200,1,3,2,1.0,7.03,33.33,66.67,33.33
文家良,Class 4,跑馬地,Turf,1650,1,3,1,2.4000000000000004,9.4,33.33,33.33,80.0
羅富全,Class 3,跑馬地,Turf,1000,1,3,1,2.0999999999999996,6.13,33.33,33.33,70.0
葉楚航,Griffin,沙田,Turf,1000,1,3,2,-0.7999999999999998,15.33,33.33,66.67,-26.67
鄭俊偉,Class 3,沙田,Turf,1200,1,3,1,3.5999999999999996,92.2,33.33,33.33,120.0
黎昭昇,Class 3,沙田,Turf,1000,1,3,2,0.6000000000000001,15.87,33.33,66.67,20.0
伍鵬志,Class 2,沙田,Turf,2000,0,3,0,-3.0,28.0,0.0,0.0,-100.0
伍鵬志,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,52.03,0.0,0.0,-100.0
呂健威,Class 3,沙田,AWT,1200,0,3,0,-3.0,58.33,0.0,0.0,-100.0
告東尼,Class 3,沙田,Turf,1600,0,3,0,-3.0,30.57,0.0,0.0,-100.0
姚本輝,Class 3,沙田,Turf,1600,0,3,1,-3.0,46.8,0.0,33.33,-100.0
姚本輝,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,12.37,0.0,0.0,-100.0
姚本輝,Class 5,跑馬地,Turf,1200,0,3,1,-3.0,8.9,0.0,33.33,-100.0
容天鵬,Class 3,沙田,Turf,1200,0,3,0,-3.0,96.67,0.0,0.0,-100.0
容天鵬,Class 4,沙田,Turf,1000,0,3,0,-3.0,20.93,0.0,0.0,-100.0
容天鵬,Class 4,跑馬地,Turf,1650,0,3,0,-3.0,57.67,0.0,0.0,-100.0
岳伯仁,Group 1,沙田,Turf,2400,0,3,0,-3.0,16.73,0.0,0.0,-100.0
巫偉傑,Class 4,跑馬地,Turf,1000,0,3,0,-3.0,58.0,0.0,0.0,-100.0
廖康銘,Class 2,沙田,Turf,1200,0,3,0,-3.0,21.67,0.0,0.0,-100.0
廖康銘,Class 3,沙田,Turf,1000,0,3,1,-3.0,13.97,0.0,33.33,-100.0
廖康銘,Class 3,跑馬地,Turf,1000,0,3,0,-3.0,44.2,0.0,0.0,-100.0
廖康銘,Class 3,跑馬地,Turf,1200,0,3,0,-3.0,45.67,0.0,0.0,-100.0
廖康銘,Class 4,沙田,Turf,1000,0,3,0,-3.0,28.67,0.0,0.0,-100.0
徐雨石,Class 5,沙田,Turf,1400,0,3,0,-3.0,30.93,0.0,0.0,-100.0
文家良,Class 3,沙田,Turf,1000,0,3,1,-3.0,55.67,0.0,33.33,-100.0
文家良,Class 3,沙田,Turf,1400,0,3,0,-3.0,144.33,0.0,0.0,-100.0
文家良,Class 4,跑馬地,Turf,1000,0,3,0,-3.0,35.57,0.0,0.0,-100.0
文家良,Class 5,沙田,Turf,1400,0,3,1,-3.0,14.67,0.0,33.33,-100.0
沈集成,Class 2,沙田,Turf,1400,0,3,0,-3.0,63.53,0.0,0.0,-100.0
沈集成,Class 2,跑馬地,Turf,1650,0,3,0,-3.0,7.57,0.0,0.0,-100.0
沈集成,Class 3,沙田,Turf,1600,0,3,0,-3.0,53.0,0.0,0.0,-100.0
