Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
艾道拿,方嘉柏,0,2,1,13.7,0.0,50.0,10.34,24.14,5.43,25.0,-7.88,25.43
蔡明紹,廖康銘,0,2,1,19.55,0.0,50.0,10.42,22.92,5.49,18.68,-7.96,29.2
希威森,桂福特,0,2,0,18.0,0.0,0.0,11.11,22.22,4.95,14.85,-8.03,-18.54
梁家俊,廖康銘,0,2,0,89.5,0.0,0.0,10.42,22.92,5.83,22.33,-8.12,-22.62
何澤堯,葉楚航,0,2,0,50.05,0.0,0.0,5.41,14.86,10.98,25.61,-8.2,-20.24
霍宏聲,黎昭昇,0,2,0,63.5,0.0,0.0,5.06,22.78,11.36,21.59,-8.21,-22.18
莫艾誠,包義定,0,2,0,67.5,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
麥文堅,岳本賢,0,2,0,21.3,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
黃寶妮,姚本輝,0,2,0,16.6,0.0,0.0,9.38,33.33,7.69,11.54,-8.54,-22.44
董明朗,呂健威,0,2,0,105.5,0.0,0.0,12.12,27.27,5.13,7.69,-8.62,-17.48
奧爾民,黎昭昇,0,2,1,35.5,0.0,50.0,5.06,22.78,12.5,21.88,-8.78,27.67
蔡明紹,呂健威,0,2,0,32.0,0.0,0.0,12.12,27.27,5.49,18.68,-8.8,-22.98
何澤堯,巫偉傑,0,2,0,21.0,0.0,0.0,7.45,19.15,10.98,25.61,-9.22,-22.38
何澤堯,羅富全,0,2,0,54.8,0.0,0.0,8.42,24.21,10.98,25.61,-9.7,-24.91
潘明輝,丁冠豪,0,2,1,29.25,0.0,50.0,9.3,20.93,10.1,22.22,-9.7,28.42
奧爾民,徐雨石,0,2,0,58.0,0.0,0.0,7.69,12.82,12.5,21.88,-10.1,-17.35
何澤堯,姚本輝,0,2,0,34.0,0.0,0.0,9.38,33.33,10.98,25.61,-10.18,-29.47
霍宏聲,伍鵬志,0,2,0,44.0,0.0,0.0,9.0,20.0,11.36,21.59,-10.18,-20.8
布文,蘇偉賢,0,2,1,13.5,0.0,50.0,10.87,22.83,10.87,33.7,-10.87,21.74
奧爾民,蘇偉賢,0,2,1,63.0,0.0,50.0,10.87,22.83,12.5,21.88,-11.68,27.65
麥道朗,大衛希斯,0,2,0,18.5,0.0,0.0,5.36,23.21,33.33,44.44,-19.34,-33.83
巴度,文家良,1,1,1,5.8,100.0,100.0,8.64,16.05,4.0,14.67,93.68,84.64
希威森,文家良,1,1,1,2.8,100.0,100.0,8.64,16.05,4.95,14.85,93.2,84.55
潘明輝,告東尼,1,1,1,9.9,100.0,100.0,4.71,14.12,10.1,22.22,92.6,81.83
霍宏聲,巫偉傑,1,1,1,40.0,100.0,100.0,7.45,19.15,11.36,21.59,90.6,79.63
霍宏聲,文家良,1,1,1,4.8,100.0,100.0,8.64,16.05,11.36,21.59,90.0,81.18
奧爾民,丁冠豪,1,1,1,61.0,100.0,100.0,9.3,20.93,12.5,21.88,89.1,78.6
奧爾民,呂健威,1,1,1,6.0,100.0,100.0,12.12,27.27,12.5,21.88,87.69,75.42
莫雅,蔡約翰,1,1,1,1.7,100.0,100.0,8.14,24.42,16.67,16.67,87.6,79.46
麥文堅,蔡約翰,1,1,1,35.0,100.0,100.0,8.14,24.42,16.67,16.67,87.6,79.46
潘頓,姚本輝,1,1,1,6.4,100.0,100.0,9.38,33.33,24.0,49.6,83.31,58.54
麥道朗,游達榮,1,1,1,7.8,100.0,100.0,5.56,12.5,33.33,44.44,80.56,71.53
麥道朗,呂健威,1,1,1,1.5,100.0,100.0,12.12,27.27,33.33,44.44,77.28,64.15
紀仁安,費伯華,1,1,1,2.7,100.0,100.0,50.0,50.0,33.33,33.33,58.34,58.34
莫艾誠,布銘球,1,1,1,12.0,100.0,100.0,100.0,100.0,16.67,16.67,41.66,41.66
三浦皇成,鹿戶雄一,0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
司徒岳,伊比軒,0,1,0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
川田將雅,中內田充正,0,1,1,9.3,0.0,100.0,0.0,100.0,0.0,33.33,0.0,33.34
川田將雅,杉山晴紀,0,1,0,47.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,-16.66
川田將雅,高野友和,0,1,0,10.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,-16.66
李慕華,手塚貴久,0,1,1,5.6,0.0,100.0,0.0,100.0,0.0,25.0,0.0,37.5
李慕華,森一誠,0,1,0,7.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,-12.5
李慕華,武井亮,0,1,0,5.7,0.0,0.0,0.0,0.0,0.0,25.0,0.0,-12.5
李慕華,田中博康,0,1,0,43.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,-12.5
杜滿樂,池添學,0,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜滿樂,雷里雅,0,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柯浩新,范鴻禧,0,1,0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橫山和生,上村洋行,0,1,1,9.4,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0
溫蘿,顧永賢,0,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
范以誠,雷拿及雷恩,0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
莫雷拉,國枝榮,0,1,1,3.2,0.0,100.0,0.0,100.0,0.0,57.14,0.0,21.43
莫雷拉,堀宣行,0,1,1,15.0,0.0,100.0,0.0,100.0,0.0,57.14,0.0,21.43
莫雷拉,武井亮,0,1,0,29.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,-28.57
莫雷拉,武英智,0,1,0,35.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,-28.57
莫雷拉,池江泰壽,0,1,1,4.6,0.0,100.0,0.0,100.0,0.0,57.14,0.0,21.43
菅原明良,高柳瑞樹,0,1,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,游孝廉,0,1,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,菲德文及菲敦盟,0,1,0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛凱華,馬漢雅,0,1,0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
薛恩,高亮能,0,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西村淳也,杉山晴紀,0,1,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
貝知仁,巴伯樂,0,1,0,82.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,-7.14
連達文,堀宣行,0,1,1,14.0,0.0,100.0,0.0,100.0,0.0,50.0,0.0,25.0
連達文,藤原英昭,0,1,0,94.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-25.0
郭立基,活侯夫人及布特,0,1,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
韋紀力,吉村圭司,0,1,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
韋紀力,比安威詹 希斯,0,1,0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬昆,郗國思,0,1,1,13.0,0.0,100.0,0.0,100.0,0.0,25.0,0.0,37.5
高力德,杉山晴紀,0,1,0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黎應揚,白祈達,0,1,0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜苑欣,韋達,0,1,0,52.0,0.0,0.0,1.16,16.28,0.0,0.0,-0.58,-8.14
貝知仁,韋達,0,1,0,72.0,0.0,0.0,1.16,16.28,0.0,14.29,-0.58,-15.28
巫顯東,容天鵬,0,1,0,107.0,0.0,0.0,2.13,6.38,0.0,8.7,-1.06,-7.54
湯普新,告東尼,0,1,0,58.0,0.0,0.0,4.71,14.12,0.0,9.84,-2.36,-11.98
麥當能,告東尼,0,1,0,100.0,0.0,0.0,4.71,14.12,0.0,0.0,-2.36,-7.06
巫顯東,黎昭昇,0,1,0,198.0,0.0,0.0,5.06,22.78,0.0,8.7,-2.53,-15.74
艾兆禮,容天鵬,0,1,0,21.0,0.0,0.0,2.13,6.38,3.19,20.21,-2.66,-13.3
馬昆,大衛希斯,0,1,0,42.0,0.0,0.0,5.36,23.21,0.0,25.0,-2.68,-24.1
貝知仁,葉楚航,0,1,0,83.0,0.0,0.0,5.41,14.86,0.0,14.29,-2.7,-14.58
賀銘年,葉楚航,0,1,0,46.0,0.0,0.0,5.41,14.86,0.0,5.88,-2.7,-10.37
麥當能,葉楚航,0,1,0,70.0,0.0,0.0,5.41,14.86,0.0,0.0,-2.7,-7.43
湯普新,游達榮,0,1,0,54.0,0.0,0.0,5.56,12.5,0.0,9.84,-2.78,-11.17
賀銘年,游達榮,0,1,0,31.0,0.0,0.0,5.56,12.5,0.0,5.88,-2.78,-9.19
麥當能,游達榮,0,1,0,155.0,0.0,0.0,5.56,12.5,0.0,0.0,-2.78,-6.25
布浩榮,沈集成,0,1,0,37.0,0.0,0.0,6.0,16.0,0.0,0.0,-3.0,-8.0
蘇銘倫,沈集成,0,1,0,17.0,0.0,0.0,6.0,16.0,0.0,33.33,-3.0,-24.66
貝知仁,沈集成,0,1,0,26.0,0.0,0.0,6.0,16.0,0.0,14.29,-3.0,-15.14
馬昆,沈集成,0,1,0,61.0,0.0,0.0,6.0,16.0,0.0,25.0,-3.0,-20.5
巴度,容天鵬,0,1,0,13.0,0.0,0.0,2.13,6.38,4.0,14.67,-3.06,-10.52
班德禮,容天鵬,0,1,0,21.0,0.0,0.0,2.13,6.38,4.17,15.28,-3.15,-10.83
布浩榮,賀賢,0,1,0,41.0,0.0,0.0,6.82,21.59,0.0,0.0,-3.41,-10.8
馬昆,賀賢,0,1,0,36.0,0.0,0.0,6.82,21.59,0.0,25.0,-3.41,-23.3
韋紀力,鄭俊偉,0,1,0,17.0,0.0,0.0,6.9,25.86,0.0,0.0,-3.45,-12.93
麥當能,鄭俊偉,0,1,0,91.0,0.0,0.0,6.9,25.86,0.0,0.0,-3.45,-12.93
梁家俊,韋達,0,1,0,118.0,0.0,0.0,1.16,16.28,5.83,22.33,-3.5,-19.3
薛恩,巫偉傑,0,1,0,25.0,0.0,0.0,7.45,19.15,0.0,0.0,-3.72,-9.57
鍾易禮,黎昭昇,0,1,0,32.0,0.0,0.0,5.06,22.78,2.41,8.43,-3.74,-15.6
巫顯東,徐雨石,0,1,0,104.0,0.0,0.0,7.69,12.82,0.0,8.7,-3.84,-10.76
杜苑欣,徐雨石,0,1,0,37.0,0.0,0.0,7.69,12.82,0.0,0.0,-3.84,-6.41
金誠剛,韋達,0,1,0,57.0,0.0,0.0,1.16,16.28,6.67,6.67,-3.92,-11.48
貝知仁,蔡約翰,0,1,0,8.0,0.0,0.0,8.14,24.42,0.0,14.29,-4.07,-19.36
潘大衛,羅富全,0,1,0,52.0,0.0,0.0,8.42,24.21,0.0,14.29,-4.21,-19.25
賀銘年,羅富全,0,1,0,7.1,0.0,0.0,8.42,24.21,0.0,5.88,-4.21,-15.04
杜苑欣,伍鵬志,0,1,0,16.0,0.0,0.0,9.0,20.0,0.0,0.0,-4.5,-10.0
巫顯東,丁冠豪,0,1,0,116.0,0.0,0.0,9.3,20.93,0.0,8.7,-4.65,-14.82
鍾易禮,鄭俊偉,0,1,0,234.0,0.0,0.0,6.9,25.86,2.41,8.43,-4.66,-17.14
巴度,大衛希斯,0,1,0,33.0,0.0,0.0,5.36,23.21,4.0,14.67,-4.68,-18.94
巫顯東,姚本輝,0,1,0,135.0,0.0,0.0,9.38,33.33,0.0,8.7,-4.69,-21.02
杜苑欣,姚本輝,0,1,0,24.0,0.0,0.0,9.38,33.33,0.0,0.0,-4.69,-16.66
湯普新,姚本輝,0,1,0,77.0,0.0,0.0,9.38,33.33,0.0,9.84,-4.69,-21.58
貝知仁,姚本輝,0,1,1,11.0,0.0,100.0,9.38,33.33,0.0,14.29,-4.69,76.19
班德禮,葉楚航,0,1,0,20.0,0.0,0.0,5.41,14.86,4.17,15.28,-4.79,-15.07
周俊樂,黎昭昇,0,1,0,4.0,0.0,0.0,5.06,22.78,4.9,12.75,-4.98,-17.76
巴度,沈集成,0,1,0,127.0,0.0,0.0,6.0,16.0,4.0,14.67,-5.0,-15.34
艾兆禮,鄭俊偉,0,1,0,45.0,0.0,0.0,6.9,25.86,3.19,20.21,-5.04,-23.04
周俊樂,大衛希斯,0,1,0,20.0,0.0,0.0,5.36,23.21,4.9,12.75,-5.13,-17.98
貝知仁,方嘉柏,0,1,0,58.0,0.0,0.0,10.34,24.14,0.0,14.29,-5.17,-19.22
賀銘年,方嘉柏,0,1,0,15.0,0.0,0.0,10.34,24.14,0.0,5.88,-5.17,-15.01
陳嘉熙,方嘉柏,0,1,0,9.9,0.0,0.0,10.34,24.14,0.0,42.86,-5.17,-33.5
希威森,葉楚航,0,1,0,36.0,0.0,0.0,5.41,14.86,4.95,14.85,-5.18,-14.86
楊明綸,黎昭昇,0,1,0,86.0,0.0,0.0,5.06,22.78,5.33,17.33,-5.2,-20.06
希威森,游達榮,0,1,0,136.0,0.0,0.0,5.56,12.5,4.95,14.85,-5.26,-13.68
董明朗,葉楚航,0,1,0,156.0,0.0,0.0,5.41,14.86,5.13,7.69,-5.27,-11.28
董明朗,游達榮,0,1,0,107.0,0.0,0.0,5.56,12.5,5.13,7.69,-5.34,-10.1
梁家俊,黎昭昇,0,1,0,8.1,0.0,0.0,5.06,22.78,5.83,22.33,-5.44,-22.56
湯普新,蘇偉賢,0,1,0,55.0,0.0,0.0,10.87,22.83,0.0,9.84,-5.44,-16.34
潘大衛,蘇偉賢,0,1,0,50.0,0.0,0.0,10.87,22.83,0.0,14.29,-5.44,-18.56
巴度,鄭俊偉,0,1,0,26.0,0.0,0.0,6.9,25.86,4.0,14.67,-5.45,-20.26
艾道拿,游達榮,0,1,0,48.0,0.0,0.0,5.56,12.5,5.43,25.0,-5.49,-18.75
蔡明紹,游達榮,0,1,0,92.0,0.0,0.0,5.56,12.5,5.49,18.68,-5.52,-15.59
董明朗,沈集成,0,1,0,113.0,0.0,0.0,6.0,16.0,5.13,7.69,-5.56,-11.84
黃智弘,告東尼,0,1,0,70.0,0.0,0.0,4.71,14.12,6.45,12.9,-5.58,-13.51
梁家俊,葉楚航,0,1,1,7.8,0.0,100.0,5.41,14.86,5.83,22.33,-5.62,81.4
蔡明紹,沈集成,0,1,0,119.0,0.0,0.0,6.0,16.0,5.49,18.68,-5.74,-17.34
班德禮,巫偉傑,0,1,1,6.1,0.0,100.0,7.45,19.15,4.17,15.28,-5.81,82.78
鍾易禮,丁冠豪,0,1,0,122.0,0.0,0.0,9.3,20.93,2.41,8.43,-5.86,-14.68
希威森,賀賢,0,1,0,113.0,0.0,0.0,6.82,21.59,4.95,14.85,-5.88,-18.22
黃智弘,葉楚航,0,1,0,33.0,0.0,0.0,5.41,14.86,6.45,12.9,-5.93,-13.88
巫顯東,呂健威,0,1,0,60.0,0.0,0.0,12.12,27.27,0.0,8.7,-6.06,-17.98
湯普新,呂健威,0,1,0,147.0,0.0,0.0,12.12,27.27,0.0,9.84,-6.06,-18.56
潘大衛,呂健威,0,1,0,75.0,0.0,0.0,12.12,27.27,0.0,14.29,-6.06,-20.78
賀銘年,呂健威,0,1,1,23.0,0.0,100.0,12.12,27.27,0.0,5.88,-6.06,83.42
麥當能,呂健威,0,1,0,26.0,0.0,0.0,12.12,27.27,0.0,0.0,-6.06,-13.64
艾道拿,鄭俊偉,0,1,0,42.0,0.0,0.0,6.9,25.86,5.43,25.0,-6.16,-25.43
田泰安,沈集成,0,1,0,8.0,0.0,0.0,6.0,16.0,6.56,20.49,-6.28,-18.24
董明朗,巫偉傑,0,1,0,39.0,0.0,0.0,7.45,19.15,5.13,7.69,-6.29,-13.42
金誠剛,沈集成,0,1,0,89.0,0.0,0.0,6.0,16.0,6.67,6.67,-6.34,-11.34
鍾易禮,廖康銘,0,1,0,33.0,0.0,0.0,10.42,22.92,2.41,8.43,-6.42,-15.68
黃寶妮,大衛希斯,0,1,0,65.0,0.0,0.0,5.36,23.21,7.69,11.54,-6.52,-17.38
班德禮,伍鵬志,0,1,0,69.0,0.0,0.0,9.0,20.0,4.17,15.28,-6.58,-17.64
巴度,丁冠豪,0,1,0,17.0,0.0,0.0,9.3,20.93,4.0,14.67,-6.65,-17.8
希威森,羅富全,0,1,0,5.0,0.0,0.0,8.42,24.21,4.95,14.85,-6.68,-19.53
霍宏聲,容天鵬,0,1,0,36.0,0.0,0.0,2.13,6.38,11.36,21.59,-6.74,-13.98
梁家俊,徐雨石,0,1,0,55.0,0.0,0.0,7.69,12.82,5.83,22.33,-6.76,-17.58
鍾易禮,桂福特,0,1,0,85.0,0.0,0.0,11.11,22.22,2.41,8.43,-6.76,-15.32
黃寶妮,沈集成,0,1,0,51.0,0.0,0.0,6.0,16.0,7.69,11.54,-6.85,-13.77
楊明綸,羅富全,0,1,0,8.0,0.0,0.0,8.42,24.21,5.33,17.33,-6.88,-20.77
董明朗,文家良,0,1,0,70.0,0.0,0.0,8.64,16.05,5.13,7.69,-6.88,-11.87
黃智弘,巫偉傑,0,1,0,22.0,0.0,0.0,7.45,19.15,6.45,12.9,-6.95,-16.02
艾道拿,文家良,0,1,0,10.0,0.0,0.0,8.64,16.05,5.43,25.0,-7.04,-20.52
希威森,丁冠豪,0,1,0,67.0,0.0,0.0,9.3,20.93,4.95,14.85,-7.12,-17.89
楊明綸,伍鵬志,0,1,0,62.0,0.0,0.0,9.0,20.0,5.33,17.33,-7.16,-18.66
艾道拿,伍鵬志,0,1,0,70.0,0.0,0.0,9.0,20.0,5.43,25.0,-7.22,-22.5
董明朗,丁冠豪,0,1,0,82.0,0.0,0.0,9.3,20.93,5.13,7.69,-7.22,-14.31
蔡明紹,伍鵬志,0,1,0,44.0,0.0,0.0,9.0,20.0,5.49,18.68,-7.24,-19.34
董明朗,姚本輝,0,1,0,52.0,0.0,0.0,9.38,33.33,5.13,7.69,-7.26,-20.51
楊明綸,丁冠豪,0,1,1,2.7,0.0,100.0,9.3,20.93,5.33,17.33,-7.32,80.87
蔡明紹,丁冠豪,0,1,0,14.0,0.0,0.0,9.3,20.93,5.49,18.68,-7.4,-19.8
蔡明紹,姚本輝,0,1,0,13.0,0.0,0.0,9.38,33.33,5.49,18.68,-7.44,-26.0
潘明輝,黎昭昇,0,1,0,58.0,0.0,0.0,5.06,22.78,10.1,22.22,-7.58,-22.5
希威森,方嘉柏,0,1,0,13.0,0.0,0.0,10.34,24.14,4.95,14.85,-7.64,-19.5
周俊樂,廖康銘,0,1,0,20.0,0.0,0.0,10.42,22.92,4.9,12.75,-7.66,-17.84
黃寶妮,徐雨石,0,1,0,9.3,0.0,0.0,7.69,12.82,7.69,11.54,-7.69,-12.18
潘明輝,大衛希斯,0,1,1,10.0,0.0,100.0,5.36,23.21,10.1,22.22,-7.73,77.28
金誠剛,伍鵬志,0,1,0,56.0,0.0,0.0,9.0,20.0,6.67,6.67,-7.84,-13.34
蔡明紹,方嘉柏,0,1,0,35.0,0.0,0.0,10.34,24.14,5.49,18.68,-7.92,-21.41
黃智弘,姚本輝,0,1,0,7.5,0.0,0.0,9.38,33.33,6.45,12.9,-7.92,-23.12
巴度,呂健威,0,1,0,24.0,0.0,0.0,12.12,27.27,4.0,14.67,-8.06,-20.97
黃寶妮,羅富全,0,1,0,24.0,0.0,0.0,8.42,24.21,7.69,11.54,-8.06,-17.88
董明朗,桂福特,0,1,0,93.0,0.0,0.0,11.11,22.22,5.13,7.69,-8.12,-14.96
布文,葉楚航,0,1,0,71.0,0.0,0.0,5.41,14.86,10.87,33.7,-8.14,-24.28
莫艾誠,伯特,0,1,0,17.0,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
莫艾誠,侯耀誠,0,1,0,147.0,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
莫艾誠,岳品賢,0,1,0,367.0,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
莫雅,范景新,0,1,0,79.0,0.0,0.0,0.0,0.0,16.67,16.67,-8.34,-8.34
霍宏聲,葉楚航,0,1,0,37.0,0.0,0.0,5.41,14.86,11.36,21.59,-8.38,-18.23
何澤堯,沈集成,0,1,0,16.0,0.0,0.0,6.0,16.0,10.98,25.61,-8.49,-20.8
奧爾民,告東尼,0,1,0,87.0,0.0,0.0,4.71,14.12,12.5,21.88,-8.6,-18.0
霍宏聲,沈集成,0,1,0,117.0,0.0,0.0,6.0,16.0,11.36,21.59,-8.68,-18.8
潘明輝,徐雨石,0,1,0,54.0,0.0,0.0,7.69,12.82,10.1,22.22,-8.9,-17.52
奧爾民,大衛希斯,0,1,0,45.0,0.0,0.0,5.36,23.21,12.5,21.88,-8.93,-22.54
奧爾民,葉楚航,0,1,0,21.0,0.0,0.0,5.41,14.86,12.5,21.88,-8.96,-18.37
奧爾民,游達榮,0,1,0,54.0,0.0,0.0,5.56,12.5,12.5,21.88,-9.03,-17.19
潘明輝,蔡約翰,0,1,0,23.0,0.0,0.0,8.14,24.42,10.1,22.22,-9.12,-23.32
田泰安,呂健威,0,1,0,47.0,0.0,0.0,12.12,27.27,6.56,20.49,-9.34,-23.88
布文,丁冠豪,0,1,0,29.0,0.0,0.0,9.3,20.93,10.87,33.7,-10.09,-27.32
何澤堯,丁冠豪,0,1,0,16.0,0.0,0.0,9.3,20.93,10.98,25.61,-10.14,-23.27
潘明輝,方嘉柏,0,1,0,52.0,0.0,0.0,10.34,24.14,10.1,22.22,-10.22,-23.18
潘明輝,蘇偉賢,0,1,0,88.0,0.0,0.0,10.87,22.83,10.1,22.22,-10.48,-22.52
布文,廖康銘,0,1,0,18.0,0.0,0.0,10.42,22.92,10.87,33.7,-10.64,-28.31
麥文堅,游達榮,0,1,0,46.0,0.0,0.0,5.56,12.5,16.67,16.67,-11.12,-14.58
麥文堅,沈集成,0,1,0,18.0,0.0,0.0,6.0,16.0,16.67,16.67,-11.34,-16.34
奧爾民,方嘉柏,0,1,0,49.0,0.0,0.0,10.34,24.14,12.5,21.88,-11.42,-23.01
霍宏聲,呂健威,0,1,0,9.7,0.0,0.0,12.12,27.27,11.36,21.59,-11.74,-24.43
潘頓,馬晏殊,0,1,0,13.0,0.0,0.0,0.0,0.0,24.0,49.6,-12.0,-24.8
潘頓,韋達,0,1,1,4.6,0.0,100.0,1.16,16.28,24.0,49.6,-12.58,67.06
潘頓,容天鵬,0,1,0,8.0,0.0,0.0,2.13,6.38,24.0,49.6,-13.06,-27.99
麥文堅,廖康銘,0,1,0,108.0,0.0,0.0,10.42,22.92,16.67,16.67,-13.55,-19.8
麥道朗,中內田充正,0,1,1,3.5,0.0,100.0,0.0,100.0,33.33,44.44,-16.66,27.78
潘頓,方嘉柏,0,1,0,13.0,0.0,0.0,10.34,24.14,24.0,49.6,-17.17,-36.87
袁幸堯,韋達,0,1,1,16.0,0.0,100.0,1.16,16.28,33.33,100.0,-17.24,41.86
麥道朗,文家良,0,1,0,26.0,0.0,0.0,8.64,16.05,33.33,44.44,-20.98,-30.24
紀仁安,伍鵬志,0,1,0,21.0,0.0,0.0,9.0,20.0,33.33,33.33,-21.16,-26.66
紀仁安,方嘉柏,0,1,0,9.2,0.0,0.0,10.34,24.14,33.33,33.33,-21.84,-28.74
麥道朗,方嘉柏,0,1,0,24.0,0.0,0.0,10.34,24.14,33.33,44.44,-21.84,-34.29
巴米高,費伯華,0,1,0,6.1,0.0,0.0,50.0,50.0,0.0,0.0,-25.0,-25.0
