Trainer,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
岳品賢,0,1,0,-1.0,367.0,0.0,0.0,-100.0,0,1,0,-1.0,367.0,0.0,0.0,-100.0,0.0,0.0,0.0
巴伯樂,0,1,0,-1.0,82.0,0.0,0.0,-100.0,0,1,0,-1.0,82.0,0.0,0.0,-100.0,0.0,0.0,0.0
手塚貴久,0,1,1,-1.0,5.6,0.0,100.0,-100.0,0,1,1,-1.0,5.6,0.0,100.0,-100.0,0.0,0.0,0.0
森一誠,0,1,0,-1.0,7.2,0.0,0.0,-100.0,0,1,0,-1.0,7.2,0.0,0.0,-100.0,0.0,0.0,0.0
武英智,0,1,0,-1.0,35.0,0.0,0.0,-100.0,0,1,0,-1.0,35.0,0.0,0.0,-100.0,0.0,0.0,0.0
比安威詹 希斯,0,1,0,-1.0,5.6,0.0,0.0,-100.0,0,1,0,-1.0,5.6,0.0,0.0,-100.0,0.0,0.0,0.0
池江泰壽,0,1,1,-1.0,4.6,0.0,100.0,-100.0,0,2,2,-2.0,5.85,0.0,100.0,-100.0,0.0,0.0,0.0
池添學,0,1,0,-1.0,20.0,0.0,0.0,-100.0,0,1,0,-1.0,20.0,0.0,0.0,-100.0,0.0,0.0,0.0
活侯夫人及布特,0,1,0,-1.0,34.0,0.0,0.0,-100.0,0,1,0,-1.0,34.0,0.0,0.0,-100.0,0.0,0.0,0.0
游孝廉,0,1,0,-1.0,61.0,0.0,0.0,-100.0,0,3,1,-3.0,55.33,0.0,33.33,-100.0,0.0,-33.33,0.0
田中博康,0,1,0,-1.0,43.0,0.0,0.0,-100.0,0,1,0,-1.0,43.0,0.0,0.0,-100.0,0.0,0.0,0.0
白祈達,0,1,0,-1.0,106.0,0.0,0.0,-100.0,0,1,0,-1.0,106.0,0.0,0.0,-100.0,0.0,0.0,0.0
范景新,0,1,0,-1.0,79.0,0.0,0.0,-100.0,0,1,0,-1.0,79.0,0.0,0.0,-100.0,0.0,0.0,0.0
范鴻禧,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0.0,0.0,0.0
菲德文及菲敦盟,0,1,0,-1.0,5.9,0.0,0.0,-100.0,0,1,0,-1.0,5.9,0.0,0.0,-100.0,0.0,0.0,0.0
藤原英昭,0,1,0,-1.0,94.0,0.0,0.0,-100.0,0,1,0,-1.0,94.0,0.0,0.0,-100.0,0.0,0.0,0.0
郗國思,0,1,1,-1.0,13.0,0.0,100.0,-100.0,0,2,1,-2.0,8.0,0.0,50.0,-100.0,0.0,50.0,0.0
雷拿及雷恩,0,1,0,-1.0,82.0,0.0,0.0,-100.0,0,1,0,-1.0,82.0,0.0,0.0,-100.0,0.0,0.0,0.0
雷里雅,0,1,0,-1.0,11.0,0.0,0.0,-100.0,0,1,0,-1.0,11.0,0.0,0.0,-100.0,0.0,0.0,0.0
顧永賢,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0.0,0.0,0.0
馬晏殊,0,1,0,-1.0,13.0,0.0,0.0,-100.0,0,1,0,-1.0,13.0,0.0,0.0,-100.0,0.0,0.0,0.0
馬漢雅,0,1,0,-1.0,148.0,0.0,0.0,-100.0,0,1,0,-1.0,148.0,0.0,0.0,-100.0,0.0,0.0,0.0
高亮能,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0,1,0,-1.0,16.0,0.0,0.0,-100.0,0.0,0.0,0.0
高柳瑞樹,0,1,0,-1.0,76.0,0.0,0.0,-100.0,0,1,0,-1.0,76.0,0.0,0.0,-100.0,0.0,0.0,0.0
高野友和,0,1,0,-1.0,10.0,0.0,0.0,-100.0,0,2,0,-2.0,6.5,0.0,0.0,-100.0,0.0,0.0,0.0
鹿戶雄一,0,1,0,-1.0,69.0,0.0,0.0,-100.0,0,1,0,-1.0,69.0,0.0,0.0,-100.0,0.0,0.0,0.0
