WtBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Heavy (131+),23,221,69,24.58,10.41,31.22
Med-Heavy (127-130),57,632,133,40.99,9.02,21.04
Light (<=115),4,60,13,41.77,6.67,21.67
Medium (121-126),42,684,125,43.79,6.14,18.27
Med-Light (116-120),12,277,49,42.66,4.33,17.69
