Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
艾兆禮,蔡約翰,17,121,35,-6.5,14.0,28.9,-5.4
潘頓,大衛希斯,16,61,27,-4.7,26.2,44.3,-7.7
黃智弘,方嘉柏,16,113,33,32.900000000000006,14.2,29.2,29.1
鍾易禮,告東尼,14,173,30,-76.3,8.1,17.3,-44.1
何澤堯,呂健威,13,104,36,-12.000000000000004,12.5,34.6,-11.5
田泰安,桂福特,12,122,38,-22.8,9.8,31.1,-18.7
班德禮,大衛希斯,11,93,22,-11.2,11.8,23.7,-12.0
莫雷拉,方嘉柏,10,61,20,6.399999999999999,16.4,32.8,10.5
潘頓,沈集成,10,31,17,3.6,32.3,54.8,11.6
周俊樂,巫偉傑,10,76,22,-29.0,13.2,28.9,-38.2
潘頓,廖康銘,10,32,19,-0.7999999999999998,31.2,59.4,-2.5
布文,沈集成,10,48,20,45.7,20.8,41.7,95.2
艾兆禮,廖康銘,9,60,22,1.299999999999999,15.0,36.7,2.2
潘頓,文家良,9,33,21,-5.0,27.3,63.6,-15.2
潘頓,姚本輝,8,22,13,9.4,36.4,59.1,42.7
梁家俊,羅富全,8,89,26,-8.600000000000001,9.0,29.2,-9.7
梁家俊,巫偉傑,7,81,14,65.1,8.6,17.3,80.4
艾兆禮,賀賢,7,32,14,68.3,21.9,43.8,213.4
霍宏聲,廖康銘,7,91,25,-50.4,7.7,27.5,-55.4
何澤堯,方嘉柏,7,57,16,-36.0,12.3,28.1,-63.2
潘頓,呂健威,7,36,22,-7.3999999999999995,19.4,61.1,-20.6
希威森,廖康銘,7,88,24,-33.6,8.0,27.3,-38.2
布文,方嘉柏,6,37,13,9.2,16.2,35.1,24.9
潘頓,黎昭昇,6,35,13,-18.0,17.1,37.1,-51.4
潘明輝,羅富全,6,57,13,25.7,10.5,22.8,45.1
潘頓,蘇偉賢,6,29,12,-9.3,20.7,41.4,-32.1
周俊樂,游達榮,6,41,15,-2.200000000000001,14.6,36.6,-5.4
艾道拿,蔡約翰,6,110,31,-28.599999999999998,5.5,28.2,-26.0
麥道朗,沈集成,6,17,7,10.3,35.3,41.2,60.6
潘頓,伍鵬志,6,26,13,-0.7000000000000002,23.1,50.0,-2.7
奧爾民,賀賢,6,72,18,51.6,8.3,25.0,71.7
潘明輝,賀賢,5,84,19,60.7,6.0,22.6,72.3
奧爾民,徐雨石,5,52,15,-2.3999999999999986,9.6,28.8,-4.6
霍宏聲,韋達,5,33,8,22.6,15.2,24.2,68.5
班德禮,羅富全,5,25,9,10.600000000000001,20.0,36.0,42.4
班德禮,蘇偉賢,5,36,16,6.6,13.9,44.4,18.3
潘頓,羅富全,5,44,18,-26.0,11.4,40.9,-59.1
楊明綸,呂健威,5,28,6,12.4,17.9,21.4,44.3
巴度,黎昭昇,5,40,12,32.1,12.5,30.0,80.2
霍宏聲,游達榮,5,53,12,71.8,9.4,22.6,135.5
紀仁安,徐雨石,5,31,13,7.7,16.1,41.9,24.8
周俊樂,呂健威,4,29,12,8.399999999999999,13.8,41.4,29.0
布文,廖康銘,4,22,7,-4.1,18.2,31.8,-18.6
奧爾民,蘇偉賢,4,40,9,48.1,10.0,22.5,120.3
霍宏聲,伍鵬志,4,28,7,52.0,14.3,25.0,185.7
巴度,廖康銘,4,39,12,34.7,10.3,30.8,89.0
艾兆禮,伍鵬志,4,48,11,-22.9,8.3,22.9,-47.7
田泰安,沈集成,4,18,5,8.7,22.2,27.8,48.3
潘頓,丁冠豪,4,7,6,2.6000000000000005,57.1,85.7,37.1
布文,告東尼,4,35,8,-6.6,11.4,22.9,-18.9
潘頓,賀賢,4,43,14,-23.6,9.3,32.6,-54.9
潘明輝,巫偉傑,4,33,10,-3.8000000000000007,12.1,30.3,-11.5
潘明輝,鄭俊偉,4,30,7,47.9,13.3,23.3,159.7
