Trainer,Distance,Wins,Starts,Places,WinRate
呂健威,1200,4,18,6,22.2
羅富全,1200,3,10,4,30.0
廖康銘,1200,2,15,4,13.3
呂健威,1000,2,8,2,25.0
告東尼,1000,1,3,1,33.3
伍鵬志,1600,1,2,1,50.0
巫偉傑,1200,1,12,3,8.3
姚本輝,1400,1,3,1,33.3
姚本輝,1000,1,6,3,16.7
姚本輝,1200,1,12,2,8.3
賀賢,1000,1,4,1,25.0
費伯華,2400,1,1,1,100.0
蘇偉賢,1200,1,15,4,6.7
蔡約翰,1800,1,1,1,100.0
文家良,1200,1,14,2,7.1
鄭俊偉,1000,1,8,2,12.5
桂福特,1200,1,4,1,25.0
方嘉柏,1200,1,7,1,14.3
方嘉柏,1000,1,6,3,16.7
文家良,1000,1,6,1,16.7
伍鵬志,1200,1,11,2,9.1
大衛希斯,1200,1,17,3,5.9
黎昭昇,1000,1,3,2,33.3
游達榮,1200,1,10,1,10.0
蔡約翰,1000,1,4,1,25.0
葉楚航,1000,1,6,3,16.7
丁冠豪,1000,0,2,0,0.0
伍鵬志,1000,0,6,0,0.0
上村洋行,2000,0,1,1,0.0
丁冠豪,1200,0,2,0,0.0
伍鵬志,1400,0,4,0,0.0
包義定,2400,0,1,0,0.0
告東尼,1200,0,7,1,0.0
呂健威,1400,0,2,0,0.0
侯耀誠,1200,0,1,0,0.0
伍鵬志,2000,0,1,0,0.0
伯特,2000,0,1,0,0.0
伍鵬志,1800,0,1,0,0.0
巫偉傑,1800,0,2,0,0.0
巫偉傑,1650,0,2,0,0.0
巫偉傑,1600,0,1,0,0.0
巫偉傑,1400,0,1,0,0.0
巫偉傑,1000,0,5,0,0.0
岳本賢,2400,0,1,0,0.0
岳本賢,2000,0,1,0,0.0
岳品賢,1200,0,1,0,0.0
大衛希斯,1600,0,1,0,0.0
岳伯仁,2400,0,1,0,0.0
岳伯仁,1600,0,1,0,0.0
大衛希斯,1400,0,2,0,0.0
告東尼,1400,0,1,0,0.0
告東尼,1600,0,1,0,0.0
告東尼,1650,0,1,0,0.0
大衛希斯,1000,0,11,2,0.0
文家良,1400,0,2,0,0.0
方嘉柏,1400,0,2,0,0.0
杉山晴紀,2000,0,1,0,0.0
桂福特,1000,0,2,1,0.0
桂福特,1400,0,2,0,0.0
桂福特,1650,0,1,0,0.0
廖康銘,1000,0,3,0,0.0
巴伯樂,1600,0,1,0,0.0
徐雨石,1400,0,1,0,0.0
徐雨石,1200,0,5,0,0.0
徐雨石,1000,0,3,0,0.0
廖康銘,1600,0,3,0,0.0
徐雨石,1600,0,1,0,0.0
手塚貴久,2000,0,1,1,0.0
文家良,1600,0,1,0,0.0
廖康銘,1400,0,3,0,0.0
游達榮,1000,0,2,0,0.0
沈集成,1650,0,1,0,0.0
沈集成,1600,0,1,0,0.0
沈集成,1400,0,5,1,0.0
沈集成,1200,0,10,2,0.0
沈集成,1000,0,5,0,0.0
武英智,2000,0,1,0,0.0
武井亮,2400,0,1,0,0.0
武井亮,1600,0,1,0,0.0
森一誠,1600,0,1,0,0.0
羅富全,1400,0,4,0,0.0
羅富全,1000,0,5,1,0.0
游達榮,1650,0,1,0,0.0
田中博康,2000,0,1,0,0.0
游達榮,1600,0,1,0,0.0
游達榮,1400,0,8,0,0.0
蔡約翰,1600,0,1,0,0.0
蔡約翰,1200,0,6,1,0.0
葛威法,2000,0,1,1,0.0
葉楚航,1200,0,12,0,0.0
羅富全,1650,0,1,0,0.0
羅富全,1800,0,1,1,0.0
賀賢,1200,0,8,2,0.0
蘇偉賢,1000,0,11,2,0.0
賀賢,1400,0,3,0,0.0
鄭俊偉,1200,0,5,0,0.0
韋達,1200,0,5,1,0.0
韋達,1000,0,6,2,0.0
韋達,1400,0,4,0,0.0
韋達,1600,0,2,0,0.0
鹿戶雄一,1200,0,1,0,0.0
黎昭昇,1200,0,13,3,0.0
