Draw,Wins,Starts,Places,WinRate,PlaceRate
1,1,29,4,3.4,13.8
2,2,29,4,6.9,13.8
3,2,39,8,5.1,20.5
4,4,39,6,10.3,15.4
5,1,34,7,2.9,20.6
6,4,36,10,11.1,27.8
7,6,30,7,20.0,23.3
8,4,35,8,11.4,22.9
9,2,38,4,5.3,10.5
10,0,30,1,0.0,3.3
11,3,36,8,8.3,22.2
12,2,27,5,7.4,18.5
13,0,15,2,0.0,13.3
14,2,11,5,18.2,45.5
