Trainer,RaceClass,Wins,Starts,Places,WinRate
韋達,Class 4,14,199,49,7.0
韋達,Class 5,4,53,15,7.5
韋達,Griffin,0,3,0,0.0
韋達,Group 1,0,3,1,0.0
高野友和,Group 1,0,1,0,0.0
鹿戶雄一,Group 1,0,1,0,0.0
黎昭昇,Class 2,0,2,1,0.0
黎昭昇,Class 3,7,71,16,9.9
黎昭昇,Class 4,13,177,45,7.3
黎昭昇,Class 5,1,48,8,2.1
黎昭昇,Group 1,0,2,0,0.0
