Jockey,RaceClass,Wins,Starts,Places,WinRate
三浦皇成,Group 1,0,1,0,0.0
何澤堯,Class 1,0,1,1,0.0
何澤堯,Class 2,2,20,10,10.0
何澤堯,Class 3,11,103,22,10.7
何澤堯,Class 4,15,177,45,8.5
何澤堯,Class 5,0,28,4,0.0
何澤堯,Group 1,0,6,2,0.0
何澤堯,Group 2,0,2,0,0.0
何澤堯,Group 3,0,2,1,0.0
周俊樂,Class 1,0,1,0,0.0
周俊樂,Class 2,2,19,5,10.5
周俊樂,Class 3,10,98,25,10.2
周俊樂,Class 4,18,211,53,8.5
周俊樂,Class 5,7,58,17,12.1
周俊樂,Group 1,0,1,0,0.0
周俊樂,Group 2,0,3,1,0.0
周俊樂,Group 3,0,3,0,0.0
奧爾民,Class 2,0,7,1,0.0
奧爾民,Class 3,6,84,21,7.1
奧爾民,Class 4,18,199,55,9.0
奧爾民,Class 5,2,64,9,3.1
奧爾民,Griffin,1,1,1,100.0
奧爾民,Group 1,0,3,0,0.0
奧爾民,Group 2,0,2,0,0.0
奧爾民,Group 3,0,3,1,0.0
川田將雅,Group 1,0,1,0,0.0
巫顯東,Class 2,1,9,2,11.1
巫顯東,Class 3,3,37,5,8.1
巫顯東,Class 4,0,43,1,0.0
巫顯東,Class 5,0,23,0,0.0
巫顯東,Group 1,0,2,1,0.0
巫顯東,Group 3,0,2,1,0.0
巴度,Class 1,0,2,0,0.0
巴度,Class 2,2,29,11,6.9
巴度,Class 3,9,122,34,7.4
巴度,Class 4,12,165,32,7.3
巴度,Class 5,2,41,11,4.9
巴度,Group 1,0,4,0,0.0
巴度,Group 2,1,5,2,20.0
巴度,Group 3,1,6,5,16.7
巴米高,Class 2,0,1,0,0.0
巴米高,Class 4,0,1,1,0.0
巴米高,Group 1,0,4,0,0.0
布宜學,Group 1,1,4,1,25.0
布文,Class 1,1,2,1,50.0
布文,Class 2,7,33,10,21.2
布文,Class 3,9,120,30,7.5
布文,Class 4,25,212,72,11.8
布文,Class 5,10,61,27,16.4
布文,Griffin,0,1,0,0.0
布文,Group 1,2,15,6,13.3
布文,Group 2,0,5,3,0.0
布文,Group 3,0,8,3,0.0
布浩榮,Class 2,0,1,0,0.0
布浩榮,Class 3,0,9,1,0.0
布浩榮,Class 4,1,17,6,5.9
布浩榮,Class 5,0,5,0,0.0
布浩榮,Group 1,0,1,0,0.0
希威森,Class 2,0,31,4,0.0
希威森,Class 3,5,108,21,4.6
希威森,Class 4,15,184,44,8.2
希威森,Class 5,3,43,10,7.0
希威森,Griffin,0,2,0,0.0
希威森,Group 2,0,1,0,0.0
希威森,Group 3,1,2,2,50.0
李寶利,Class 2,0,2,0,0.0
李寶利,Class 3,0,3,0,0.0
李寶利,Class 4,0,2,0,0.0
李寶利,Class 5,0,1,0,0.0
李寶利,Group 1,0,4,1,0.0
李慕華,Class 4,0,1,0,0.0
李慕華,Group 1,0,8,2,0.0
杜滿樂,Group 1,0,1,1,0.0
杜苑欣,Class 2,0,9,1,0.0
杜苑欣,Class 3,2,24,7,8.3
杜苑欣,Class 4,3,41,8,7.3
杜苑欣,Class 5,0,15,4,0.0
杜苑欣,Group 1,0,5,0,0.0
杜苑欣,Group 2,0,2,1,0.0
杜苑欣,Group 3,0,1,0,0.0
梁家俊,Class 1,0,1,1,0.0
梁家俊,Class 2,2,20,6,10.0
梁家俊,Class 3,6,85,16,7.1
梁家俊,Class 4,12,174,31,6.9
梁家俊,Class 5,1,38,3,2.6
梁家俊,Griffin,0,1,0,0.0
梁家俊,Group 1,0,5,2,0.0
梁家俊,Group 2,1,6,2,16.7
梁家俊,Group 3,1,4,1,25.0
楊明綸,Class 1,0,2,0,0.0
楊明綸,Class 2,0,25,1,0.0
楊明綸,Class 3,6,101,14,5.9
楊明綸,Class 4,10,186,30,5.4
楊明綸,Class 5,1,50,6,2.0
楊明綸,Griffin,0,2,1,0.0
楊明綸,Group 1,0,1,0,0.0
楊明綸,Group 2,0,2,0,0.0
楊明綸,Group 3,0,2,0,0.0
橫山和生,Group 1,0,1,1,0.0
潘大衛,Class 2,0,3,0,0.0
潘大衛,Class 3,0,30,1,0.0
潘大衛,Class 4,0,72,6,0.0
潘大衛,Class 5,0,24,1,0.0
潘大衛,Group 2,0,2,0,0.0
潘大衛,Group 3,0,1,0,0.0
潘明輝,Class 1,0,2,0,0.0
潘明輝,Class 2,0,15,1,0.0
潘明輝,Class 3,10,125,32,8.0
潘明輝,Class 4,10,179,32,5.6
潘明輝,Class 5,4,53,12,7.5
潘明輝,Group 1,0,1,0,0.0
潘明輝,Group 2,0,3,0,0.0
潘明輝,Group 3,1,4,1,25.0
潘頓,Class 1,2,2,2,100.0
潘頓,Class 2,7,35,16,20.0
潘頓,Class 3,33,158,81,20.9
潘頓,Class 4,48,248,115,19.4
潘頓,Class 5,12,76,35,15.8
潘頓,Griffin,1,2,1,50.0
潘頓,Group 1,6,13,9,46.2
潘頓,Group 2,2,6,4,33.3
潘頓,Group 3,0,7,1,0.0
班德禮,Class 1,0,3,0,0.0
班德禮,Class 2,5,29,9,17.2
班德禮,Class 3,9,111,27,8.1
班德禮,Class 4,14,169,40,8.3
班德禮,Class 5,1,49,7,2.0
班德禮,Griffin,0,2,1,0.0
班德禮,Group 1,0,6,0,0.0
班德禮,Group 2,1,5,1,20.0
班德禮,Group 3,0,5,0,0.0
田泰安,Class 1,0,2,0,0.0
田泰安,Class 2,3,36,12,8.3
田泰安,Class 3,5,139,23,3.6
田泰安,Class 4,14,239,53,5.9
田泰安,Class 5,10,67,21,14.9
田泰安,Griffin,0,2,0,0.0
田泰安,Group 1,0,2,0,0.0
田泰安,Group 2,0,5,0,0.0
田泰安,Group 3,2,5,3,40.0
紀仁安,Class 2,1,10,3,10.0
紀仁安,Class 3,5,53,19,9.4
紀仁安,Class 4,6,75,20,8.0
紀仁安,Class 5,2,24,7,8.3
紀仁安,Group 1,1,6,2,16.7
紀仁安,Group 3,0,2,0,0.0
艾兆禮,Class 1,0,3,1,0.0
艾兆禮,Class 2,7,35,18,20.0
艾兆禮,Class 3,13,157,45,8.3
艾兆禮,Class 4,27,217,52,12.4
艾兆禮,Class 5,5,47,12,10.6
艾兆禮,Griffin,0,1,0,0.0
艾兆禮,Group 1,0,2,1,0.0
艾兆禮,Group 2,0,5,0,0.0
艾兆禮,Group 3,1,6,1,16.7
艾道拿,Class 1,0,1,0,0.0
艾道拿,Class 2,0,21,1,0.0
艾道拿,Class 3,5,73,23,6.8
艾道拿,Class 4,7,176,39,4.0
艾道拿,Class 5,3,52,6,5.8
艾道拿,Group 1,0,7,2,0.0
艾道拿,Group 2,0,6,2,0.0
艾道拿,Group 3,0,5,1,0.0
莫艾誠,Class 4,0,1,0,0.0
莫艾誠,Group 1,0,4,0,0.0
莫雅,Class 2,0,1,0,0.0
莫雅,Class 3,0,1,0,0.0
莫雅,Class 4,0,1,0,0.0
莫雅,Group 1,2,7,2,28.6
莫雷拉,Class 2,0,5,1,0.0
莫雷拉,Class 3,3,19,7,15.8
莫雷拉,Class 4,3,30,7,10.0
莫雷拉,Class 5,4,10,5,40.0
莫雷拉,Griffin,0,1,1,0.0
莫雷拉,Group 1,0,8,1,0.0
董明朗,Class 1,0,1,0,0.0
董明朗,Class 2,0,3,2,0.0
董明朗,Class 3,0,14,1,0.0
董明朗,Class 4,0,31,7,0.0
董明朗,Class 5,0,11,0,0.0
董明朗,Group 2,0,2,1,0.0
董明朗,Group 3,0,1,1,0.0
蔡明紹,Class 1,0,1,0,0.0
蔡明紹,Class 2,0,27,8,0.0
蔡明紹,Class 3,5,108,20,4.6
蔡明紹,Class 4,7,148,26,4.7
蔡明紹,Class 5,0,47,9,0.0
蔡明紹,Group 1,0,2,0,0.0
蔡明紹,Group 2,0,4,0,0.0
蔡明紹,Group 3,0,4,0,0.0
薛凱華,Class 3,0,1,0,0.0
薛凱華,Class 4,0,1,0,0.0
薛凱華,Group 1,0,1,1,0.0
蘇銘倫,Class 3,0,2,1,0.0
蘇銘倫,Group 1,0,3,2,0.0
袁幸堯,Class 2,0,2,0,0.0
袁幸堯,Class 3,2,14,4,14.3
袁幸堯,Class 4,4,29,14,13.8
袁幸堯,Class 5,1,7,1,14.3
袁幸堯,Griffin,0,1,1,0.0
貝知仁,Group 1,0,1,0,0.0
金美琪,Group 1,0,4,1,0.0
