Distance,Wins,Starts,Places,WinRate
1000,11,115,27,9.6
1200,18,221,43,8.1
1400,1,47,2,2.1
1600,1,19,1,5.3
1650,0,7,0,0.0
1800,1,5,2,20.0
2000,0,9,3,0.0
2400,1,5,1,20.0
