Trainer,Month,Wins,Starts,Places,WinRate
葉楚航,2026-05,2,19,6,10.5
葛威法,2025-12,0,2,2,0.0
蔡約翰,2025-09,2,45,9,4.4
蔡約翰,2025-10,0,64,10,0.0
蔡約翰,2025-11,4,61,12,6.6
蔡約翰,2025-12,6,52,16,11.5
蔡約翰,2026-01,9,71,21,12.7
蔡約翰,2026-02,5,63,20,7.9
蔡約翰,2026-03,7,60,24,11.7
蔡約翰,2026-04,8,51,25,15.7
蔡約翰,2026-05,3,20,8,15.0
蘇偉賢,2025-09,1,39,7,2.6
蘇偉賢,2025-10,4,53,12,7.5
蘇偉賢,2025-11,3,45,11,6.7
蘇偉賢,2025-12,5,42,11,11.9
蘇偉賢,2026-01,2,51,7,3.9
蘇偉賢,2026-02,1,41,11,2.4
蘇偉賢,2026-03,4,37,9,10.8
蘇偉賢,2026-04,3,39,8,7.7
蘇偉賢,2026-05,1,16,5,6.2
費伯華,2025-12,1,1,1,100.0
費伯華,2026-04,0,1,1,0.0
賀賢,2025-09,1,18,7,5.6
賀賢,2025-10,5,49,16,10.2
賀賢,2025-11,3,40,10,7.5
賀賢,2025-12,3,39,6,7.7
賀賢,2026-01,1,43,9,2.3
賀賢,2026-02,4,47,17,8.5
賀賢,2026-03,5,45,14,11.1
賀賢,2026-04,2,42,6,4.8
賀賢,2026-05,1,15,4,6.7
鄭俊偉,2025-09,2,19,7,10.5
鄭俊偉,2025-10,3,44,10,6.8
鄭俊偉,2025-11,2,37,6,5.4
鄭俊偉,2025-12,1,36,3,2.8
鄭俊偉,2026-01,2,38,4,5.3
鄭俊偉,2026-02,2,39,4,5.1
鄭俊偉,2026-03,0,38,7,0.0
鄭俊偉,2026-04,2,40,7,5.0
鄭俊偉,2026-05,1,16,3,6.2
韋達,2025-09,2,27,6,7.4
韋達,2025-10,3,47,7,6.4
韋達,2025-11,4,48,14,8.3
韋達,2025-12,0,39,9,0.0
韋達,2026-01,2,50,11,4.0
韋達,2026-02,0,39,5,0.0
韋達,2026-03,3,47,9,6.4
韋達,2026-04,6,46,16,13.0
韋達,2026-05,1,10,3,10.0
高野友和,2026-04,0,1,0,0.0
鹿戶雄一,2025-12,0,1,0,0.0
黎昭昇,2025-09,5,23,8,21.7
黎昭昇,2025-10,3,39,8,7.7
黎昭昇,2025-11,0,35,7,0.0
黎昭昇,2025-12,1,34,4,2.9
黎昭昇,2026-01,2,40,11,5.0
黎昭昇,2026-02,2,38,8,5.3
黎昭昇,2026-03,2,39,11,5.1
黎昭昇,2026-04,5,38,10,13.2
黎昭昇,2026-05,1,14,3,7.1
