Jockey,Going,Wins,Starts,Places,WinRate
三浦皇成,一級賽 - 1200米,0,1,0,0.0
何澤堯,一級賽 - 1400米,0,1,0,0.0
何澤堯,一級賽 - 1600米,0,1,0,0.0
何澤堯,三級賽 - 1000米,0,1,1,0.0
何澤堯,三級賽 - 1400米,0,1,0,0.0
何澤堯,二級賽 - 1600米,0,1,0,0.0
何澤堯,二級賽 - 2000米,0,1,0,0.0
何澤堯,四歲 - 1600米,1,1,1,100.0
何澤堯,四歲 - 1800米,0,1,0,0.0
何澤堯,四歲 - 2000米,0,1,0,0.0
何澤堯,第一班 - 1200米 - (85+),0,1,1,0.0
何澤堯,第三班 - 1000米 - (80-60),1,12,3,8.3
何澤堯,第三班 - 1000米 - (85-60),1,2,1,50.0
何澤堯,第三班 - 1200米 - (80-55),0,1,0,0.0
何澤堯,第三班 - 1200米 - (80-60),6,34,10,17.6
何澤堯,第三班 - 1200米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 1400米 - (80-60),0,16,2,0.0
何澤堯,第三班 - 1400米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 1600米 - (80-60),1,8,2,12.5
何澤堯,第三班 - 1600米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 1650米 - (80-60),2,10,4,20.0
何澤堯,第三班 - 1650米 - (85-60),0,3,0,0.0
何澤堯,第三班 - 1800米 - (80-60),0,5,1,0.0
何澤堯,第三班 - 1800米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 2000米 - (80-60),0,1,0,0.0
何澤堯,第三班 - 2000米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 2200米 - (80-55),0,1,0,0.0
何澤堯,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
何澤堯,第二班 - 1200米 - (100-75),1,1,1,100.0
何澤堯,第二班 - 1200米 - (100-80),0,6,5,0.0
何澤堯,第二班 - 1200米 - (105-80),0,2,2,0.0
何澤堯,第二班 - 1400米 - (100-80),0,2,0,0.0
何澤堯,第二班 - 1400米 - (105-80),0,1,1,0.0
何澤堯,第二班 - 1600米 - (105-80),0,1,0,0.0
何澤堯,第二班 - 1650米 - (100-75),0,1,0,0.0
何澤堯,第二班 - 1650米 - (100-80),0,2,0,0.0
何澤堯,第二班 - 1650米 - (105-80),0,1,0,0.0
何澤堯,第二班 - 1800米 - (100-80),1,2,1,50.0
何澤堯,第二班 - 2000米 - (95-70),0,1,0,0.0
何澤堯,第五班 - 1200米 - (40-0),0,9,2,0.0
何澤堯,第五班 - 1400米 - (40-0),0,4,1,0.0
何澤堯,第五班 - 1600米 - (40-0),0,4,1,0.0
何澤堯,第五班 - 1650米 - (40-0),0,3,0,0.0
何澤堯,第五班 - 1800米 - (40-0),0,6,0,0.0
何澤堯,第五班 - 2200米 - (40-0),0,2,0,0.0
何澤堯,第四班 - 1000米 - (60-40),1,14,4,7.1
何澤堯,第四班 - 1200米 - (60-40),6,81,20,7.4
何澤堯,第四班 - 1400米 - (60-40),5,35,9,14.3
何澤堯,第四班 - 1600米 - (60-40),0,9,1,0.0
何澤堯,第四班 - 1650米 - (60-40),3,31,11,9.7
何澤堯,第四班 - 1800米 - (60-40),0,5,0,0.0
何澤堯,第四班 - 2000米 - (60-40),0,1,0,0.0
何澤堯,第四班 - 2200米 - (60-40),0,2,1,0.0
何澤堯,第四班（條件限制） - 1200米 - (60-40),0,1,0,0.0
周俊樂,一級賽 - 1600米,0,1,0,0.0
周俊樂,三級賽 - 1000米,0,1,0,0.0
周俊樂,三級賽 - 1400米,0,1,0,0.0
周俊樂,三級賽 - 1800米,0,1,0,0.0
周俊樂,二級賽 - 1600米,0,3,1,0.0
周俊樂,四歲 - 1600米,0,1,0,0.0
周俊樂,四歲 - 1800米,0,1,0,0.0
周俊樂,四歲 - 2000米,0,1,0,0.0
周俊樂,第一班 - 1400米 - (110-85),0,1,0,0.0
周俊樂,第三班 - 1000米 - (80-60),0,4,0,0.0
周俊樂,第三班 - 1000米 - (85-60),1,1,1,100.0
周俊樂,第三班 - 1200米 - (80-55),0,1,0,0.0
周俊樂,第三班 - 1200米 - (80-60),5,38,13,13.2
周俊樂,第三班 - 1200米 - (85-60),0,4,1,0.0
周俊樂,第三班 - 1400米 - (80-60),2,14,5,14.3
周俊樂,第三班 - 1400米 - (85-60),0,1,0,0.0
周俊樂,第三班 - 1600米 - (80-60),0,6,0,0.0
周俊樂,第三班 - 1600米 - (85-60),1,2,2,50.0
周俊樂,第三班 - 1650米 - (80-55),0,2,0,0.0
周俊樂,第三班 - 1650米 - (80-60),1,12,1,8.3
周俊樂,第三班 - 1650米 - (85-60),0,3,1,0.0
周俊樂,第三班 - 1800米 - (80-60),0,4,1,0.0
周俊樂,第三班 - 1800米 - (85-60),0,2,0,0.0
周俊樂,第三班 - 2000米 - (80-60),0,2,0,0.0
周俊樂,第三班 - 2000米 - (85-60),0,2,0,0.0
周俊樂,第二班 - 1200米 - (100-80),0,6,1,0.0
周俊樂,第二班 - 1400米 - (100-75),1,1,1,100.0
周俊樂,第二班 - 1400米 - (100-80),1,3,1,33.3
周俊樂,第二班 - 1400米 - (105-80),0,3,0,0.0
周俊樂,第二班 - 1600米 - (105-75),0,1,1,0.0
周俊樂,第二班 - 1600米 - (105-80),0,1,0,0.0
周俊樂,第二班 - 1650米 - (100-75),0,1,0,0.0
周俊樂,第二班 - 1650米 - (105-80),0,1,1,0.0
周俊樂,第二班 - 1800米 - (100-80),0,1,0,0.0
周俊樂,第二班 - 2000米 - (95-70),0,1,0,0.0
周俊樂,第五班 - 1000米 - (40-0),1,2,1,50.0
周俊樂,第五班 - 1200米 - (40-0),1,23,7,4.3
周俊樂,第五班 - 1400米 - (40-0),2,12,3,16.7
周俊樂,第五班 - 1600米 - (40-0),0,1,0,0.0
周俊樂,第五班 - 1650米 - (40-0),3,12,6,25.0
周俊樂,第五班 - 1800米 - (40-0),0,5,0,0.0
周俊樂,第五班 - 2000米 - (40-0),0,1,0,0.0
周俊樂,第五班 - 2200米 - (40-0),0,2,0,0.0
周俊樂,第四班 - 1000米 - (60-40),1,17,7,5.9
周俊樂,第四班 - 1200米 - (60-40),7,93,25,7.5
周俊樂,第四班 - 1400米 - (60-40),4,37,4,10.8
周俊樂,第四班 - 1600米 - (60-40),0,12,3,0.0
周俊樂,第四班 - 1650米 - (60-40),5,31,11,16.1
周俊樂,第四班 - 1800米 - (60-35),0,1,0,0.0
周俊樂,第四班 - 1800米 - (60-40),0,11,2,0.0
周俊樂,第四班 - 2000米 - (60-40),1,3,1,33.3
周俊樂,第四班 - 2200米 - (60-40),0,2,0,0.0
周俊樂,第四班（條件限制） - 1200米 - (60-40),0,3,0,0.0
周俊樂,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
奧爾民,一級賽 - 1400米,0,1,0,0.0
奧爾民,一級賽 - 1600米,0,1,0,0.0
奧爾民,三級賽 - 1000米,0,2,1,0.0
奧爾民,三級賽 - 1400米,0,1,0,0.0
奧爾民,二級賽 - 1200米,0,1,0,0.0
奧爾民,二級賽 - 1600米,0,1,0,0.0
奧爾民,四歲 - 1800米,0,1,0,0.0
奧爾民,四歲 - 2000米,0,1,0,0.0
奧爾民,新馬賽 - 1000米,1,1,1,100.0
奧爾民,第三班 - 1000米 - (80-60),1,8,2,12.5
奧爾民,第三班 - 1000米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1200米 - (80-55),1,1,1,100.0
奧爾民,第三班 - 1200米 - (80-60),1,25,11,4.0
奧爾民,第三班 - 1200米 - (85-60),1,6,2,16.7
奧爾民,第三班 - 1400米 - (80-60),1,10,1,10.0
奧爾民,第三班 - 1600米 - (80-60),1,8,3,12.5
奧爾民,第三班 - 1600米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1650米 - (80-55),0,2,0,0.0
奧爾民,第三班 - 1650米 - (80-60),0,11,1,0.0
奧爾民,第三班 - 1650米 - (85-60),0,2,0,0.0
奧爾民,第三班 - 1800米 - (80-60),0,1,0,0.0
奧爾民,第三班 - 1800米 - (85-60),0,3,0,0.0
奧爾民,第三班 - 2000米 - (80-60),0,1,0,0.0
奧爾民,第三班 - 2000米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 2200米 - (80-55),0,1,0,0.0
奧爾民,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
奧爾民,第二班 - 1000米 - (105-80),0,1,1,0.0
奧爾民,第二班 - 1200米 - (100-80),0,2,0,0.0
奧爾民,第二班 - 1200米 - (105-80),0,2,0,0.0
奧爾民,第二班 - 1800米 - (100-75),0,1,0,0.0
奧爾民,第二班 - 1800米 - (100-80),0,1,0,0.0
奧爾民,第五班 - 1000米 - (40-0),0,5,0,0.0
奧爾民,第五班 - 1200米 - (40-0),1,20,3,5.0
奧爾民,第五班 - 1400米 - (40-0),0,14,2,0.0
奧爾民,第五班 - 1600米 - (40-0),0,3,0,0.0
奧爾民,第五班 - 1650米 - (40-0),1,13,4,7.7
奧爾民,第五班 - 1800米 - (40-0),0,7,0,0.0
奧爾民,第五班 - 2000米 - (40-0),0,1,0,0.0
奧爾民,第五班 - 2200米 - (40-0),0,2,0,0.0
奧爾民,第四班 - 1000米 - (60-40),1,18,3,5.6
奧爾民,第四班 - 1200米 - (60-40),9,90,29,10.0
奧爾民,第四班 - 1400米 - (60-40),3,34,8,8.8
奧爾民,第四班 - 1600米 - (60-40),2,11,4,18.2
奧爾民,第四班 - 1650米 - (60-40),1,27,6,3.7
奧爾民,第四班 - 1800米 - (60-35),0,1,0,0.0
奧爾民,第四班 - 1800米 - (60-40),1,11,3,9.1
奧爾民,第四班 - 2000米 - (60-40),0,2,0,0.0
奧爾民,第四班 - 2200米 - (60-40),0,2,0,0.0
奧爾民,第四班（條件限制） - 1200米 - (60-40),1,2,2,50.0
奧爾民,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
川田將雅,一級賽 - 1600米,0,1,0,0.0
巫顯東,一級賽 - 2000米,0,1,1,0.0
巫顯東,三級賽 - 1800米,0,1,0,0.0
巫顯東,三級賽 - 2400米,0,1,1,0.0
巫顯東,第三班 - 1000米 - (80-60),0,4,0,0.0
巫顯東,第三班 - 1000米 - (85-60),0,2,1,0.0
巫顯東,第三班 - 1200米 - (80-60),0,16,0,0.0
巫顯東,第三班 - 1200米 - (85-60),0,2,0,0.0
巫顯東,第三班 - 1400米 - (80-60),0,2,1,0.0
巫顯東,第三班 - 1400米 - (85-60),0,2,0,0.0
巫顯東,第三班 - 1600米 - (80-60),0,2,0,0.0
巫顯東,第三班 - 1650米 - (80-60),0,2,0,0.0
巫顯東,第三班 - 1650米 - (85-60),0,2,0,0.0
巫顯東,第三班 - 1800米 - (85-60),1,1,1,100.0
巫顯東,第三班 - 2000米 - (80-60),1,1,1,100.0
巫顯東,第三班 - 2000米 - (85-60),1,1,1,100.0
巫顯東,第二班 - 1200米 - (100-80),0,3,0,0.0
巫顯東,第二班 - 1400米 - (100-80),0,1,0,0.0
巫顯東,第二班 - 1650米 - (100-75),0,1,0,0.0
巫顯東,第二班 - 1650米 - (100-80),0,1,0,0.0
巫顯東,第二班 - 1800米 - (100-75),0,1,0,0.0
巫顯東,第二班 - 2000米 - (100-75),0,1,1,0.0
巫顯東,第二班 - 2000米 - (95-70),1,1,1,100.0
巫顯東,第五班 - 1000米 - (40-0),0,5,0,0.0
巫顯東,第五班 - 1200米 - (40-0),0,4,0,0.0
巫顯東,第五班 - 1400米 - (40-0),0,3,0,0.0
巫顯東,第五班 - 1600米 - (40-0),0,3,0,0.0
巫顯東,第五班 - 1650米 - (40-0),0,5,0,0.0
巫顯東,第五班 - 1800米 - (40-0),0,4,0,0.0
巫顯東,第四班 - 1000米 - (60-40),0,6,0,0.0
巫顯東,第四班 - 1200米 - (60-40),0,22,1,0.0
巫顯東,第四班 - 1400米 - (60-40),0,4,0,0.0
巫顯東,第四班 - 1600米 - (60-40),0,3,0,0.0
巫顯東,第四班 - 1650米 - (60-40),0,4,0,0.0
巫顯東,第四班 - 1800米 - (60-35),0,1,0,0.0
巫顯東,第四班 - 1800米 - (60-40),0,2,0,0.0
巫顯東,第四班 - 2000米 - (60-40),0,1,0,0.0
巴度,一級賽 - 1200米,0,2,0,0.0
巴度,一級賽 - 1600米,0,2,0,0.0
巴度,三級賽 - 1000米,1,2,1,50.0
巴度,三級賽 - 1400米,0,2,2,0.0
巴度,三級賽 - 1800米,0,2,2,0.0
巴度,二級賽 - 1200米,0,2,0,0.0
巴度,二級賽 - 1600米,1,3,2,33.3
巴度,四歲 - 1600米,0,1,1,0.0
巴度,四歲 - 1800米,0,1,0,0.0
巴度,四歲 - 2000米,0,1,0,0.0
巴度,第一班 - 1200米 - (80+),0,1,0,0.0
巴度,第一班 - 1200米 - (85+),0,1,0,0.0
巴度,第三班 - 1000米 - (80-60),1,11,7,9.1
巴度,第三班 - 1000米 - (85-60),0,2,0,0.0
巴度,第三班 - 1200米 - (80-55),0,1,1,0.0
巴度,第三班 - 1200米 - (80-60),3,53,13,5.7
巴度,第三班 - 1200米 - (85-60),1,4,1,25.0
巴度,第三班 - 1400米 - (80-60),3,17,5,17.6
巴度,第三班 - 1400米 - (85-60),0,2,1,0.0
巴度,第三班 - 1600米 - (80-60),0,7,1,0.0
巴度,第三班 - 1600米 - (85-60),0,2,0,0.0
巴度,第三班 - 1650米 - (80-60),0,9,3,0.0
巴度,第三班 - 1650米 - (85-60),0,3,0,0.0
巴度,第三班 - 1800米 - (80-60),1,2,1,50.0
巴度,第三班 - 1800米 - (85-60),0,4,0,0.0
巴度,第三班 - 2000米 - (80-60),0,1,0,0.0
巴度,第三班 - 2000米 - (85-60),0,3,1,0.0
巴度,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
巴度,第二班 - 1000米 - (105-75),0,1,0,0.0
巴度,第二班 - 1000米 - (105-80),0,1,0,0.0
巴度,第二班 - 1200米 - (100-75),0,1,0,0.0
巴度,第二班 - 1200米 - (100-80),0,5,1,0.0
巴度,第二班 - 1200米 - (105-80),0,2,0,0.0
巴度,第二班 - 1400米 - (100-75),0,1,0,0.0
巴度,第二班 - 1400米 - (100-80),0,3,2,0.0
巴度,第二班 - 1400米 - (105-80),0,4,2,0.0
巴度,第二班 - 1600米 - (100-80),1,1,1,100.0
巴度,第二班 - 1600米 - (105-80),0,3,1,0.0
巴度,第二班 - 1650米 - (100-80),1,2,1,50.0
巴度,第二班 - 1650米 - (105-80),0,1,1,0.0
巴度,第二班 - 1800米 - (100-70),0,1,0,0.0
巴度,第二班 - 1800米 - (100-75),0,1,1,0.0
巴度,第二班 - 1800米 - (100-80),0,1,1,0.0
巴度,第二班 - 2000米 - (95-70),0,1,0,0.0
巴度,第五班 - 1000米 - (40-0),0,1,0,0.0
巴度,第五班 - 1200米 - (40-0),1,13,2,7.7
巴度,第五班 - 1400米 - (40-0),1,10,2,10.0
巴度,第五班 - 1600米 - (40-0),0,5,1,0.0
巴度,第五班 - 1650米 - (40-0),0,6,1,0.0
巴度,第五班 - 1800米 - (40-0),0,4,3,0.0
巴度,第五班 - 2000米 - (40-0),0,1,1,0.0
巴度,第五班 - 2200米 - (40-0),0,1,1,0.0
巴度,第四班 - 1000米 - (60-40),2,16,5,12.5
巴度,第四班 - 1200米 - (60-40),3,77,15,3.9
巴度,第四班 - 1400米 - (60-40),2,26,3,7.7
