WtBucket,Wins,Starts,Places,WinRate
Heavy (131+),155,1834,496,8.5
Light (<=115),25,316,61,7.9
Med-Heavy (127-130),164,1775,462,9.2
Med-Light (116-120),126,1665,367,7.6
Medium (121-126),214,2902,659,7.4
