Jockey,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
潘頓,96,381,211,3.5,25.2,55.4
布文,37,132,82,4.2,28.0,62.1
艾兆禮,27,100,56,4.0,27.0,56.0
周俊樂,24,70,40,4.3,34.3,57.1
何澤堯,17,68,41,4.3,25.0,60.3
班德禮,16,51,30,4.3,31.4,58.8
田泰安,11,82,43,4.3,13.4,52.4
梁家俊,11,39,18,4.3,28.2,46.2
巴度,11,48,26,4.3,22.9,54.2
奧爾民,11,46,32,4.1,23.9,69.6
麥道朗,11,41,22,3.6,26.8,53.7
黃智弘,10,41,21,3.9,24.4,51.2
楊明綸,9,24,12,4.2,37.5,50.0
紀仁安,8,38,23,4.1,21.1,60.5
鍾易禮,8,25,17,4.2,32.0,68.0
希威森,7,60,32,4.4,11.7,53.3
潘明輝,6,37,20,4.1,16.2,54.1
莫雷拉,6,32,14,4.0,18.8,43.8
袁幸堯,5,16,9,4.2,31.2,56.2
霍宏聲,5,37,17,3.9,13.5,45.9
麥文堅,5,15,8,4.6,33.3,53.3
艾道拿,4,39,19,4.4,10.3,48.7
金誠剛,4,23,12,3.7,17.4,52.2
巫顯東,3,4,4,3.5,75.0,100.0
黃寶妮,3,9,6,5.0,33.3,66.7
蔡明紹,3,26,11,4.8,11.5,42.3
莫雅,1,2,1,1.9,50.0,50.0
杜苑欣,1,8,4,4.7,12.5,50.0
李慕華,0,3,1,5.5,0.0,33.3
川田將雅,0,1,0,3.0,0.0,0.0
李寶利,0,2,0,5.3,0.0,0.0
董明朗,0,4,3,4.0,0.0,75.0
蘇銘倫,0,1,1,4.8,0.0,100.0
韋紀力,0,3,3,4.8,0.0,100.0
