Distance,Draw,Wins,Starts,Places,WinRate
1000,1,3,62,15,4.8
1000,10,3,58,10,5.2
1000,11,2,56,13,3.6
1000,12,4,51,14,7.8
1000,13,3,24,10,12.5
1000,14,0,23,4,0.0
1000,2,9,61,12,14.8
1000,3,2,62,11,3.2
1000,4,10,61,21,16.4
1000,5,5,62,14,8.1
1000,6,1,62,17,1.6
1000,7,11,61,19,18.0
1000,8,3,59,15,5.1
1000,9,7,58,11,12.1
1200,1,39,276,88,14.1
1200,10,16,274,55,5.8
1200,11,16,262,46,6.1
1200,12,13,251,46,5.2
1200,13,3,61,12,4.9
1200,14,8,54,11,14.8
1200,2,27,277,82,9.7
1200,3,26,276,82,9.4
1200,4,23,276,64,8.3
1200,5,24,276,80,8.7
1200,6,27,277,75,9.7
1200,7,24,275,72,8.7
1200,8,14,275,66,5.1
1200,9,18,273,55,6.6
1400,1,8,112,29,7.1
1400,10,9,110,23,8.2
1400,11,5,106,21,4.7
1400,12,9,102,19,8.8
1400,13,9,97,18,9.3
1400,14,4,92,9,4.3
1400,2,11,112,33,9.8
1400,3,10,111,19,9.0
1400,4,9,112,30,8.0
1400,5,6,111,24,5.4
1400,6,8,112,30,7.1
1400,7,5,110,30,4.5
1400,8,9,111,30,8.1
1400,9,10,111,21,9.0
1600,1,4,50,12,8.0
1600,10,4,48,12,8.3
1600,11,2,46,6,4.3
1600,12,5,45,8,11.1
1600,13,1,44,7,2.3
1600,14,5,41,11,12.2
1600,2,3,50,11,6.0
1600,3,13,50,20,26.0
1600,4,3,50,14,6.0
1600,5,0,50,8,0.0
1600,6,3,50,11,6.0
1600,7,3,50,12,6.0
1600,8,0,50,8,0.0
1600,9,4,50,10,8.0
1650,1,15,105,36,14.3
1650,10,5,101,15,5.0
1650,11,4,101,14,4.0
1650,12,1,94,18,1.1
1650,13,2,24,4,8.3
1650,14,0,21,0,0.0
1650,2,15,104,33,14.4
1650,3,11,104,28,10.6
1650,4,5,104,29,4.8
1650,5,6,105,24,5.7
1650,6,13,105,29,12.4
1650,7,15,104,37,14.4
1650,8,5,104,21,4.8
1650,9,10,102,28,9.8
1800,1,4,47,12,8.5
1800,10,7,46,12,15.2
1800,11,1,43,8,2.3
1800,12,1,41,5,2.4
1800,13,1,22,6,4.5
1800,14,1,18,1,5.6
1800,2,4,48,16,8.3
1800,3,6,48,17,12.5
1800,4,4,48,16,8.3
1800,5,4,48,16,8.3
1800,6,4,48,11,8.3
1800,7,3,48,8,6.2
1800,8,3,46,7,6.5
1800,9,5,46,10,10.9
2000,1,2,17,5,11.8
2000,10,0,12,1,0.0
2000,11,3,11,3,27.3
2000,12,0,9,1,0.0
2000,13,0,8,3,0.0
2000,14,0,7,0,0.0
2000,2,2,17,7,11.8
2000,3,1,17,4,5.9
2000,4,2,17,8,11.8
2000,5,1,17,4,5.9
2000,6,3,17,6,17.6
2000,7,2,16,4,12.5
2000,8,0,15,1,0.0
2000,9,1,14,4,7.1
2200,1,2,7,5,28.6
2200,10,0,6,0,0.0
2200,11,0,6,2,0.0
2200,12,1,6,2,16.7
2200,2,0,7,1,0.0
2200,3,0,7,0,0.0
2200,4,1,7,3,14.3
2200,5,1,7,2,14.3
2200,6,1,7,1,14.3
2200,7,1,7,2,14.3
2200,8,0,6,2,0.0
2200,9,0,6,1,0.0
2400,1,0,2,1,0.0
2400,10,0,1,0,0.0
2400,11,0,1,0,0.0
2400,2,1,2,1,50.0
2400,3,0,2,0,0.0
2400,4,0,2,1,0.0
2400,5,0,2,1,0.0
2400,6,0,2,1,0.0
2400,7,0,2,0,0.0
2400,8,1,1,1,100.0
2400,9,0,1,0,0.0
