Jockey,RunStyle,Wins,Starts,Places,WinRate
三浦皇成,Frontrunner,0,1,0,0.0
何澤堯,Closer,12,189,32,6.3
何澤堯,Frontrunner,11,63,23,17.5
何澤堯,Midpack,6,90,31,6.7
周俊樂,Closer,14,189,34,7.4
周俊樂,Frontrunner,12,70,28,17.1
周俊樂,Midpack,11,138,39,8.0
奧爾民,Closer,9,174,33,5.2
奧爾民,Frontrunner,12,82,27,14.6
奧爾民,Midpack,6,109,28,5.5
川田將雅,Frontrunner,0,1,0,0.0
巫顯東,Closer,2,58,4,3.4
巫顯東,Frontrunner,0,24,0,0.0
巫顯東,Midpack,2,34,6,5.9
巴度,Closer,11,179,34,6.1
巴度,Frontrunner,7,65,21,10.8
巴度,Midpack,9,132,41,6.8
巴米高,Closer,0,4,1,0.0
巴米高,Midpack,0,2,0,0.0
布宜學,Closer,1,3,1,33.3
布宜學,Midpack,0,1,0,0.0
布文,Closer,18,217,63,8.3
布文,Frontrunner,12,79,29,15.2
布文,Midpack,25,164,62,15.2
布浩榮,Closer,0,14,1,0.0
布浩榮,Frontrunner,1,11,4,9.1
布浩榮,Midpack,0,8,2,0.0
希威森,Closer,2,130,16,1.5
希威森,Frontrunner,15,114,33,13.2
希威森,Midpack,7,129,32,5.4
李寶利,Closer,0,6,0,0.0
李寶利,Frontrunner,0,3,1,0.0
李寶利,Midpack,0,3,0,0.0
李慕華,Closer,0,4,1,0.0
李慕華,Midpack,0,5,1,0.0
杜滿樂,Midpack,0,1,1,0.0
杜苑欣,Closer,1,46,4,2.2
杜苑欣,Frontrunner,3,28,11,10.7
杜苑欣,Midpack,1,23,6,4.3
梁家俊,Closer,5,131,18,3.8
梁家俊,Frontrunner,13,86,23,15.1
梁家俊,Midpack,5,119,22,4.2
楊明綸,Closer,6,197,17,3.0
楊明綸,Frontrunner,6,78,17,7.7
楊明綸,Midpack,5,97,18,5.2
橫山和生,Frontrunner,0,1,1,0.0
潘大衛,Closer,0,56,3,0.0
潘大衛,Frontrunner,0,23,1,0.0
潘大衛,Midpack,0,53,4,0.0
潘明輝,Closer,4,172,19,2.3
潘明輝,Frontrunner,12,90,32,13.3
潘明輝,Midpack,9,120,27,7.5
潘頓,Closer,25,190,74,13.2
潘頓,Frontrunner,50,174,102,28.7
潘頓,Midpack,36,186,88,19.4
班德禮,Closer,4,150,20,2.7
班德禮,Frontrunner,13,71,26,18.3
班德禮,Midpack,14,161,41,8.7
田泰安,Closer,12,228,38,5.3
田泰安,Frontrunner,14,118,40,11.9
田泰安,Midpack,8,151,34,5.3
紀仁安,Closer,3,60,14,5.0
紀仁安,Frontrunner,5,36,19,13.9
紀仁安,Midpack,7,75,18,9.3
艾兆禮,Closer,9,211,32,4.3
艾兆禮,Frontrunner,22,97,37,22.7
艾兆禮,Midpack,22,167,61,13.2
艾道拿,Closer,2,153,22,1.3
艾道拿,Frontrunner,6,73,20,8.2
艾道拿,Midpack,7,118,32,5.9
莫艾誠,Closer,0,2,0,0.0
莫艾誠,Frontrunner,0,2,0,0.0
莫艾誠,Midpack,0,1,0,0.0
莫雅,Closer,1,5,1,20.0
莫雅,Frontrunner,1,4,1,25.0
莫雅,Midpack,0,1,0,0.0
莫雷拉,Closer,4,33,8,12.1
莫雷拉,Frontrunner,3,13,6,23.1
莫雷拉,Midpack,3,27,8,11.1
董明朗,Closer,0,33,3,0.0
董明朗,Frontrunner,0,16,7,0.0
董明朗,Midpack,0,14,2,0.0
蔡明紹,Closer,0,141,17,0.0
蔡明紹,Frontrunner,6,95,24,6.3
蔡明紹,Midpack,6,105,22,5.7
薛凱華,Closer,0,2,1,0.0
薛凱華,Midpack,0,1,0,0.0
蘇銘倫,Closer,0,3,1,0.0
蘇銘倫,Midpack,0,2,2,0.0
袁幸堯,Closer,0,12,1,0.0
袁幸堯,Frontrunner,7,32,18,21.9
袁幸堯,Midpack,0,9,1,0.0
貝知仁,Closer,0,1,0,0.0
金美琪,Frontrunner,0,1,0,0.0
金美琪,Midpack,0,3,1,0.0
金誠剛,Closer,3,172,16,1.7
金誠剛,Frontrunner,6,93,27,6.5
金誠剛,Midpack,3,100,21,3.0
鍾易禮,Closer,3,129,10,2.3
鍾易禮,Frontrunner,13,98,24,13.3
鍾易禮,Midpack,3,98,11,3.1
霍宏聲,Closer,8,165,22,4.8
霍宏聲,Frontrunner,14,89,32,15.7
霍宏聲,Midpack,9,103,26,8.7
韋紀力,Closer,0,6,3,0.0
韋紀力,Frontrunner,0,3,1,0.0
韋紀力,Midpack,0,2,0,0.0
馬昆,Frontrunner,0,1,0,0.0
馬昆,Midpack,0,1,0,0.0
高力德,Frontrunner,0,1,0,0.0
麥文堅,Closer,2,79,10,2.5
麥文堅,Frontrunner,3,18,9,16.7
麥文堅,Midpack,5,45,12,11.1
麥道朗,Closer,5,53,16,9.4
麥道朗,Frontrunner,5,16,9,31.2
麥道朗,Midpack,7,37,18,18.9
黃寶妮,Closer,2,37,6,5.4
黃寶妮,Frontrunner,6,65,18,9.2
黃寶妮,Midpack,2,30,5,6.7
黃智弘,Closer,4,90,12,4.4
黃智弘,Frontrunner,13,108,33,12.0
黃智弘,Midpack,3,55,10,5.5
