period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,winner_average_rank,placegetter_average_rank,ranking_correlation,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,segment_dimension,segment_value
walk_forward,Win,Matrix Champion,selected,1402.0,108.0,0.25190890271700683,0.06813026594625018,0.008257523512928943,0.7162831301162058,0.23148148148148148,0.3888888888888889,0.5092592592592593,0.6759259259259259,0.42886948442504,4.388888888888889,4.962962962962963,0.35842120842120845,0.4506172839506173,0.6327160493827161,0.25925925925925924,0.5462962962962963,0.19444444444444445,0.4506172839506173,0.5185520676406337,venue,沙田
walk_forward,Win,Matrix Champion,selected,617.0,53.0,0.2632489883581471,0.07271913240124847,0.015723937012791955,0.7426401712832865,0.2830188679245283,0.4716981132075472,0.5849056603773585,0.7547169811320755,0.48466606768493564,3.830188679245283,4.754716981132076,0.33111950942139634,0.43396226415094336,0.6226415094339622,0.24528301886792453,0.4716981132075472,0.2830188679245283,0.43396226415094336,0.5570087622463713,venue,跑馬地
walk_forward,Win,Matrix Champion,selected,89.0,7.0,0.2624335642049648,0.07066615651187258,0.004996027335323784,0.6742160278745645,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.313265306122449,4.571428571428571,5.904761904761904,0.22087912087912095,0.38095238095238093,0.4761904761904762,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.38095238095238093,0.3678600649072737,track,AWT
walk_forward,Win,Matrix Champion,selected,1930.0,154.0,0.25504887057615466,0.06948033658997742,0.009605513810365344,0.7263221013221013,0.2597402597402597,0.4155844155844156,0.538961038961039,0.7012987012987013,0.4533269400152517,4.188311688311688,4.848484848484849,0.35527708222513416,0.44805194805194803,0.6363636363636364,0.24675324675324675,0.525974025974026,0.22727272727272727,0.44805194805194803,0.5386368003239947,track,Turf
walk_forward,Win,Matrix Champion,selected,550.0,42.0,0.24646093371036365,0.0665970506970774,0.016335749086386644,0.7372984626921635,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.6428571428571429,0.46817065209922354,4.190476190476191,5.23015873015873,0.34624106052677484,0.43650793650793646,0.5873015873015872,0.2619047619047619,0.5238095238095238,0.21428571428571427,0.43650793650793646,0.5136279689212605,course,A
walk_forward,Win,Matrix Champion,selected,89.0,7.0,0.2624335642049648,0.07066615651187258,0.004996027335323784,0.6742160278745645,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.313265306122449,4.571428571428571,5.904761904761904,0.22087912087912095,0.38095238095238093,0.4761904761904762,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.38095238095238093,0.3678600649072737,course,AWT
walk_forward,Win,Matrix Champion,selected,330.0,27.0,0.25710436944711895,0.0706476672102627,0.0033296474459126703,0.7314509228700647,0.2962962962962963,0.4074074074074074,0.5185185185185185,0.7407407407407407,0.4691358024691358,4.074074074074074,5.493827160493828,0.1961075961075961,0.3333333333333333,0.5555555555555555,0.4444444444444444,0.4074074074074074,0.14814814814814814,0.3333333333333333,0.4846410862630051,course,B
walk_forward,Win,Matrix Champion,selected,484.0,38.0,0.25573390881483105,0.06886284135093387,0.0059622928511342856,0.7098182676421996,0.18421052631578946,0.39473684210526316,0.5263157894736842,0.6842105263157895,0.4073301698301698,4.605263157894737,4.850877192982457,0.35384352489615645,0.48245614035087714,0.6403508771929826,0.23684210526315788,0.5263157894736842,0.23684210526315788,0.48245614035087714,0.5322075534206223,course,C
walk_forward,Win,Matrix Champion,selected,566.0,47.0,0.2616098107550371,0.07212955184103384,0.013435747273259257,0.7306194400032797,0.2765957446808511,0.425531914893617,0.5319148936170213,0.7446808510638298,0.4681695373184735,3.9148936170212765,4.134751773049646,0.4559486612678102,0.49645390070921985,0.723404255319149,0.1276595744680851,0.5957446808510638,0.2765957446808511,0.49645390070921985,0.5972020467259034,course,C+3
walk_forward,Win,Matrix Champion,selected,828.0,64.0,0.2446975196623004,0.06689376712242118,0.01880755720168498,0.757260307591623,0.25,0.40625,0.546875,0.734375,0.45302015692640696,3.953125,4.78125,0.39345316142191145,0.46875,0.6458333333333333,0.234375,0.515625,0.25,0.46875,0.5454318272489569,distance_bucket,mile-ish 1201–1650
walk_forward,Win,Matrix Champion,selected,968.0,79.0,0.2603766416007764,0.07105970550680087,0.005739264903019182,0.7197533852572227,0.25316455696202533,0.4430379746835443,0.5569620253164557,0.6962025316455697,0.4550584085394213,4.215189873417722,4.80590717299578,0.3292728368677737,0.45147679324894513,0.6371308016877636,0.24050632911392406,0.5316455696202531,0.22784810126582278,0.45147679324894513,0.5386507479945464,distance_bucket,sprint≤1200
walk_forward,Win,Matrix Champion,selected,213.0,17.0,0.26878745390510056,0.0715221838566304,0.003398437540745656,0.6377551020408163,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.6470588235294118,0.40807656395891695,4.882352941176471,5.666666666666666,0.2769230769230769,0.3333333333333333,0.5490196078431372,0.35294117647058826,0.5294117647058824,0.11764705882352941,0.3333333333333333,0.4620023337052785,distance_bucket,staying>1650
walk_forward,Win,Matrix Champion,selected,29.0,3.0,0.35934016038724187,0.09633571917001997,0.12276451691551078,0.47435897435897434,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4142857142857143,6.0,6.5555555555555545,-0.08008103008103006,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,0.2222222222222222,0.3293098816744298,race_class_label,Class 2
walk_forward,Win,Matrix Champion,selected,214.0,16.0,0.2544880034618719,0.06837383492291887,0.017402864133393134,0.6773989898989898,0.0625,0.25,0.3125,0.625,0.29598214285714286,5.0625,4.875,0.40565059940059944,0.4583333333333333,0.625,0.3125,0.4375,0.25,0.4583333333333333,0.47325956454571594,race_class_label,Class 3
walk_forward,Win,Matrix Champion,selected,1572.0,125.0,0.2534152231714186,0.06898797857850535,0.01195456373963437,0.7319364201796821,0.24,0.424,0.552,0.728,0.448435298035298,4.128,4.877333333333333,0.3491627039627041,0.44533333333333336,0.6373333333333333,0.232,0.544,0.224,0.44533333333333336,0.5404816362207905,race_class_label,Class 4
