period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,train_end,test_date
2026-05-09,Win,Matrix Champion,frozen_matrix,141.0,11.0,0.29306018259366823,0.07389450453165984,0.029594336295093657,0.5248251748251748,0.0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.20768398268398267,0.36363636363636365,0.5151515151515151,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.36209707334011837,2026-05-06,2026-05-09
2026-05-13,Win,Matrix Champion,frozen_matrix,101.0,9.0,0.27369092863415656,0.0753472969170083,0.04455155169295556,0.7463768115942029,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5,0.5185185185185185,0.6296296296296297,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5185185185185185,0.6098250674165667,2026-05-09,2026-05-13
2026-05-17,Win,Matrix Champion,frozen_matrix,146.0,11.0,0.2503528474845439,0.06763223798061886,0.005110234078175322,0.6956228956228956,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.4093073593073593,0.45454545454545453,0.6363636363636364,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.48856508234163787,2026-05-13,2026-05-17
2026-05-20,Win,Matrix Champion,frozen_matrix,108.0,9.0,0.26543941159141965,0.07176793114060107,0.006075420233202987,0.712682379349046,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4279100529100529,0.48148148148148145,0.6296296296296295,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.48148148148148145,0.5640709170137019,2026-05-17,2026-05-20
2026-05-24,Win,Matrix Champion,frozen_matrix,145.0,11.0,0.2308968997244224,0.06380999002347423,0.049311621719888586,0.8398914518317503,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.9090909090909091,0.624931129476584,0.45454545454545453,0.6666666666666666,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.45454545454545453,0.6155957532826659,2026-05-20,2026-05-24
2026-05-27,Win,Matrix Champion,frozen_matrix,104.0,9.0,0.26795651415486377,0.0742150657076133,0.016916670140495735,0.7146198830409356,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.41419753086419747,0.3333333333333333,0.48148148148148145,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.4485762338280218,2026-05-24,2026-05-27
2026-06-03,Win,Matrix Champion,frozen_matrix,95.0,8.0,0.2306826892611234,0.06662006100912359,0.03256257186399053,0.8591954022988506,0.375,0.5,0.75,0.875,0.5729166666666667,0.49999999999999994,0.5833333333333333,0.125,0.625,0.25,0.49999999999999994,0.5617835317887506,2026-05-27,2026-06-03
2026-06-07,Win,Matrix Champion,frozen_matrix,117.0,9.0,0.24633318666538967,0.06736455903929826,0.0049589704718515665,0.7700617283950617,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.4407407407407407,0.5555555555555555,0.7407407407407407,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555555,0.5979775964594375,2026-06-03,2026-06-07
2026-06-10,Win,Matrix Champion,frozen_matrix,106.0,9.0,0.2729183042191213,0.07423775379898438,0.023548403728873946,0.6895761741122566,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.41759259259259257,0.5185185185185185,0.8148148148148148,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.5185185185185185,0.6314567104476122,2026-06-07,2026-06-10
2026-06-13,Win,Matrix Champion,frozen_matrix,131.0,11.0,0.2683802617622541,0.07331468560220823,0.011685125216400952,0.6962121212121212,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.4792929292929292,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.45454545454545453,0.5894483714702536,2026-06-10,2026-06-13
