model,target,feature,baseline_log_loss,mean_log_loss_increase,std_log_loss_increase,repeats,external_races
Logistic Regression,Win,rel_matrix_race_shape,0.29413301872257547,0.002560387806516418,0.004899433294671995,30,9
Logistic Regression,Win,matrix_race_shape,0.29413301872257547,0.002177337291852266,0.005219409535154912,30,9
Logistic Regression,Win,rel_matrix_trainer_signal,0.29413301872257547,0.0017037301213428133,0.007344157430330079,30,9
Logistic Regression,Win,rel_matrix_horse_health,0.29413301872257547,0.0007814328623872102,0.000814838815228217,30,9
Logistic Regression,Win,rel_matrix_form_line,0.29413301872257547,0.0006522967637825061,0.0007851932269327443,30,9
Logistic Regression,Win,matrix_trainer_signal,0.29413301872257547,0.0003664577219226602,0.0025297849945538544,30,9
Logistic Regression,Win,matrix_form_line,0.29413301872257547,-0.00011983844225109859,0.0004274480516643895,30,9
Logistic Regression,Win,rel_matrix_class_advantage,0.29413301872257547,-0.0003855226583867185,0.0016621834721451576,30,9
Logistic Regression,Win,matrix_class_advantage,0.29413301872257547,-0.0006239038256880159,0.0015820869437719967,30,9
Logistic Regression,Win,matrix_horse_health,0.29413301872257547,-0.0009861527613922191,0.0014663729302779494,30,9
Logistic Regression,Win,matrix_sectional,0.29413301872257547,-0.0022848213749915008,0.002039735610873938,30,9
Logistic Regression,Win,rel_matrix_sectional,0.29413301872257547,-0.003471895339485159,0.004331959458338231,30,9
Logistic Regression,Win,rel_matrix_stability,0.29413301872257547,-0.004376537766819014,0.004170382615725073,30,9
Logistic Regression,Win,matrix_stability,0.29413301872257547,-0.004401190422333525,0.002787415015852322,30,9
Logistic Regression,Place,matrix_race_shape,0.560805694879706,0.00517173298143266,0.009738421429663049,30,9
Logistic Regression,Place,rel_matrix_trainer_signal,0.560805694879706,0.005092156898516002,0.008439521515507467,30,9
Logistic Regression,Place,rel_matrix_form_line,0.560805694879706,0.003013439927656784,0.0042155494937605505,30,9
Logistic Regression,Place,rel_matrix_horse_health,0.560805694879706,0.0008126068997027096,0.0012679901422063733,30,9
Logistic Regression,Place,rel_matrix_sectional,0.560805694879706,0.00016997333134054492,0.0030088795685610866,30,9
Logistic Regression,Place,matrix_sectional,0.560805694879706,-0.00012709364375288837,0.0022339844066816806,30,9
Logistic Regression,Place,matrix_horse_health,0.560805694879706,-0.0001498911311107576,0.0012423069369724344,30,9
Logistic Regression,Place,matrix_form_line,0.560805694879706,-0.00018428181872932233,0.000553340839473522,30,9
Logistic Regression,Place,matrix_trainer_signal,0.560805694879706,-0.00045849944332758684,0.004542779915995973,30,9
Logistic Regression,Place,rel_matrix_stability,0.560805694879706,-0.0004717019630371374,0.011687794438291564,30,9
Logistic Regression,Place,matrix_class_advantage,0.560805694879706,-0.0008191336190625694,0.001821206450490104,30,9
Logistic Regression,Place,rel_matrix_race_shape,0.560805694879706,-0.0016557364430402233,0.003517402039288363,30,9
Logistic Regression,Place,rel_matrix_class_advantage,0.560805694879706,-0.0028140571319506167,0.006171947842325831,30,9
Logistic Regression,Place,matrix_stability,0.560805694879706,-0.004252905416925804,0.006022285371702606,30,9
