period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5
walk_forward,Win,Matrix Champion,frozen_matrix,2019.0,161.0,0.2560269269196745,0.06959273244143552,0.006820193358969351,0.720938162319732,0.2546583850931677,0.40372670807453415,0.5341614906832298,0.6894409937888198,0.44622735787332063,0.4451345755693581,0.6273291925465838,0.2608695652173913,0.5341614906832298,0.20496894409937888,0.4451345755693581,0.5279191457917298
external_holdout,Win,Matrix Champion,frozen_matrix,107.0,9.0,0.2866334725503552,0.07692533505785619,0.02165578781242661,0.6394557823129252,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.31957671957671957,0.4074074074074074,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4074074074074074,0.4886219409326672
walk_forward,Win,Logistic Regression,matrix_7d,2019.0,161.0,0.2549118564072413,0.06956607866095335,0.0049903867646257484,0.7187351657094718,0.2422360248447205,0.40372670807453415,0.5279503105590062,0.6894409937888198,0.4403249442069318,0.4409937888198758,0.6273291925465838,0.2795031055900621,0.5093167701863354,0.2111801242236025,0.4409937888198758,0.5264864218024656
external_holdout,Win,Logistic Regression,matrix_7d,107.0,9.0,0.29413301872257547,0.07842391234084006,0.0210367060923108,0.6156462585034014,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.32539682539682535,0.4074074074074074,0.5185185185185185,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.4074074074074074,0.4132994894045377
walk_forward,Win,LightGBM,matrix_7d,2019.0,161.0,0.2585300660662338,0.07001685903384088,0.007424509593731687,0.704612921126704,0.2236024844720497,0.37888198757763975,0.515527950310559,0.6770186335403726,0.42342112683727595,0.4161490683229814,0.6190476190476191,0.2981366459627329,0.4968944099378882,0.20496894409937888,0.4161490683229814,0.51000881593948
external_holdout,Win,LightGBM,matrix_7d,107.0,9.0,0.29131782398653405,0.07847021053472654,0.03254830488789092,0.6133786848072562,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.3232804232804233,0.33333333333333326,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.33333333333333326,0.4171133174700475
walk_forward,Win,XGBoost,matrix_7d,2019.0,161.0,0.27314877854543373,0.07261192107753435,0.0051707732885588895,0.6200098282398091,0.16770186335403728,0.2546583850931677,0.36024844720496896,0.5652173913043478,0.3441918330117088,0.3374741200828157,0.5610766045548655,0.391304347826087,0.4720496894409938,0.13664596273291926,0.3374741200828157,0.4298492657917113
external_holdout,Win,XGBoost,matrix_7d,107.0,9.0,0.2866379450137316,0.0767301998389986,0.003046590834856035,0.5782312925170068,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.39303350970017636,0.33333333333333326,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.33333333333333326,0.47196458310485695
walk_forward,Place,Matrix Champion,frozen_matrix,2019.0,161.0,0.5136279698759949,0.16868683526325412,0.022199269505094616,0.6857126682194618,0.2546583850931677,0.40372670807453415,0.5341614906832298,0.6894409937888198,0.44622735787332063,0.4451345755693581,0.6273291925465838,0.2608695652173913,0.5341614906832298,0.20496894409937888,0.4451345755693581,0.5279191457917298
external_holdout,Place,Matrix Champion,frozen_matrix,107.0,9.0,0.5634253321000185,0.18762845397747235,0.05774088633490524,0.6085648148148148,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.31957671957671957,0.4074074074074074,0.6296296296296295,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4074074074074074,0.4886219409326672
walk_forward,Place,Logistic Regression,matrix_7d,2019.0,161.0,0.5028142944776808,0.1647691111139167,0.008848342218416181,0.7051724788647343,0.21739130434782608,0.37888198757763975,0.515527950310559,0.6894409937888198,0.42405427560707054,0.43685300207039335,0.6356107660455487,0.2670807453416149,0.5279503105590062,0.20496894409937888,0.43685300207039335,0.5244910295370272
external_holdout,Place,Logistic Regression,matrix_7d,107.0,9.0,0.560805694879706,0.1871041983873104,0.03817831442061639,0.6231481481481481,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.31402116402116403,0.37037037037037035,0.5925925925925926,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.37037037037037035,0.4435182085002035
walk_forward,Place,LightGBM,matrix_7d,2019.0,161.0,0.5050592101759236,0.16551312926064554,0.011063318278365326,0.6993629766218081,0.2422360248447205,0.39751552795031053,0.5093167701863354,0.6832298136645962,0.4352925025285274,0.40579710144927533,0.6211180124223602,0.2857142857142857,0.5217391304347826,0.19254658385093168,0.40579710144927533,0.5145771047897901
external_holdout,Place,LightGBM,matrix_7d,107.0,9.0,0.5527640152733848,0.18405957037616005,0.07661674640899525,0.624537037037037,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.3035273368606702,0.37037037037037035,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.37037037037037035,0.4097331429587
walk_forward,Place,XGBoost,matrix_7d,2019.0,161.0,0.517827205883463,0.17008532322943248,0.020843712800265896,0.6672361596359558,0.18633540372670807,0.33540372670807456,0.484472049689441,0.6149068322981367,0.386089962487478,0.38716356107660455,0.5672877846790891,0.33540372670807456,0.5031055900621118,0.16149068322981366,0.38716356107660455,0.4636090623960592
external_holdout,Place,XGBoost,matrix_7d,107.0,9.0,0.5563775567816185,0.18498386863987415,0.049579394058646434,0.6143518518518518,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.29488536155202827,0.2962962962962963,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.2962962962962963,0.4114470490227967
walk_forward,Win,Matrix+Logistic Regression α=0.25,hybrid,2019.0,161.0,0.2547425107880537,0.06948732850179917,0.0018368656408989097,0.7209214476261792,0.2484472049689441,0.422360248447205,0.5279503105590062,0.6832298136645962,0.445941670475832,0.4389233954451346,0.6211180124223602,0.2670807453416149,0.5031055900621118,0.22981366459627328,0.4389233954451346,0.5240663591444376
external_holdout,Win,Matrix+Logistic Regression α=0.25,hybrid,107.0,9.0,0.29135362760262706,0.07789886716283209,0.0168656256852671,0.6326530612244898,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.328042328042328,0.4074074074074074,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.4074074074074074,0.43135279197837706
walk_forward,Place,Matrix+Logistic Regression α=0.75,hybrid,2019.0,161.0,0.5090654511243378,0.1669704155335593,0.01906130541429669,0.6941492516390614,0.2422360248447205,0.4161490683229814,0.5341614906832298,0.7018633540372671,0.4438394593674097,0.44927536231884063,0.629399585921325,0.2484472049689441,0.5031055900621118,0.2484472049689441,0.44927536231884063,0.5331336267584826
external_holdout,Place,Matrix+Logistic Regression α=0.75,hybrid,107.0,9.0,0.5600635893754711,0.1863941784123934,0.06399068161005063,0.6226851851851851,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.31216931216931215,0.4074074074074074,0.5925925925925926,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4074074074074074,0.4513253388917577
