Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
潘明輝,巫偉傑,4,36,10,11.1,27.8
潘明輝,廖康銘,1,7,2,14.3,28.6
潘明輝,徐雨石,1,14,5,7.1,35.7
潘明輝,文家良,0,33,2,0.0,6.1
潘明輝,方嘉柏,0,1,0,0.0,0.0
潘明輝,桂福特,0,1,0,0.0,0.0
潘明輝,沈集成,1,18,4,5.6,22.2
潘明輝,游達榮,0,10,1,0.0,10.0
潘明輝,羅富全,7,68,18,10.3,26.5
潘明輝,葉楚航,0,19,0,0.0,0.0
潘明輝,蔡約翰,0,5,0,0.0,0.0
潘明輝,蘇偉賢,0,1,0,0.0,0.0
潘明輝,賀賢,5,95,20,5.3,21.1
潘明輝,鄭俊偉,4,35,7,11.4,20.0
潘明輝,黎昭昇,0,2,0,0.0,0.0
潘頓,丁冠豪,5,8,7,62.5,87.5
潘頓,伍鵬志,6,30,14,20.0,46.7
潘頓,呂健威,9,42,25,21.4,59.5
潘頓,告東尼,4,40,15,10.0,37.5
潘頓,大衛希斯,16,68,29,23.5,42.6
潘頓,姚本輝,10,25,15,40.0,60.0
潘頓,巫偉傑,1,11,8,9.1,72.7
潘頓,廖康銘,13,40,25,32.5,62.5
潘頓,徐雨石,0,2,0,0.0,0.0
潘頓,文家良,9,35,22,25.7,62.9
潘頓,桂福特,0,14,6,0.0,42.9
潘頓,沈集成,12,42,23,28.6,54.8
潘頓,游達榮,4,27,9,14.8,33.3
潘頓,羅富全,6,53,22,11.3,41.5
潘頓,葉楚航,5,18,7,27.8,38.9
潘頓,蔡約翰,4,30,14,13.3,46.7
潘頓,蘇偉賢,6,30,13,20.0,43.3
潘頓,賀賢,6,49,18,12.2,36.7
潘頓,鄭俊偉,1,8,4,12.5,50.0
潘頓,韋達,5,18,12,27.8,66.7
潘頓,黎昭昇,7,38,14,18.4,36.8
班德禮,丁冠豪,1,35,4,2.9,11.4
班德禮,伍鵬志,0,26,5,0.0,19.2
班德禮,呂健威,2,8,2,25.0,25.0
班德禮,告東尼,0,11,1,0.0,9.1
班德禮,大衛希斯,12,110,26,10.9,23.6
班德禮,姚本輝,0,7,2,0.0,28.6
班德禮,巫偉傑,1,21,3,4.8,14.3
班德禮,廖康銘,0,2,0,0.0,0.0
班德禮,徐雨石,0,4,1,0.0,25.0
班德禮,文家良,0,1,0,0.0,0.0
班德禮,方嘉柏,1,5,2,20.0,40.0
班德禮,桂福特,1,7,3,14.3,42.9
班德禮,沈集成,2,32,4,6.2,12.5
班德禮,游達榮,0,6,1,0.0,16.7
班德禮,羅富全,6,29,11,20.7,37.9
班德禮,葉楚航,0,22,3,0.0,13.6
班德禮,蔡約翰,0,5,0,0.0,0.0
班德禮,蘇偉賢,5,42,17,11.9,40.5
班德禮,鄭俊偉,0,5,2,0.0,40.0
班德禮,韋達,3,35,9,8.6,25.7
班德禮,黎昭昇,0,14,2,0.0,14.3
田泰安,丁冠豪,0,3,0,0.0,0.0
田泰安,伍鵬志,0,41,5,0.0,12.2
田泰安,呂健威,0,6,0,0.0,0.0
田泰安,告東尼,3,20,6,15.0,30.0
田泰安,大衛希斯,4,39,6,10.3,15.4
田泰安,姚本輝,1,29,10,3.4,34.5
田泰安,巫偉傑,3,24,7,12.5,29.2
田泰安,廖康銘,1,13,5,7.7,38.5
田泰安,徐雨石,1,19,3,5.3,15.8
田泰安,文家良,1,8,1,12.5,12.5
田泰安,方嘉柏,0,6,1,0.0,16.7
田泰安,桂福特,15,145,45,10.3,31.0
田泰安,沈集成,4,19,5,21.1,26.3
田泰安,游達榮,0,26,4,0.0,15.4
田泰安,羅富全,0,19,3,0.0,15.8
田泰安,葉楚航,3,31,4,9.7,12.9
田泰安,蔡約翰,3,40,12,7.5,30.0
田泰安,蘇偉賢,2,20,9,10.0,45.0
田泰安,賀賢,1,24,6,4.2,25.0
田泰安,鄭俊偉,0,22,1,0.0,4.5
田泰安,韋達,0,11,2,0.0,18.2
田泰安,黎昭昇,0,13,1,0.0,7.7
紀仁安,丁冠豪,0,5,2,0.0,40.0
紀仁安,伍鵬志,2,27,6,7.4,22.2
紀仁安,呂健威,2,20,6,10.0,30.0
紀仁安,告東尼,0,5,0,0.0,0.0
紀仁安,大衛希斯,0,3,1,0.0,33.3
紀仁安,姚本輝,2,6,3,33.3,50.0
紀仁安,巫偉傑,0,5,0,0.0,0.0
紀仁安,徐雨石,5,31,13,16.1,41.9
紀仁安,文家良,0,10,1,0.0,10.0
紀仁安,方嘉柏,1,4,2,25.0,50.0
紀仁安,沈集成,0,2,1,0.0,50.0
紀仁安,游達榮,0,6,1,0.0,16.7
紀仁安,羅富全,0,6,2,0.0,33.3
紀仁安,葉楚航,0,5,0,0.0,0.0
紀仁安,蔡約翰,2,14,5,14.3,35.7
紀仁安,蘇偉賢,0,3,2,0.0,66.7
紀仁安,費伯華,1,2,2,50.0,100.0
紀仁安,賀賢,0,1,0,0.0,0.0
紀仁安,鄭俊偉,0,5,2,0.0,40.0
紀仁安,韋達,0,4,1,0.0,25.0
紀仁安,黎昭昇,0,7,1,0.0,14.3
艾兆禮,伍鵬志,6,58,14,10.3,24.1
艾兆禮,呂健威,2,16,4,12.5,25.0
