Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
李寶利,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
李寶利,韋達,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,大衛希斯,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,姚本輝,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,手塚貴久,0,1,1,-1.0,0.0,100.0,-100.0
李慕華,方嘉柏,0,1,1,-1.0,0.0,100.0,-100.0
梁家俊,方嘉柏,0,2,0,-2.0,0.0,0.0,-100.0
梁家俊,桂福特,0,6,0,-6.0,0.0,0.0,-100.0
梁家俊,游達榮,0,6,0,-6.0,0.0,0.0,-100.0
黃寶妮,廖康銘,0,4,0,-4.0,0.0,0.0,-100.0
黃寶妮,徐雨石,0,14,0,-14.0,0.0,0.0,-100.0
黃寶妮,桂福特,0,2,0,-2.0,0.0,0.0,-100.0
杜苑欣,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,徐雨石,0,5,0,-5.0,0.0,0.0,-100.0
杜苑欣,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,蔡約翰,0,7,0,-7.0,0.0,0.0,-100.0
田泰安,容天鵬,0,2,0,-2.0,0.0,0.0,-100.0
田泰安,方嘉柏,0,14,3,-14.0,0.0,21.4,-100.0
潘頓,馬晏殊,0,1,0,-1.0,0.0,0.0,-100.0
班德禮,伍鵬志,0,36,6,-36.0,0.0,16.7,-100.0
希威森,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
希威森,巫偉傑,0,4,2,-4.0,0.0,50.0,-100.0
希威森,徐雨石,0,12,0,-12.0,0.0,0.0,-100.0
希威森,羅富全,0,14,2,-14.0,0.0,14.3,-100.0
希威森,葉楚航,0,7,1,-7.0,0.0,14.3,-100.0
希威森,賀賢,0,4,0,-4.0,0.0,0.0,-100.0
班德禮,姚本輝,0,21,3,-21.0,0.0,14.3,-100.0
班德禮,容天鵬,0,9,2,-9.0,0.0,22.2,-100.0
希威森,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
班德禮,文家良,0,4,0,-4.0,0.0,0.0,-100.0
班德禮,游達榮,0,11,1,-11.0,0.0,9.1,-100.0
班德禮,蔡約翰,0,7,0,-7.0,0.0,0.0,-100.0
班德禮,鄭俊偉,0,5,2,-5.0,0.0,40.0,-100.0
班德禮,黎昭昇,0,17,2,-17.0,0.0,11.8,-100.0
田泰安,丁冠豪,0,9,2,-9.0,0.0,22.2,-100.0
李慕華,森一誠,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,武井亮,0,1,0,-1.0,0.0,0.0,-100.0
李慕華,田中博康,0,1,0,-1.0,0.0,0.0,-100.0
潘頓,方嘉柏,0,1,0,-1.0,0.0,0.0,-100.0
潘頓,桂福特,0,13,6,-13.0,0.0,46.2,-100.0
杜苑欣,伍鵬志,0,10,3,-10.0,0.0,30.0,-100.0
杜苑欣,呂健威,0,9,2,-9.0,0.0,22.2,-100.0
杜苑欣,告東尼,0,8,1,-8.0,0.0,12.5,-100.0
杜苑欣,巫偉傑,0,3,1,-3.0,0.0,33.3,-100.0
紀仁安,大衛希斯,0,3,1,-3.0,0.0,33.3,-100.0
紀仁安,巫偉傑,0,5,0,-5.0,0.0,0.0,-100.0
紀仁安,文家良,0,10,1,-10.0,0.0,10.0,-100.0
紀仁安,沈集成,0,2,1,-2.0,0.0,50.0,-100.0
布浩榮,姚本輝,0,1,0,-1.0,0.0,0.0,-100.0
布浩榮,徐雨石,0,7,0,-7.0,0.0,0.0,-100.0
布浩榮,方嘉柏,0,3,1,-3.0,0.0,33.3,-100.0
布浩榮,沈集成,0,4,1,-4.0,0.0,25.0,-100.0
布浩榮,游達榮,0,3,0,-3.0,0.0,0.0,-100.0
布浩榮,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
布浩榮,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
布浩榮,蘇偉賢,0,2,0,-2.0,0.0,0.0,-100.0
布浩榮,賀賢,0,2,1,-2.0,0.0,50.0,-100.0
布浩榮,韋達,0,3,2,-3.0,0.0,66.7,-100.0
希威森,丁冠豪,0,9,3,-9.0,0.0,33.3,-100.0
希威森,伍鵬志,0,31,0,-31.0,0.0,0.0,-100.0
羅敦,岳伯仁,0,2,0,-2.0,0.0,0.0,-100.0
艾兆禮,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
艾兆禮,大衛希斯,0,37,7,-37.0,0.0,18.9,-100.0
艾兆禮,容天鵬,0,12,4,-12.0,0.0,33.3,-100.0
艾兆禮,布銘球,0,1,1,-1.0,0.0,100.0,-100.0
布宜學,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
簡國能,丁冠豪,0,1,0,-1.0,0.0,0.0,-100.0
簡國能,姚本輝,0,1,1,-1.0,0.0,100.0,-100.0
簡國能,巫偉傑,0,2,0,-2.0,0.0,0.0,-100.0
簡國能,賀賢,0,1,1,-1.0,0.0,100.0,-100.0
紀仁安,丁冠豪,0,5,2,-5.0,0.0,40.0,-100.0
布文,羅富全,0,23,7,-23.0,0.0,30.4,-100.0
