Horse,Wins,Starts,Places
友誼至佳(E208),0,6,0
友贏威馳(L172),0,6,1
桃花雲(H139),0,9,0
棉棉日上(L323),0,1,0
森林之王(K265),0,13,1
森洺之巔(K430),0,1,0
極光之子(L110),0,5,0
極光彗星(H391),0,3,2
極歡欣(L345),0,1,0
極炸(K224),0,1,0
極速奇兵(H346),0,8,1
杭至尊(L043),0,6,1
杰遜仔(L036),0,2,0
樂於助人(L902),0,1,0
占士德(J007),0,4,2
又要威(K522),0,2,0
友盈勇者(J382),0,14,0
新躍飛(J128),0,5,0
方圓星(K517),0,7,0
旅遊高球(H063),0,4,0
旋風飛颺(J086),0,12,4
旌採(K498),0,6,2
旗幟鬥士(G452),0,10,0
日冲天(K328),0,1,0
日出沙頭(L145),0,1,0
摯友勝(L092),0,2,0
摯友心得(K263),0,13,0
摯誠推介(K908),0,1,0
支付之父(L159),0,2,2
機械大師(J107),0,1,0
機緣醉夢(J054),0,3,0
橡木城(K928),0,1,1
欣感(H443),0,6,0
欣樂人生(H426),0,9,2
歌利巨人(K920),0,2,1
歌舞團(J434),0,10,0
歐洲傳奇(H153),0,16,0
歡喜福星(G354),0,11,4
極速神影(L204),0,2,1
極靈(J425),0,6,0
榮耀掌星(K439),0,6,1
榮進劍豪(K936),0,1,0
榮闖大道(H327),0,1,0
樂天派(E166),0,6,2
樂威煌(J289),0,4,0
武林至尊(H027),0,21,2
歷勝(L199),0,2,0
樂矚心機(J453),0,19,1
樂觀派(K930),0,1,0
機不可失(K417),0,4,2
敬蝦王(K393),0,4,0
整蠱專家(J268),0,14,1
文明戰士(L287),0,2,1
文武全能(K402),0,11,2
文采風流(L021),0,3,1
新力超升(K188),0,6,0
君至酷(L008),0,1,0
君達得(H392),0,13,5
和光同塵(L076),0,4,0
哥倫布(K355),0,9,3
問鼎巔峰(K044),0,11,0
永福(L317),0,1,1
永遠美麗(H008),0,20,2
江南盛(H326),0,17,1
沙井之友(K202),0,7,1
波爾多(E273),0,13,0
洛河(J308),0,11,3
洪運派彩(G414),0,2,1
歡樂至寶(H198),0,1,0
歡樂飛駒(J496),0,11,1
歡笑福星(H428),0,2,0
正將(J386),0,4,0
正極(K367),0,13,1
正義波(K473),0,2,0
步大威猛(G346),0,4,1
步步合拍(L252),0,3,0
步風影(L179),0,1,0
同得寶(H365),0,3,0
承夆冠駒(H318),0,2,0
投資有利(G025),0,3,0
抱百嶺(K519),0,4,0
拉合爾(K043),0,10,4
拍馬難追(E234),0,11,1
拚搏(K024),0,11,0
挺秀弘利(K481),0,6,0
挺秀騰飛(J108),0,11,1
捷威(K547),0,6,0
捷足奔馳(J524),0,13,1
揀馬之皇(K397),0,7,0
揚威四方(G026),0,4,0
揚威四海(K120),0,8,1
海綿寶寶(H350),0,1,0
水龍頭(J096),0,8,1
十八掌(H033),0,1,0
十八掌門(J104),0,4,1
十力(K200),0,18,0
千杯(J482),0,12,2
千禧龍(L339),0,1,0
千里如飛(J221),0,9,0
南加名城(L911),0,1,0
南莊堡(K015),0,11,0
活力輝煌(L203),0,2,0
活得健康(L140),0,6,0
浪接浪(K927),0,1,0
浪漫喜宴(K372),0,5,0
浪漫鬥士(L240),0,4,1
海洋帝君(K230),0,17,0
海王(K523),0,7,1
海綠寶(J518),0,4,2
滿載歸來(H083),0,6,1
潮州高球(L216),0,1,0
潮流勇駒(L209),0,3,0
澳嘉輝(K232),0,6,0
澳華發發(K467),0,1,0
激光諜影(K242),0,2,1
濠城(K906),0,1,0
海鑽石(L072),0,4,0
清遠之星(J350),0,6,0
清雲龍駒(K160),0,13,0
港林福將(H192),0,11,3
港邊小區(K902),0,3,1
源好運(K389),0,6,1
準希望(L047),0,6,0
滿多福(H251),0,2,0
滿好世界(H352),0,3,1
手機錶鑽(J450),0,1,0
恒之有道(K158),0,4,0
悟空(K492),0,1,0
北美勇族(L917),0,1,0
勝利同盟(G298),0,2,1
火金鷹(J342),0,5,0
烈焰光芒(L142),0,5,2
烈進駒(L278),0,1,0
無敵星(J199),0,2,0
無敵精英(G129),0,10,2
無比小子(L259),0,3,0
無限勝利(K060),0,1,0
熊噹噹(H002),0,16,3
熒光(L124),0,4,0
滿歡笑(G461),0,6,0
滿足(K918),0,1,0
包裝必勝(G161),0,5,0
包裝戰仕(L112),0,7,0
包裝旋風(H137),0,20,2
北斗福星(L238),0,4,0
北極之錶(L211),0,2,0
摘星聲升(K390),0,4,0
摩界(H445),0,8,0
應龍飛影(L083),0,5,2
我最好(K502),0,5,0
我為您(H036),0,5,2
戰寶(K257),0,9,0
戰騎飛(J294),0,17,1
戰鬥英雄(D050),0,2,0
手到再來(H429),0,21,0
手機錶勝(J415),0,4,0
手機錶能(L293),0,1,0
狼來了(K353),0,7,1
猛將兄(K089),0,15,2
猶有心得(K394),0,3,0
獎金大少(H259),0,1,0
獨步天下(H319),0,10,0
獨自升級(K560),0,1,0
獵狐者勁(J044),0,5,0
玫瑰寶(J297),0,2,0
熱氣球(K144),0,2,0
燈胆皇(J241),0,10,0
燊榮之星(G071),0,11,0
燊輝之星(L067),0,6,1
爆竹(L065),0,8,1
爭金奪冠(J138),0,19,5
爵登(H266),0,4,0
爽飆王子(L256),0,1,0
牛精豪情(K181),0,7,0
牽旺寶寶(J109),0,3,0
悠悠我心(H245),0,1,0
悠然常勝(L136),0,4,0
愛國者(K170),0,4,0
愛心波(L006),0,5,1
愛心萬里(L165),0,1,0
愛蹄村(L915),0,1,0
愛馬心(L220),0,3,0
慣勝金帥(K412),0,8,0
慶萬家(G029),0,7,2
快活精神(K326),0,3,3
快狠準(H012),0,5,0
快趣神舟(H375),0,1,0
快馬加鞭(H144),0,21,7
怡傲錢莊(L222),0,2,0
發財金戈(K457),0,9,1
發財金鞍(L090),0,2,0
發財鴻星(J210),0,8,0
百威多贏(K261),0,11,1
皆益善(H417),0,2,0
皇仁福星(H128),0,12,5
皇寶駒(K243),0,3,0
皇者威楓(L158),0,2,0
班霸實力(L912),0,1,0
瑞祺威楓(K009),0,16,4
瑪納霏(K075),0,3,0
甜蝦女(K149),0,7,0
當家精神(D489),0,10,0
當年情(G371),0,18,2
疾風財子(L091),0,2,0
發光發亮(H385),0,17,1
勤德俱備(J388),0,7,1
怡勁力(H141),0,11,0
怡心聲(E114),0,2,0
怡昌奇兵(J176),0,15,4
怪獸叉燒(K415),0,12,1
怪獸奇兵(E369),0,8,1
怪獸波士(L139),0,5,0
志敏將星(J189),0,5,0
喜意(L197),0,1,0
喜旺駒(G110),0,12,1
喜智駒(J372),0,3,0
喜樂之星(L235),0,5,0
喜行(K399),0,10,2
喜豐年(L185),0,3,0
勤德皆備(L270),0,4,0
勇冠皇子(H268),0,4,0
着着領先(G304),0,9,0
知恩圖報(K166),0,10,1
砂漿金剛(G328),0,13,3
皇金合(K099),0,15,5
皮具伯樂(K401),0,5,0
盈利寶馬(J326),0,12,1
盛世英雄(L348),0,2,0
盛載富祿(K069),0,7,0
盧森堡(J813),0,1,0
勝利君子(L061),0,2,0
勝利神駒(G401),0,5,0
勝在有型(K241),0,8,0
勝在當下(K532),0,7,1
勝得福(J250),0,11,3
勝於藍(K476),0,4,0
勝神威(H055),0,8,1
確好勁(K199),0,13,2
神之禮(L922),0,1,0
神來之筆(J036),0,1,0
神志勇進(J808),0,2,2
神燦金剛(K259),0,14,0
神異金剛(K109),0,9,0
神舟彎月(K119),0,7,0
神虎金剛(J064),0,4,0
神虎龍駒(H164),0,15,2
神行百變(H102),0,4,0
神速馬車(H193),0,9,2
真叻仔(K435),0,8,1
真好運(J025),0,6,0
真強人(K001),0,1,0
真感(E209),0,3,0
眼健康(K455),0,5,0
快步流星(J274),0,6,0
快活同盟(K316),0,9,0
科創世紀(K113),0,10,0
種得好(K579),0,3,0
穿甲鷹(G093),0,2,0
碧海藍天(H357),0,11,0
勇創派對(E368),0,3,0
勇取神駒(K078),0,2,0
勇敢孖寶(K421),0,9,0
勇敢歡欣(J307),0,6,0
勇晉當銳(H425),0,8,0
勇狐隊(K916),0,1,0
勇者無敵(K217),0,9,2
勇進駒(K575),0,3,0
勇進齊心(G030),0,5,0
加非凡(H147),0,11,3
祥龍駒(J456),0,18,3
福國寶(G315),0,9,0
福祐神州(J292),0,5,1
福聚(K410),0,6,2
福進(K529),0,3,0
喜駿之星(D033),0,5,0
喜駿銀星(K221),0,2,0
志醒大將(K138),0,12,1
快又醒(J198),0,3,0
快樂之友(K344),0,9,0
快樂共濟(L049),0,4,1
快樂寶寶(J545),0,16,3
快樂神駒(L050),0,5,2
快樂老撾(J115),0,16,6
快樂高球(J222),0,20,8
快步向前(K102),0,6,0
精彩勇士(D387),0,8,1
精彩勇將(L275),0,4,0
精明勇駿(G031),0,5,1
加飯(H271),0,4,0
勁步速(K351),0,6,0
勁爽(J003),0,15,2
勁砲王(K543),0,3,0
勁者(J523),0,15,4
勁駿騰飛(L314),0,1,0
勁駿齊心(K219),0,5,0
勁騷(K047),0,6,0
劍飛聲(L097),0,8,0
競駿傳奇(K465),0,6,0
競駿勇士(K464),0,6,0
競駿奔騰(K029),0,7,0
競駿飛翔(J291),0,9,1
御冠軍(L920),0,1,0
御登(L077),0,1,0
御皇贊助(K932),0,1,0
德薩斯(J124),0,9,1
心之靈(J412),0,1,0
心想事成(G012),0,8,0
心愛的(K584),0,9,0
心福(K050),0,6,0
心裡有數(K108),0,15,3
必先生(G288),0,5,0
志善思源(L055),0,5,0
志在福星(J369),0,10,2
幽默大師(K281),0,7,0
廚師發辦(H416),0,6,0
建測精英(K198),0,20,1
精巧時計(L042),0,2,0
紅海旺(L098),0,1,0
紅瑪瑙(L901),0,1,0
紅磚戰士(K580),0,7,0
紅衣財神(K423),0,6,0
紅運光輝(L030),0,2,1
紅運掌聲(J017),0,3,0
紫荊傳令(L108),0,5,1
紫荊戰士(L263),0,2,0
精算奕然(K295),0,6,1
精算謀略(H237),0,16,1
精英勇士(J306),0,4,0
精英奪冠(L295),0,2,1
精英王牌(K535),0,3,0
紅悅舍(L355),0,1,0
笑必勝(L274),0,2,0
籐王駒(K143),0,10,1
綠族威(H306),0,7,3
綠族晴朗(K036),0,4,0
綠族豐收(J229),0,3,0
綠水青山(J475),0,6,0
綠色好威(J248),0,6,0
綠色好景(J432),0,9,2
功名顯赫(K133),0,2,0
加州代表(H404),0,11,1
加州偟者(H258),0,5,0
加州報捷(K509),0,1,0
加州德至(J051),0,3,0
加州星球(E314),0,7,1
加州星皓(J132),0,11,3
加州熱浪(K477),0,10,2
加州陽光(J129),0,4,0
凱旋王者(K240),0,7,2
絲路之光(J361),0,1,0
經典多寶(L212),0,2,0
弘智多寶(L084),0,4,0
彩虹千里(H124),0,5,0
彩虹戰士(K348),0,3,0
彪形勇將(L178),0,1,0
後無來者(K049),0,13,3
得勝多(E161),0,2,0
幸運大夫(L225),0,5,0
嘉力寶(K137),0,5,0
嘉嘉友福(K456),0,8,1
嘉寶神駒(H329),0,2,0
嘉應傳承(J075),0,11,4
嘉應光彩(K134),0,5,0
經典時代(J440),0,5,1
綠族光芒(H328),0,5,0
縱橫萬里(H264),0,5,0
總統輝煌(L241),0,2,0
繼往開來(L096),0,5,0
美周郎(K337),0,6,0
美好夢想(K329),0,3,0
美獅魚(L176),0,2,0
美麗一定(J483),0,1,0
綠色好運(J083),0,3,0
綠色巨人(K095),0,8,0
綠色鐵蹄(L147),0,2,0
綠色鐵驥(L255),0,1,0
綠茵明珠(K460),0,2,0
綫路樂樂(K482),0,3,0
綫路福將(K526),0,6,1
綫路通明(H479),0,2,0
紫辰之星(L149),0,6,1
美麗歡聲(H066),0,21,5
美麗登場(L260),0,2,1
嘉應喝彩(H369),0,4,0
嘉應感恩(L114),0,1,0
嘉應獎昇(H287),0,5,0
嘉應駿昇(K247),0,7,1
喜悅一生(G072),0,15,3
幸運威龍(L125),0,3,0
幸運旅程(E385),0,13,3
幸運歡笑(K530),0,4,0
綫路高高(L002),0,4,0
維港智能(G404),0,17,0
綻放的心(K055),0,14,0
緊張大師(E421),0,1,0
縱橫大兄(L012),0,6,1
縱橫大進(H072),0,3,0
聯歡兒(H423),0,5,0
聰明導彈(C037),0,7,2
肯搏(J148),0,2,0
背背龍(H374),0,11,1
凱皇寶(K396),0,8,0
初戀(J355),0,4,1
別具風味(K901),0,1,0
利不可擋(J458),0,9,0
利森名園(J814),0,1,0
利衍天下(J226),0,8,2
利高八斗(K542),0,2,2
創寶駒(L161),0,5,3
劍山鋒(H397),0,5,0
共創歡欣(L118),0,9,1
美麗喜悅(J419),0,1,0
美麗在線(G057),0,13,1
翹峯(H441),0,13,2
翼羽陽明(K303),0,7,1
老鼠斑(L233),0,1,1
聖托里尼(J076),0,12,0
幸運糖(L041),0,7,3
幸運遇見(H274),0,3,1
幸運震撼(J337),0,9,0
幸運風彩(K576),0,6,1
幻影旋風(J271),0,21,3
常多笑(J538),0,17,0
常拼常勇(E306),0,8,2
平天雄(K407),0,9,0
年年豐裕(K557),0,6,0
幸福約定(L266),0,1,0
幸運勝利(L073),0,5,0
聚風雲(G128),0,11,1
共同輝煌(J429),0,8,0
冠輝皇(K269),0,3,0
冬季獅(L904),0,1,0
凝妙星(K444),0,11,3
凡喜(K019),0,1,0
凱旋七福(J005),0,13,3
凱旋時光(H142),0,9,0
自己話事(H446),0,8,1
自然力量(C461),0,5,0
自然動力(K256),0,6,0
自由奔騰(J163),0,9,0
自由島(K917),0,2,1
至合拍(J253),0,9,4
至臻完美(K273),0,8,0
至高心得(J395),0,16,2
致力之城(L210),0,3,1
英雄本色(J112),0,15,0
英雄豪邁(G394),0,19,6
英駿威楓(K501),0,3,0
草如茵(K926),0,1,0
莊家班(L115),0,6,0
華夏俊馬(K433),0,4,1
華美之威(J193),0,22,4
華麗再贏(L087),0,5,1
華麗活力(G051),0,6,1
良田福星(J154),0,3,0
良言一句(K569),0,3,0
色種笑(H143),0,2,0
艾彼奧(K193),0,17,0
花果猴王(H455),0,12,1
花香月明(K276),0,8,0
英勇名駒(K042),0,5,0
尚旋(L141),0,4,0
展翼遨飛(K919),0,1,0
誠好運(H477),0,9,0
萬事勝利(L163),0,7,0
萬事得意(K171),0,14,0
萬事快(G416),0,5,0
萬事掂(J548),0,5,0
萬事靚(H148),0,11,1
萬眾開心(H208),0,19,3
萬里雲(K279),0,9,0
萬里飛至(E204),0,6,0
萬里鵬躍(L009),0,5,0
蒙面舞會(L919),0,1,1
蓮蓮日上(K375),0,1,0
藍爵爺(J448),0,12,1
英雄戰士(J006),0,2,0
西坎德爾(K063),0,3,0
見義勇為(K493),0,3,0
觀萬象(L060),0,2,0
觔斗雲(E249),0,9,1
解碼(K359),0,4,0
幸運夥伴(J512),0,8,0
己多福(J201),0,1,0
巴基之友(B370),0,2,1
巴閉佬(K323),0,14,3
巴閉哥(G335),0,22,2
巴閉王(K479),0,12,4
巴閉精(L040),0,1,0
帝豪先鋒(K499),0,1,0
帝豪勝駒(K214),0,5,0
帥炸(H402),0,12,0
帶贏來(K558),0,3,0
賞豐泰(H331),0,10,0
螢影飛馳(K228),0,8,0
全能勇士(L245),0,1,0
八勇士(J257),0,1,0
八心之星(K536),0,7,1
八心八箭(H088),0,2,0
八正道(J149),0,12,1
八里旺(J243),0,17,3
八駿高昇(J476),0,4,0
六三千里(K513),0,3,0
六月豪取(L924),0,1,0
傳承者(J111),0,17,1
行運加持(L018),0,5,0
衝上雲霄(J173),0,6,3
表廠傳奇(L313),0,1,0
裕達寶駒(J211),0,9,0
質數(J352),0,14,0
贏完又贏(K512),0,3,0
贏家(K929),0,1,0
贏得威楓(L248),0,4,0
贏得爽(K211),0,11,1
赤兔猴王(H188),0,7,2
赤壁(K092),0,6,0
謙謙君子(G352),0,21,7
譽滿杜拜(G809),0,2,1
豐盛(J399),0,12,3
豪邁先登(L180),0,2,0
豬膶燒賣(K179),0,3,0
貓山王(K068),0,7,0
財富非凡(L057),0,5,0
財駿(E282),0,5,0
賀龍飛翔(K345),0,4,0
賢德之君(K903),0,2,0
賢者威楓(K040),0,10,4
展雄威(J405),0,20,7
展雄志(L396),0,2,0
川河煌駒(L081),0,1,0
川河石駒(K548),0,10,1
川河耀駒(L109),0,5,1
工程小子(K244),0,13,0
巧繡生花(L905),0,1,0
巨靈神(L169),0,4,0
寶麗生輝(E323),0,8,1
將傲(L277),0,2,1
專家(J028),0,15,1
尊登(K262),0,7,0
賢者無敵(H301),0,19,3
賢者福星(L078),0,5,0
超悅明駒(G003),0,8,1
超智多寶(K541),0,7,0
超步速(K349),0,8,0
超級精英(J121),0,1,0
超級龍珠(G450),0,6,0
超越夢想(K046),0,9,1
超輕鬆(L148),0,4,1
超音速(J192),0,1,0
赤海(L195),0,3,2
赤霞(K267),0,8,0
赤風驪(L093),0,8,1
超勁寶寶(G364),0,9,1
超勁熊威(L192),0,1,0
超勝無敵(K386),0,9,1
超威力(H039),0,2,0
超平凡(J387),0,4,0
優悠俠(H053),0,7,0
兄弟再盈(K045),0,3,0
先見(H820),0,1,1
光年八十(H170),0,18,4
對衡之星(E082),0,5,0
小刺蛋(G458),0,8,0
小小吾駒(H406),0,2,0
小皇爺(J546),0,12,2
小磁怪(K549),0,2,0
小神仙(H206),0,13,0
小魔怪(K391),0,9,2
富存曲奇(J032),0,1,0
四喜鳥(H181),0,4,0
國士無雙(G006),0,3,0
團結巴打(L150),0,4,0
全城帶勝(H200),0,9,0
迅意(K250),0,10,1
迎樂(H149),0,4,0
逐夢年代(G241),0,2,0
越駿歡欣(G446),0,14,6
越駿知己(G033),0,11,2
越駿聯歡(L202),0,1,0
越駿開心(J117),0,4,0
越駿齊歡(L079),0,7,0
趣盈(K539),0,6,0
跑得好快(J020),0,16,2
路路勁(K315),0,8,2
蹺妙(L031),0,6,0
躡景追飛(E478),0,11,0
輕鬆大少(J319),0,12,1
價值傳承(L170),0,5,1
儀琪之寶(H351),0,6,0
過關勇士(K429),0,13,3
過關大獅(K023),0,1,0
團長好(K515),0,6,1
地神力(K931),0,1,0
富貴駒(J191),0,16,0
實力加(K058),0,10,4
實力派(E447),0,11,3
實在美麗(K066),0,9,0
寫我其誰(L048),0,4,0
寰宇豐采(H362),0,6,3
寶徠歌劇(L907),0,1,1
寶成智好(K301),0,4,2
寶賢得得(E430),0,10,1
辣得凌厲(H463),0,7,0
辣得快(K581),0,3,1
辣得爽利(L086),0,1,0
壯志凌雲(J249),0,14,1
傑出雷霆(L121),0,5,2
傲然(K383),0,7,0
傲視同群(K357),0,4,0
傳承效應(K035),0,14,0
傳承精神(L156),0,2,0
遠觀天象(K910),0,2,0
遨遊首領(L001),0,1,0
郎中物(J334),0,3,0
郎善好施(H462),0,3,2
連捷(J177),0,4,0
連連勝利(H097),0,11,2
連連好運(K500),0,8,0
連連歡呼(G195),0,21,8
進優自在(D258),0,12,4
運籌帷幄(K090),0,14,1
健康小馬(L046),0,3,0
健康高球(J424),0,6,0
健而快(J495),0,7,0
健身心(L910),0,1,1
完美演繹(J409),0,12,0
宏才(G408),0,8,2
宜春火力(G237),0,5,1
家傳之寶(K490),0,7,0
家樂寶駒(K300),0,7,0
家樂飛駒(D267),0,2,0
宸居武士(J505),0,8,0
富存寶馬(J234),0,6,0
增勁(J190),0,1,0
增旺(K148),0,10,3
增有(G173),0,15,2
士登(K358),0,9,0
宇宙之光(J379),0,12,0
金榜之星(J120),0,3,0
金津寶駒(L157),0,3,0
金獅勝將(J004),0,7,1
金獅大俠(L082),0,5,0
金發銀發(G112),0,10,0
金絲楠木(K527),0,2,0
金聚星(J287),0,1,0
金蘭兄弟(K510),0,4,0
酷霸王(H460),0,17,4
醒嘉輝(K100),0,1,0
里見夢境(K907),0,4,3
野田冰峰(K935),0,1,0
量子力奇(L268),0,2,0
金佰令(G434),0,4,1
金多令(K018),0,2,0
俊才(K013),0,4,0
俏郎中(G389),0,12,3
保羅承傳(C517),0,2,0
保羅輝煌(K524),0,5,0
假日福星(J240),0,3,0
多利彩駒(J140),0,9,3
多利神駒(G292),0,19,6
多多勇駒(G144),0,6,0
多多開心(L017),0,6,0
多威心得(L305),0,3,0
多巴先生(G103),0,12,0
威武良駒(H434),0,5,0
威武覺醒(G165),0,2,0
嫡愛好(J550),0,10,2
孤風潛影(L186),0,5,0
宇上龍騰(J492),0,6,0
銳義(K072),0,5,0
銳者勝(K164),0,4,0
銳行星(L308),0,1,1
鋁主角(L319),0,2,0
金運齊來(L026),0,4,0
金鎗武士(H024),0,1,0
金鑽八十(J521),0,7,0
金風萬里(K150),0,13,3
金駒永騰(J398),0,17,2
金鼓大班(K506),0,1,0
銀光奔騰(K425),0,9,0
金將(J410),0,2,0
佳運財(E269),0,3,0
佳駿年年(K286),0,5,0
侯爵(K925),0,1,0
俊偉蹄(L903),0,1,0
鋼鐵安防(L174),0,3,0
鋼鐵戰士(J497),0,3,0
錢多多(E397),0,8,1
錢程萬里(K212),0,6,0
錶之五知(G286),0,9,0
錶之將來(G222),0,2,0
錶之星球(K151),0,9,1
錶之梵星(L104),0,1,0
錶之無限(L100),0,4,0
錶之福將(J349),0,4,0
銀火箭(K220),0,5,0
銀皇興標(H420),0,18,0
銀騎士(L236),0,2,0
銀騰(J078),0,11,3
銘記知友(J282),0,3,0
銳一(J037),0,23,6
鑽飾翱翔(G201),0,11,3
鑽飾閃耀(L182),0,2,0
長勝威龍(J464),0,13,0
安定神駒(L059),0,5,1
安熠(J196),0,3,0
妙算奇勝(J377),0,10,2
妙算強人(K577),0,3,0
妙算高歌(H444),0,1,0
妙芳華(J145),0,6,0
威利金箭(L035),0,6,3
威力勇驥(J057),0,7,2
威力奔騰(G045),0,7,0
威力非凡(K152),0,8,0
威力飛騰(L247),0,2,0
長勝隊長(K379),0,6,1
鋒王(J101),0,11,1
開心孖寶(K475),0,7,1
仁者荃承(K496),0,10,1
今朝更好(H361),0,3,0
令狐沖(J341),0,3,0
伊臣(G061),0,10,3
佐治傳奇(L007),0,3,2
佛亮老撾(K174),0,14,5
你知我寶(L132),0,2,0
你知我醒(K182),0,2,0
佳佳友(L069),0,6,1
佳尊三(D186),0,7,0
九五赤兔(H257),0,9,0
錶壇精英(H185),0,1,0
鐵三角(H073),0,5,1
鑽得勝(K216),0,11,0
鑽石寶寶(G063),0,10,1
如蝶翩翩(K278),0,4,1
開心漢子(H101),0,2,0
開心瑰寶(L027),0,2,0
開心百合(J525),0,4,0
開心老友(K213),0,8,0
開心菓(K388),0,7,0
開心馬(H061),0,11,2
開運王(J449),0,5,0
陶夢成真(K520),0,4,0
陸小鳳(K282),0,10,0
陸知(G120),0,5,0
閃電(G130),0,7,0
閃電武士(L062),0,5,0
閃電箭(K360),0,3,0
開心三多(H293),0,16,3
開心之旅(J469),0,4,0
雙劍合璧(L290),0,2,1
雙天寳馬(J212),0,6,0
雙子美麗(L129),0,3,0
開心旺財(L045),0,4,0
威威神駒(K565),0,2,0
威德勇士(J385),0,12,0
威武勇駒(E480),0,1,0
威武寶寶(H105),0,4,1
好多利高(K268),0,15,0
好天朗(K909),0,1,0
好好心得(D433),0,5,0
好好紛(J214),0,11,2
好好飛(K311),0,6,0
好如意(H299),0,2,0
好瑪威威(J254),0,14,0
好運年(K443),0,5,1
電子宇宙(H151),0,11,0
電子精彩(H304),0,5,1
電子達人(H310),0,2,0
電子騰飛(L181),0,3,0
電氣騎士(G258),0,9,0
電玩勇士(J178),0,2,0
電訊子彈(J097),0,4,0
陽光燦爛(H484),0,5,0
陽明天空(G360),0,6,0
陽明閃耀(J160),0,5,0
隋我同來(K332),0,8,2
隨緣得勝(K223),0,10,3
隼風雲(K459),0,9,2
雄彬飛翔(J262),0,5,0
雄昇勇士(J067),0,11,2
雅典武士(H007),0,8,1
不戰而勝(K921),0,1,0
電訊龍駒(H322),0,7,3
電路一百(K308),0,4,0
電路七號(D474),0,6,1
電路九號(G140),0,1,0
電路十號(G429),0,6,1
電路豪傑(J347),0,4,0
霹靂威龍(J281),0,1,0
靖哥哥(K503),0,6,1
非凡之星(G396),0,4,1
非凡之選(K568),0,5,0
非凡勇士(K561),0,3,0
難以置信(J130),0,1,0
雪茄福星(K422),0,10,0
電光有力(K304),0,2,0
電子好好(L119),0,7,0
事事感恩(K505),0,5,1
亞洲力量(E400),0,2,0
太子(K362),0,10,2
太行美景(J314),0,14,1
太陽拍檔(E364),0,1,0
太陽昇(J134),0,9,1
太陽高高(H390),0,8,0
奇力駒(K914),0,2,1
奇異果(K285),0,5,0
奪金精靈(J073),0,3,0
好吉利高(L224),0,1,0
天德神影(K147),0,4,0
天比高(K339),0,10,0
天火同德(J441),0,15,0
交學費(K361),0,10,0
仁仁之寶(G119),0,6,0
風中勁松(G081),0,3,0
風將(L184),0,6,0
風捲殘雲(K555),0,2,0
風林火山(J471),0,8,0
非凡龍駒(J438),0,3,0
韋少寶(K540),0,5,0
順善寶(K239),0,14,3
順成之星(K287),0,11,1
頌星(K343),0,8,2
頑童(L144),0,4,0
領航多福(L201),0,3,0
領航多財(L101),0,2,0
領航破浪(K299),0,4,0
九因歌(J230),0,10,0
九尾狐(J059),0,6,0
九秒九(E495),0,4,1
大千絕塵(K051),0,9,1
風生水起(H340),0,2,1
風雷暴(J069),0,3,1
飛來閃耀(K175),0,14,6
飛天王(J522),0,2,0
飛揚騅(L070),0,1,0
飛舞心靈(K912),0,1,0
飛越星空(J328),0,9,0
領袖勁力(L034),0,9,0
領頭先駒(G313),0,6,0
領駿輝煌(L265),0,1,0
顏色勇士(K366),0,6,0
顏色王子(E418),0,1,1
顏色的顏(L054),0,7,0
顯力之城(J491),0,6,0
顯勝高昇(K409),0,10,3
飛馬先生(K472),0,2,0
飛馬更威(K187),0,4,0
飛黃(J406),0,16,3
風火猴王(J511),0,11,0
天火同心(J259),0,14,1
天然數字(L166),0,7,1
天福(K167),0,9,3
天罡北斗(L064),0,2,0
天蓬貓(K280),0,11,4
天行健(E414),0,4,1
天馬行雲(L221),0,2,0
太勝駒(K124),0,12,0
夢幻駿駒(J144),0,18,5
夢照發(H168),0,17,6
大勇勝(L331),0,1,0
大勢至富(G060),0,2,1
大千赤風(L208),0,2,0
大太陽(K466),0,2,0
大宗師(K578),0,2,0
大至尊(J208),0,4,0
大輝煌(K205),0,2,0
天使之聲(J336),0,1,0
天分高(H046),0,10,5
天外富天(L328),0,2,0
天寶威威(L296),0,2,0
大師爺(K034),0,5,0
久久為金(J110),0,6,0
三叉戟(K420),0,2,0
飛躍成就(K112),0,11,3
飛躍星伴(L189),0,10,0
飛躍精英(H247),0,17,3
飛雪神駒(K251),0,9,1
駿彩飛馳(J252),0,20,5
駿河灣(J022),0,1,0
駿皇勝(J411),0,7,0
香飄萬里(H437),0,3,0
馬上盈(J394),0,15,2
馬主精英(K437),0,3,0
馬主雄風(H047),0,9,1
馬利奧(J100),0,3,0
馬有運(H121),0,9,1
飛越晨曦(K483),0,7,0
不羈(K495),0,6,0
世澤歆星(E168),0,1,0
世界籐王(G384),0,6,1
丞匡掠影(L168),0,6,0
中華英雄(G402),0,8,2
久久為昇(K516),0,5,2
駿馬之寶(J373),0,10,3
駿馬之星(J368),0,17,2
駿馬為伍(J404),0,8,0
騰達勇士(K376),0,4,0
騰飛塔(D500),0,1,0
騰龍踏雪(L111),0,3,0
驍勇善戰(J029),0,5,0
驍勇者(H307),0,2,0
驍將(K567),0,9,0
馬梟雄(G410),0,1,0
馬運高(L175),0,3,0
馬錢子(L053),0,5,2
馬馳登(L133),0,6,1
馭跑得(L193),0,3,0
駟跑得(G095),0,23,5
駿寶(G261),0,1,0
驕陽雄心(K553),0,5,1
驥跑得(K206),0,5,0
高份數(G413),0,3,0
高士威勁(L196),0,2,0
高將軍(H330),0,4,0
高度評價(L316),0,1,0
高明力量(H353),0,5,1
高明豐勝(L128),0,1,0
高氣派(H315),0,5,1
