Horse,Wins,Starts,Places
馬達(K165),2,13,6
精算激流(J228),2,17,3
精算暴雪(H368),2,18,10
勇闖高峰(K237),2,7,3
勇者為皇(L016),2,4,2
穿甲金鷹(K566),2,8,3
祥勝將軍(J509),2,21,9
祥勝力駒(J181),2,22,5
笑喜喜(K136),2,8,3
競駿輝煌(J195),2,27,10
競駿皇者(K011),2,12,4
競駿天下(G272),2,20,6
盛勢威楓(K111),2,18,6
盈益善(H431),2,16,8
盈好威楓(K131),2,18,9
皮具大師(H034),2,20,4
知足常樂(G448),2,17,2
睿盛人生(K507),2,6,2
綠野飛馳(K245),2,10,9
維港激流(J393),2,22,7
勁大威猛(H450),2,16,4
精彩福星(K408),2,15,5
紅愛舍(H110),2,21,3
精英高球(L023),2,4,3
精英雄心(J136),2,19,9
精算特殊(H354),2,23,6
神駒馬靈(J162),2,28,10
包裝猛將(J284),2,6,2
火神神樂(H384),2,17,6
營造組裝(H127),2,6,2
玩笑(K014),2,14,5
瑪瑙(G306),2,24,5
皇仁歡星(J278),2,13,4
包裝伯樂(H246),2,12,5
卓越蒨鋒(J231),2,20,8
午夜快車(J510),2,19,5
千杯敬典(H321),2,20,4
渾身解數(K291),2,8,2
添開心(H203),2,27,7
添喜運(J218),2,26,6
自強不息(H337),2,15,4
自動自覺(K080),2,19,5
紅海風帆(H347),2,15,2
加州本事(J370),2,16,10
加州星馳(J123),2,18,5
細水長流(K562),2,5,5
紫荊盛勢(K478),2,9,4
紫荊歡呼(J139),2,20,5
紫荊拼搏(K031),2,13,5
綫路萬里(H475),2,17,10
綫路英雄(J428),2,3,3
荃程路通(E403),2,12,3
英雄豪傑(G207),2,11,4
蓮冠皇(K186),2,12,5
劍無情(J535),2,23,4
胡椒軍曹(E432),2,22,2
肥仔精神(K110),2,23,2
耀昌勝世(J529),2,25,3
耀寶(J437),2,12,3
臻至辰(K238),2,8,3
無極勇將(J169),2,21,5
榮駿大道(K474),2,10,5
榮利雙收(K382),2,17,5
櫻花酒杯(L230),2,4,4
機械騎士(H464),2,20,6
步風雷(J452),2,20,10
泰泰精神(K007),2,22,8
決一劍(J484),2,16,3
江南勇士(H472),2,19,4
智智多寶(J024),2,4,2
合夥飛馳(K342),2,12,3
合夥奔馳(H408),2,20,8
可靠大師(K283),2,13,5
木火龍駒(H292),2,14,3
朗日雪峰(J187),2,24,6
有盈勇士(K271),2,16,2
東方飛影(E467),2,17,6
東來欣賞(J290),2,21,8
起舞奜奜(K405),2,12,4
超超比(H109),2,6,2
做好自己(J444),2,19,12
光輝所願(H373),2,13,6
冠寶駒(D359),2,17,6
英勇快車(J244),2,17,7
花好月盈(H317),2,14,6
舞林寶典(J060),2,6,2
舞林密碼(G365),2,20,8
桃花開(J301),2,15,5
時尚風趣(J164),2,20,5
時時精準(K037),2,17,6
運高八斗(G204),2,19,8
運來伍寶(J153),2,23,8
連連有盈(G065),2,14,6
逐步贏(G420),2,10,3
八駿笑昇(H296),2,21,5
八駿福昇(K086),2,17,4
八駿巨昇(H092),2,24,5
八仟財陞(J442),2,19,5
豐功偉績(K480),2,15,3
贏得自然(J365),2,15,3
超勁火力(J184),2,19,2
超加加(J486),2,18,7
超力量(J285),2,6,3
會長之寶(J295),2,21,8
喜報圍家(G437),2,6,3
哈羅威(J280),2,24,12
和平波(J245),2,19,8
文明福星(J315),2,21,6
數字天文(L080),2,6,4
旋風傳奇(J152),2,22,5
昇瀧駒(J141),2,16,5
金滙千帥(J498),2,17,4
仁心星(J092),2,15,6
先到先得(J098),2,21,8
元朗精英(J272),2,14,6
優才(J536),2,20,3
超強六十(J071),2,17,6
輕功猛男(J513),2,22,4
逆市奇爸(E321),2,18,4
辣得金(J087),2,25,7
輝煌精英(H311),2,12,6
星價(K093),2,21,5
喜馬(K347),2,8,2
喜至寶(H262),2,17,4
怡昌光輝(K074),2,11,3
手錶之星(H483),2,17,6
錶之多多(H476),2,16,5
錶之銀河(H399),2,14,5
鄉村樂韻(H436),2,19,6
遨遊武士(J026),2,16,5
遙遙領先(J263),2,19,10
金發盛世(E490),2,23,3
金玉良言(J499),2,10,4
手到齊來(J531),2,34,7
戀愛狂(K118),2,16,4
平海之星(H344),2,13,2
常常感恩(J065),2,17,3
幸運有您(E356),2,18,3
弦力寶(K317),2,8,3
廚神(K264),2,23,3
心雄雄(J467),2,21,5
得意佳作(G125),2,21,5
快樂奇兵(H297),2,18,8
志滿同行(K056),2,18,7
喵喵怪(J487),2,18,8
堅先生(L232),2,3,2
型到爆(H011),2,17,5
小飛俠(J224),2,15,4
將義(J446),2,23,6
川河首駒(G333),2,18,5
川河型駒(J080),2,25,5
帥帥友福(J418),2,18,7
電玩精英(H356),2,18,5
電源之駒(E301),2,26,8
雙贏(H382),2,19,6
非凡豪傑(J445),2,17,6
佳運發(E435),2,27,4
銀亮濠俠(J532),2,20,6
鈁糖武士(G016),2,25,5
金駿星(H470),2,14,2
金鑽精靈(J397),2,16,5
金金小子(K180),2,6,5
銀刺勇士(J043),2,18,7
巴基之勝(J363),2,13,6
幸運多彩(K146),2,9,3
幸運傳承(J338),2,22,2
好實力(K381),2,9,2
安康萬里(J158),2,21,7
威武年代(J451),2,19,9
富國兄弟(J396),2,20,8
家樂龍駒(H396),2,12,4
飛騰騅(E494),2,14,4
飛躍凱旋(G250),2,14,5
中華威威(D075),2,21,3
開心宇宙(J533),2,21,8
開心勇駒(H451),2,18,7
開心五月(K016),2,24,5
閃耀天河(K514),2,7,3
閃光燈(J500),2,14,4
開心老闆(K453),2,5,3
妙玲瓏(H068),2,17,4
好精神(J155),2,18,7
仁仁有餘(J421),2,16,5
人和家盛(C531),2,10,3
亨驥(K294),2,12,5
非惟僥倖(J050),2,14,6
風繼續吹(E471),2,25,4
寶成智星(J135),2,22,5
實力哥(H228),2,6,3
富裕君子(H447),2,18,6
上校(D090),2,21,2
鼓浪好友(J217),2,14,4
黃金騎士(K341),2,11,6
大愛無疆(K235),2,6,4
龍城強將(H095),2,14,6
魅力星(K052),2,23,7
齊歡最樂(J182),2,20,3
不可擋(E336),2,9,3
上浦福旺(L102),1,5,1
鵲橋飛昇(L244),1,1,1
一先生(G227),1,17,2
㩒住贏(L310),1,1,1
三代同心(H065),1,17,6
鴻圖新星(J323),1,18,4
魯班精神(J233),1,21,5
驕陽明駒(H302),1,15,12
大眾福星(K172),1,12,6
龍之悅(K571),1,3,1
龍之輝(H410),1,16,3
高感(J515),1,14,3
鬥志波(K096),1,12,1
駿跑得(K208),1,13,4
駿馬之曲(K436),1,4,1
馬特峰(H253),1,11,2
馬鳳凰(J516),1,14,3
駿先生(H180),1,16,2
首飾悟空(K314),1,11,2
首駿(K189),1,18,5
馬寶寶(K586),1,3,1
中環精英(J042),1,20,6
中華盛景(E379),1,14,1
久久為尊(J053),1,22,5
久久為攻(E472),1,19,5
久久為軍(K231),1,17,2
大千雄心(K398),1,11,5
大學生(H116),1,17,5
天下寵兒(J359),1,23,9
天天更好(K277),1,13,3
大將(J074),1,9,2
大將鵰神(J378),1,9,1
乘數表(K352),1,12,2
飛輪霸(K320),1,13,7
飛雲(H320),1,20,4
飛馬將軍(G189),1,8,1
飛馬座(L075),1,8,1
飛鷹翱翔(H117),1,16,6
大老撾(J435),1,4,1
大千氣象(H324),1,20,2
大千眼界(G424),1,2,1
風火輪(L188),1,3,1
風起雲湧(J183),1,26,10
風采人生(J366),1,19,2
風雲(J371),1,19,3
飈誌(J504),1,18,2
飛來霸(K284),1,8,1
領航財子(J305),1,12,3
風火恆雲(H388),1,18,5
韋金主(K061),1,12,5
領航傳祺(G126),1,16,3
領航君子(K310),1,10,3
領航天子(J494),1,10,2
電訊巴打(D482),1,25,5
五福星(J099),1,19,5
亞機拉(H113),1,23,1
奇異歡星(K255),1,14,3
奔放(K156),1,20,10
奮鬥心(J267),1,24,7
天火同人(E175),1,19,4
亞福得寶(J242),1,8,1
亮寶(K067),1,14,3
電訊驕陽(J332),1,26,8
非凡時刻(K275),1,14,3
雪勇神駒(G467),1,13,3
雷神太保(K017),1,23,6
陽光寶貝(J171),1,18,2
隼閣(J056),1,15,1
雙星報喜(K126),1,12,1
開心指數(L152),1,5,4
好好戀愛(L052),1,8,3
好評如潮(L223),1,5,4
好運寶馬(E157),1,12,2
