Name,Type,Suburb/Area,Latitude (S),Longitude (E)
O'Reilly's Firearms,Gun Shop,"Thornbury, VIC, 3071",-37.7543912,145.0011622
Rebel Gun Works,Gun Shop,Unknown,-27.4935273,153.0469727
Gel Ball Undercover,Gun Shop,Unknown,-27.9729794,153.3877681
Wentworth Pistol Club,Shooting Range,Unknown,-34.0953513,141.9360987
Binnaway Small Bore Rifle Club,Shooting Range,Unknown,-31.5498602,149.3628941
Popaway & Bang,Gun Shop,Unknown,-31.985073,115.9028746
Ballandean Clay Target Club,Shooting Range,"Ballandean, QLD",-28.8039679,151.8404214
Gel Blasters,Gun Shop,Unknown,-26.5402177,151.8391589
Retschlag Firearms,Gun Shop,Unknown,-24.4013692,150.5129336
Noarlunga City Pistol Club,Shooting Range,Unknown,-35.1898238,138.5023709
Teta's Authentic Lebanese (Google),Gun Shop,"Roseville Chase, New South Wales, 2069",-33.7785484,151.1952598
NT Field and Game,Shooting Range,Unknown,-12.4039928,130.9504493
Darwin Rifle Club,Shooting Range,Unknown,-12.4061045,130.9421485
SSAA Darwin,Shooting Range,Unknown,-12.4007449,130.9475998
Darwin Pistol Club,Shooting Range,Unknown,-12.39726,130.9525414
Darwin Clay Target Shooting Club,Shooting Range,Unknown,-12.401114,130.8836993
Rosedale Rifle Clubs Inc.,Shooting Range,"Rosedale, VIC, 3847",-38.1702405,146.811766
Terry Hills Gun Shop,Gun Shop,Unknown,-33.6833369,151.2248169
Foodland Yorketown (Google),Gun Shop,"Yorketown, South Australia, 5576",-35.0191566,137.6028283
Sunshine Coast Gun Shop,Gun Shop,Unknown,-26.6587083,153.0958966
Hornsby Rifle Range,Shooting Range,Unknown,-33.6892507,151.08864
Mount Isa S.S.A.A. Rifle Range,Shooting Range,Unknown,-20.7201389,139.6344381
Mount Isa Rifle Range,Shooting Range,Unknown,-20.7149553,139.6360929
Richmond Pistol Club,Shooting Range,Unknown,-20.7506474,143.1450195
Castlemaine Rifle Range,Shooting Range,Unknown,-37.0573077,144.1966385
Rifle Range,Shooting Range,Unknown,-38.3125729,144.6759509
St Ives Pistol Club,Shooting Range,Unknown,-33.7057727,151.2007534
Melbourne International Shooting Club,Shooting Range,Unknown,-37.8295832,144.91348
Canberra National Pistol Club (Google),Shooting Range,"Canberra, 2612",-35.283165,149.1646096
Frankston Clay Target Club,Shooting Range,Unknown,-38.0804131,145.1653085
Castlemaine Pistol Club,Shooting Range,Unknown,-37.077709,144.243765
Clay Target Club,Shooting Range,Unknown,-23.7563982,133.9191034
Sydney Pistol Club,Shooting Range,Unknown,-33.9930247,151.2500965
Range 1,Shooting Range,Unknown,-33.7220521,150.806167
New South Wales Gun Club,Shooting Range,Unknown,-33.673042,151.1929285
Ararat Pistol Club (Google),Shooting Range,"Ararat, Victoria, 3377",-37.2737293,142.9501468
Ravenshoe and District S.S.A.A. Rifle Range,Shooting Range,Unknown,-17.6141607,145.4730375
Ravenshoe Mount Garnet Rifle Club,Shooting Range,Unknown,-17.6138999,145.4736707
Melbourne Gun Club,Shooting Range,Unknown,-37.6862144,145.3494855
Abela's Gun Shop,Gun Shop,Unknown,-34.0593785,150.8176006
Darling Downs Rifle Club,Shooting Range,Unknown,-27.537234,151.9707892
Kempsey Rifle Range,Shooting Range,Unknown,-31.1116051,152.8547159
Facility on Munda Biddi Trail,Shooting Range,"Western Australia, 6124",-32.3147462,116.1031938
Facility on Jarrahdale Road,Shooting Range,"Western Australia, 6124",-32.318364,116.1029309
Warren Gun Club,Shooting Range,Unknown,-31.6925072,147.8167924
Julia Creek Pistol & Rifle Range,Shooting Range,"Julia Creek, 4823",-20.6103557,141.6648138
Nepean Clay Target Club,Shooting Range,Cape Schanck,-38.4521481,144.9118563
Diamond Valley Pistol Club,Shooting Range,Unknown,-37.6201025,145.1291304
Brisbane Pistol Club (Google),Shooting Range,"Belmont, Queensland, 4153",-27.5107984,153.1364165
Queensland Military Rifle Club (QMRC) (Google),Shooting Range,"Belmont, Queensland, 4153",-27.5149354,153.1403179
SSAA Rifle Range,Shooting Range,Unknown,-23.3703749,119.737048
Pistol Club,Shooting Range,Unknown,-23.3717844,119.7360944
Canning Pistol and Rifle Range,Shooting Range,"Canning Vale, WA, 6155",-32.0870019,115.8913323
Facility on Golden Highway,Shooting Range,New South Wales,-32.6412369,151.1680887
Unknown,Shooting Range,New South Wales,-32.6561739,151.1662286
S.S.A.A. Trap House,Shooting Range,Unknown,-20.7195713,139.6376601
SALMON GUMS COMMUNITY CARAVAN PARK (Google),Shooting Range,"Salmon Gums, Western Australia",-32.982108,121.6501224
Loxton Rifle Range,Shooting Range,Unknown,-34.4550242,140.6488582
Target Rifle Club,Shooting Range,Unknown,-38.1815531,144.3580713
Balaklava Sports Shooting Club (Google),Shooting Range,"Balaklava, South Australia, 5461",-34.1255017,138.4491351
Balaklava Sports Shooting Club (Google),Shooting Range,"Balaklava, South Australia, 5461",-34.1262294,138.4496429
Paintball Skirmish,Shooting Range,Unknown,-31.7924047,115.9970163
John Wood Sports Ground,Shooting Range,Unknown,-37.5602289,146.2429013
Winton Shooters,Shooting Range,Unknown,-22.3826268,143.0732562
Caboolture Clay Target Club,Shooting Range,Unknown,-27.1456035,153.0218279
Monarto State Range,Shooting Range,Unknown,-35.1472873,139.154881
Benalla Pistol Club,Shooting Range,Unknown,-36.6003158,145.9590427
Armidale Pistol Club,Shooting Range,Unknown,-30.5340527,151.6813245
Bendigo Pistol Club,Shooting Range,Unknown,-36.7579054,144.338521
Elizabeth Pistol Club,Shooting Range,Unknown,-34.7358788,138.688316
Newman Rifle Club (Disused),Shooting Range,Unknown,-23.3893038,119.7530716
Sydney International Shooting Centre (Google),Shooting Range,"Cecil Park, New South Wales, 2171",-33.8883099,150.8180716
Wingfield Rifle Club,Shooting Range,Unknown,-34.8368147,138.5510483
Mia Mia Rifle Range,Shooting Range,Unknown,-36.9742205,144.5599785
Gun Club (Google),Shooting Range,"Broken Hill, New South Wales, 2880",-31.9237523,141.4948466
Facility on Range Road,Shooting Range,"Broken Hill, New South Wales, 2880",-31.9239046,141.4982664
Grenfell Gun Club,Shooting Range,Unknown,-33.8765934,148.1163952
Port Phillip Field & Game,Shooting Range,Unknown,-38.4497378,144.912764
Dubbo Gun Club,Shooting Range,Unknown,-32.1402028,148.7103455
Warnambool Rifle Range,Shooting Range,Unknown,-38.4339793,142.5898959
Facility on Castlereagh Highway,Shooting Range,"Coonamble, New South Wales, 2829",-30.9803685,148.3892285
Facility on Heritage Trail,Shooting Range,Queensland,-22.5930982,144.5285012
Mt Hotham Whiskey Flat Biathlon Range,Shooting Range,Unknown,-37.0029628,147.1845757
Cobar Amateur Pistol Club,Shooting Range,Unknown,-31.4878935,145.8409804
Manjimup District Rifle Club,Shooting Range,Unknown,-34.1935819,116.153215
Yackandandah Pistol Club,Shooting Range,Unknown,-36.3575529,146.8823659
Bathurst Pistol Club,Shooting Range,Unknown,-33.4254193,149.5498756
Batemans Bay SSAA,Shooting Range,Unknown,-35.7441051,150.1577855
Wyong Distric Pistol Club,Shooting Range,Unknown,-33.1721048,151.589167
Kariong Regional Shooting Complex,Shooting Range,Unknown,-33.4575244,151.2697936
SSAA Para Range (Google),Shooting Range,"Greenwith, South Australia, 5125",-34.7539953,138.7036849
Facility on Mary McKillop Walk,Shooting Range,"Kapunda, South Australia, 5373",-34.3584508,138.9287169
Beverley Rifle Range,Shooting Range,Unknown,-32.1225515,116.9426122
Pingelly Rifle Range,Shooting Range,Unknown,-32.5472182,117.0832589
Taree Wingham ClayTarget Club,Shooting Range,Unknown,-31.8545912,152.3778995
Yarra Pistol Club,Shooting Range,Unknown,-37.9431715,145.3163238
