Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Walcha Gun Club,Shooting Range,Unknown,-30.939687,151.5690857
Unknown,Shooting Range,Unknown,-32.6791332,151.164553
Unknown,Shooting Range,Unknown,-32.676276,151.1736885
25m range (Google),Shooting Range,Unknown,-34.7195962,138.6213041
Tamworth Clay Target Club,Shooting Range,Unknown,-31.2166519,151.0240003
Warracknabeal Rifle Range,Shooting Range,Unknown,-36.2289362,142.4059246
Arnhem Gun Club,Shooting Range,Unknown,-12.2289016,136.8299537
Military Shooting Range,Shooting Range,Unknown,-35.2427328,149.2091486
Buchan Rifle Range,Shooting Range,Unknown,-37.5680428,148.1387426
Casino Rifle Range,Shooting Range,Unknown,-28.8754149,153.0353458
Broome Gun Club,Shooting Range,Unknown,-17.9880334,122.2089033
Colac Rifle Range,Shooting Range,Unknown,-38.3297796,143.5605953
Hopetoun Clay Target Club,Shooting Range,Unknown,-33.7990339,120.1902549
Three Springs Sporting Clays,Shooting Range,Unknown,-29.5142005,115.8192879
Bundaberg Clay Target Club,Shooting Range,Unknown,-24.8996606,152.3508662
Unknown,Shooting Range,Unknown,-24.9011636,152.3517915
Eric Bury Memorial Muckadilla Rifle Range,Shooting Range,Unknown,-26.5879668,148.3896833
Unknown,Shooting Range,Unknown,-22.7052437,117.7900754
Swan Hill Clay Target Club,Shooting Range,Unknown,-35.3333037,143.4558945
Whyalla Rifle Club,Shooting Range,Unknown,-33.0437254,137.5465598
Whyalla Clay Target Club,Shooting Range,Unknown,-33.0430032,137.5478998
Whyalla Pistol Club,Shooting Range,Unknown,-33.0419984,137.5531081
SSAA SA - Whyalla Branch,Shooting Range,Unknown,-33.0425652,137.5505334
Tenterfield Firearms,Gun Shop,Unknown,-29.0501831,152.0073784
SSAA Tenterfield N46 Range (Google),Shooting Range,Unknown,-29.0602694,152.0379496
McArthur River Clay Target Club (Google),Shooting Range,Unknown,-16.4407417,136.0679644
Unknown,Shooting Range,Unknown,-35.1665201,143.3503392
SSAA TO3 (Google),Shooting Range,Unknown,-42.8585818,147.2510563
Ararat Rifle Range (Google),Shooting Range,Unknown,-37.2815648,142.9111543
Birchip Rifle Range (Google),Shooting Range,Unknown,-35.9803564,142.9278833
Geelong Rifle Range (Google),Shooting Range,Unknown,-37.9922299,144.3283361
Glenrowan Rifle Range (Google),Shooting Range,Unknown,-36.4700852,146.2216924
Unknown,Shooting Range,Unknown,-37.7699675,142.0305402
Hamilton Rifle Range (Google),Shooting Range,Unknown,-37.7755851,142.0290261
Horsham Rifle Range (Google),Shooting Range,Unknown,-36.7353392,142.1443157
Karramomus Rifle Range (Google),Shooting Range,Unknown,-36.4918499,145.5059331
Katandra Rifle Range (Google),Shooting Range,Unknown,-36.2512624,145.6254222
Lang Lang Rife Range,Shooting Range,Unknown,-38.270143,145.5772032
Cowra Clay Target Club,Shooting Range,Unknown,-33.8365877,148.6487363
Pistol Club,Shooting Range,Unknown,-36.587623,145.9239278
Feild & Game,Shooting Range,Unknown,-36.6095897,145.9506343
Cootamundra Shooting Range,Shooting Range,Unknown,-34.65734,148.0126081
Kerang clay target club (Google),Shooting Range,Unknown,-35.734406,143.8668295
Moe Gun Club,Shooting Range,Unknown,-38.196046,146.2237103
Unknown,Shooting Range,Unknown,-35.2836798,149.2316827
Unknown,Shooting Range,Unknown,-35.2837094,149.2313353
Unknown,Shooting Range,Unknown,-35.2818893,149.2312067
Unknown,Shooting Range,Unknown,-35.2821411,149.2301124
Gold Coast Clay Target Club,Shooting Range,Unknown,-27.7580913,153.3363878
Holts Gun Shop,Gun Shop,Unknown,-38.3380502,143.577315
Jarrahdale Sporting Shooters Club,Shooting Range,Unknown,-32.3158572,116.1040101
Unknown,Shooting Range,Unknown,-32.315227,116.1045644
Unknown,Shooting Range,Unknown,-32.3152724,116.1042881
Unknown,Shooting Range,Unknown,-32.3146456,116.1023053
Atherton Rifle Range,Shooting Range,Unknown,-17.2749344,145.4531308
Unknown,Shooting Range,Unknown,-29.0624489,152.0379554
Unknown,Shooting Range,Unknown,-29.0627377,152.0379075
Unknown,Shooting Range,Unknown,-35.0701239,150.832454
Wagga Wagga Gun Club,Shooting Range,Unknown,-35.1318785,147.4124258
Dimboola Rifle Range (Google),Shooting Range,Unknown,-36.4669636,142.024276
Unknown,Shooting Range,Unknown,-28.8767932,153.0342872
Micket Creek Shooting Complex,Shooting Range,Unknown,-12.4008336,130.9456639
SSAA Darwin,Shooting Range,Unknown,-12.3979874,130.947163
Darwin Pistol Club,Shooting Range,Unknown,-12.396686,130.9516632
NT Field and Game,Shooting Range,Unknown,-12.404643,130.9500718
Darwin Clay Target Club,Shooting Range,Unknown,-12.401773,130.883402
Orange Clay Target Club,Shooting Range,Unknown,-33.2661894,149.2627295
Shooting Complex (Google),Shooting Range,Unknown,-25.3729756,151.1377073
Albany Rifle Club,Shooting Range,Unknown,-35.0596769,117.840524
Unknown,Shooting Range,Unknown,-35.0583397,117.8418982
Central Burnett Gun Club,Shooting Range,Unknown,-25.6162111,151.2990861
Rockhampton Pistol Club,Shooting Range,Unknown,-23.3828205,150.5775057
Rockhampton Clay Target Club,Shooting Range,Unknown,-23.3564622,150.4885671
Mersey Clay Target Club,Shooting Range,Unknown,-41.3306994,146.5773071
Unknown,Shooting Range,Unknown,-42.6757777,147.2891604
Canning Club (Google),Shooting Range,Unknown,-32.087114,115.890314
Canning Club (Google),Shooting Range,Unknown,-32.0867745,115.8916638
Silkwood Clay Target Club,Shooting Range,Unknown,-17.7478953,146.0256169
Night Training Facility,Shooting Range,Unknown,-12.4341355,130.9723631
Orana Range Complex,Shooting Range,Unknown,-32.1050134,148.8247082
Robinvale Rifle Range,Shooting Range,Unknown,-34.638853,142.7012294
Murrumba Pistol Club,Shooting Range,Unknown,-27.0657372,152.9461435
The Outpost,Gun Shop,Unknown,-23.3487016,150.5225064
Lightning Ridge Pistol Club,Shooting Range,Unknown,-29.4277544,147.9978624
Whyalla Rifle Club (Google),Shooting Range,Unknown,-33.0433847,137.5487182
Unknown,Shooting Range,Unknown,-33.0440759,137.5511512
Unknown,Shooting Range,Unknown,-33.0425106,137.5525398
Unknown,Shooting Range,Unknown,-33.8305576,146.2735228
Carnavon Clay Target Club,Shooting Range,Unknown,-24.9119028,113.7279108
Gun Emporium,Gun Shop,"Unit 1/47 Assembly Dr, Tullamarine VIC 3043, Australia",-37.708641899999996,144.8630231
Miall's Gun Shop,Gun Shop,"59-61 Playne St, Frankston VIC 3199, Australia",-38.145843,145.12495959999998
Apex Firearms and Defence,Gun Shop,"35 Superior Dr, Dandenong South VIC 3175, Australia",-38.033446399999995,145.2027912
Wild Outdoors Australia,Gun Shop,"24 Foch St, North Shore VIC 3214, Australia",-38.0937319,144.3706168
Melbourne Gun Works,Gun Shop,"4, 6 Ovata Dr, Tullamarine VIC 3043, Australia",-37.7114,144.866198
Great Southern Outdoors Inc. Boronia Firearms,Gun Shop,"77A Boronia Rd, Boronia VIC 3155, Australia",-37.862472,145.2876967
Northern Vic Ammo Supplies,Gun Shop,"Karobean/361 Lawrence Rd, Tungamah VIC 3728, Australia",-36.1892187,145.7899564
Sunbury Firearm Supplies,Gun Shop,"56 McDougall Rd, Sunbury VIC 3429, Australia",-37.5947269,144.7170174
H&S FIREARMS,Gun Shop,"shop 6/61 Princes Hwy, Sale VIC 3850, Australia",-38.0884162,147.0693718
Centreway Firearms,Gun Shop,"65 Wyong St, Keilor East VIC 3033, Australia",-37.732296999999996,144.866014
Yarra Valley Hunting and Recreation,Gun Shop,"4/9 Clarke St, Lilydale VIC 3140, Australia",-37.7581145,145.35055830000002
Pakenham Firearms,Gun Shop,"4 Bravo Lp, Pakenham VIC 3810, Australia",-38.1005776,145.48120179999998
Magnum Sports,Gun Shop,"19 Babbage Rd, Roseville Chase NSW 2069, Australia",-33.778481,151.19528699999998
Mansfield Hunting and Fishing,Gun Shop,"17 High St, Mansfield VIC 3722, Australia",-37.0521367,146.0912349
Gun Sport Trading,Gun Shop,"2/493 Main St, Bairnsdale VIC 3875, Australia",-37.835696999999996,147.602692
Delta Tactical,Gun Shop,"South Morang VIC 3752, Australia",-37.6481458,145.0845234
H. Rehfisch & Co,Gun Shop,"903 La Trobe St, Delacombe VIC 3356, Australia",-37.5718345,143.82277
CENTRAL VIC BANGSTICKS,Gun Shop,"2154 Beaufort-Lexton Rd, Lexton VIC 3352, Australia",-37.29671080000001,143.49952349999998
Buloke Firearms,Gun Shop,"77 Woods St, Donald VIC 3480, Australia",-36.3712241,142.9833086
Winchester Australia Ltd.,Gun Shop,"65 Hays Rd, Moolap VIC 3221, Australia",-38.157452,144.4387127
Gun World Australia,Gun Shop,"2/18 Elliott Ct, Hillcrest QLD 4118, Australia",-27.661585799999997,153.0332875
Marma Lake Firearms Pty Ltd,Gun Shop,"62 McClintock St, Murtoa VIC 3390, Australia",-36.621973,142.460973
Cleaver Firearms,Gun Shop,"27 Beaconsfield St, Margate QLD 4019, Australia",-27.2425,153.1080556
Firearms Warehouse (Gold Coast's Biggest Gun Shop),Gun Shop,"32 Strathaird Rd, Bundall QLD 4217, Australia",-28.0074927,153.4006004
Browns Plains Firearms,Gun Shop,"3/101 Grand Plaza Dr, Browns Plains QLD 4118, Australia",-27.6623999,153.0435281
On Target Sporting Arms,Gun Shop,"168 S Pine Rd, Enoggera QLD 4051, Australia",-27.4190963,152.997836
Owen Guns,Gun Shop,"24 McMahon Rd, Monkland QLD 4570, Australia",-26.218178700000003,152.68484899999999
Queensland Shooters Supplies,Gun Shop,"266 Brisbane St, West Ipswich QLD 4305, Australia",-27.6197436,152.7492121
The QStore,Gun Shop,"1485 Old Cleveland Rd, Belmont QLD 4153, Australia",-27.508018,153.1345019
Johnson’s Firearms,Gun Shop,"130A Howard St, Nambour QLD 4560, Australia",-26.62662,152.9657171
The Open Range,Gun Shop,"251 James St, Toowoomba City QLD 4350, Australia",-27.567230900000002,151.9444796
Pagan Firearms,Gun Shop,"14 Carlton St, Kirwan QLD 4817, Australia",-19.3016017,146.7336575
Collectors Armoury,Gun Shop,"42 John Rogers Rd, Mudgeeraba QLD 4213, Australia",-28.0988862,153.3265749
Guns Plus Ammo,Gun Shop,"1/2-6 Paul Ct, Jimboomba QLD 4280, Australia",-27.8256463,153.0298589
Mackay Gun Shop,Gun Shop,"7 Lawson St, Mackay QLD 4740, Australia",-21.1425988,149.192395
Downs Guns and Ammo,Gun Shop,"1/57 Grafton St, Warwick QLD 4370, Australia",-28.216480299999997,152.0360949
Hall's Firearms,Gun Shop,"103 Charters Towers Rd, Hyde Park QLD 4812, Australia",-19.2756658,146.8006987
Townsville Gun Shop,Gun Shop,"Unit 1/54 Pilkington St, Garbutt QLD 4814, Australia",-19.271515,146.7674147
Oakhurst Gun Works,Gun Shop,"67 Woocoo Dr, Oakhurst QLD 4650, Australia",-25.512062,152.618846
Valhalla Tactical & Outdoor,Gun Shop,"2/54 Pickering St, Enoggera QLD 4051, Australia",-27.4200846,152.9961588
Mount Morgan Guns,Gun Shop,"69 Morgan St, Mount Morgan QLD 4714, Australia",-23.6450826,150.3885321
ProShoot Guns & Storage,Gun Shop,"65 Bunya St, Maleny QLD 4552, Australia",-26.765331099999997,152.8560369
Southern Cross Militaria,Gun Shop,"13 Diagonal St, Toowoomba City QLD 4350, Australia",-27.5721575,151.94400059999998
Single Action Supplies Australia,Gun Shop,"597 Cooroy Noosa Rd, Tinbeerwah QLD 4563, Australia",-26.405113099999998,152.9708205
Spring Loaded Gun Shop Mareeba,Gun Shop,"62 Venture Rd, Mareeba QLD 4880, Australia",-17.0580004,145.4394992
The Gun Shed,Gun Shop,"3/3 Millennium Cct, Helensvale QLD 4212, Australia",-27.9294898,153.3340189
Cairns Shooters Supplies,Gun Shop,"205 Draper St, Parramatta Park QLD 4870, Australia",-16.928556,145.769895
3 Gun Tactical - By Appointment,Gun Shop,"unit 8/1631 Wynnum Rd, Tingalpa QLD 4173, Australia",-27.4746658,153.1308962
Mackay Shooters Supplies,Gun Shop,"Terminus Business Park, Unit 7/20-34 Caterpillar Dr, Paget QLD 4740, Australia",-21.185267,149.150717
John Vichie Firearms,Gun Shop,"24 Matthew St, Stanthorpe QLD 4380, Australia",-28.6577536,151.9352265
Aqusport,Gun Shop,"2/20 Expansion St, Ashmore QLD 4218, Australia",-27.9769282,153.35689739999998
Kingaroy Firearms & Supplies,Gun Shop,"106 Kingaroy St, Kingaroy QLD 4610, Australia",-26.543174699999998,151.83911129999998
Western Firearms,Gun Shop,"159-163 Penshurst St, Beverly Hills NSW 2209, Australia",-33.954794,151.0781216
Tex Gun Supplies,Gun Shop,"13 Palomino Ave, Tolga QLD 4882, Australia",-17.20338,145.46187300000003
Alpha Hunting and Outdoors,Gun Shop,"Shop 2/33 Archibald St, Dalby QLD 4405, Australia",-27.1806725,151.26415169999999
Dalzell Rifle Smithing,Gun Shop,"Hampton QLD 4352, Australia",-27.356261099999998,152.06892
Roma Outdoors & Sports,Gun Shop,"47 McDowall St, Roma QLD 4455, Australia",-26.5717771,148.7916884
Under Resistance - by appointment,Gun Shop,"unit 8/1631 Wynnum Rd, Tingalpa QLD 4173, Australia",-27.4744407,153.1309068
Balonne Sports Store,Gun Shop,"108 Victoria St, St George QLD 4487, Australia",-28.036539800000003,148.58127869999998
Bartley Rural Guns & Gear,Gun Shop,"20 High St, Texas QLD 4385, Australia",-28.855192600000002,151.1667503
Barry & Son Firearms Military Collectables,Gun Shop,"8 Clapham St, Beckenham WA 6107, Australia",-32.02691,115.95225
DOWNRANGE PERTH FIREARMS,Gun Shop,"Unit 3/52 Erindale Rd, Balcatta WA 6021, Australia",-31.8652779,115.80720459999999
Claremont Firearms,Gun Shop,"28 Erceg Rd, Yangebup WA 6164, Australia",-32.1202877,115.7991581
Beaton Firearms,Gun Shop,"3/8 Sampson St, Maddington WA 6109, Australia",-32.0488351,115.980782
Lock & Load Guns and Ammo,Gun Shop,"The Grange Business Centre 8, 15 Tomlinson Rd, Welshpool WA 6106, Australia",-31.992984,115.92443259999999
Shooters Shed,Gun Shop,"3/73 Buckingham Dr, Wangara WA 6065, Australia",-31.787605300000003,115.8267139
Roy Alexander & Sons,Gun Shop,"44 Eighth Ave, Maylands WA 6051, Australia",-31.929650600000002,115.89333570000001
Downrange Midland,Gun Shop,"Unit 2/212 Great Eastern Hwy, Midland WA 6056, Australia",-31.891909100000003,116.01585139999999
The Hunters Den,Gun Shop,"170 Winton Rd, Joondalup WA 6027, Australia",-31.7423288,115.76261029999998
Steelos Outdoors,Gun Shop,"175 Federal St, Narrogin WA 6312, Australia",-32.9438714,117.18026540000001
Pro Firearms,Gun Shop,"12 Iron St, Malaga WA 6090, Australia",-31.858596700000003,115.9069886
Southwest Firearms,Gun Shop,"29 Fairlawn Rd, Busselton WA 6280, Australia",-33.6628308,115.3457885
The Gun Store,Gun Shop,"Unit 3/13 Shanahan Rd, Davenport WA 6230, Australia",-33.3646262,115.67309580000001
Cockburn Guns & Ammo,Gun Shop,"438 Carrington St, Hamilton Hill WA 6163, Australia",-32.0859575,115.77708429999998
Horsley Park Gun Shop,Gun Shop,"1848 The Horsley Dr, Horsley Park NSW 2175, Australia",-33.841572,150.84659399999998
The Shooters Shop,Gun Shop,"2/7 Hampton St, Greenfields WA 6210, Australia",-32.5119095,115.75008360000001
CBS Firearms,Gun Shop,"80 Wilson Rd, Mount Barker WA 6324, Australia",-34.549299999999995,117.60004769999998
Granny's Guns & Ammo,Gun Shop,"Rear/Unit 55 Fitzgerald St E, Northam WA 6401, Australia",-31.650001399999997,116.6741496
Progress Equipment,Gun Shop,"1/178 Star St, Carlisle WA 6101, Australia",-31.9831726,115.9250234
Batavia Coast Firearms & Ammunition,Gun Shop,"281 Place Rd, Webberton WA 6530, Australia",-28.758946599999998,114.6340006
Ray's Firearms & Archery,Gun Shop,"298 York St, Albany WA 6330, Australia",-35.0211687,117.8837481
DERBY FIREARM SUPPLIES,Gun Shop,"Lot 684 Fitzroy St, Derby WA 6728, Australia",-17.3267269,123.65296699999999
Thomson Gunsmithing And Precision Rifles,Gun Shop,"2021 Toodyay Rd, Gidgegannup WA 6083, Australia",-31.794329500000003,116.19323499999999
The Adelaide Gun Shop Pty Ltd,Gun Shop,"212 Gouger St, Adelaide SA 5000, Australia",-34.930425899999996,138.5910956
C & S Sporting Arms,Gun Shop,"13/15 Langford St, Pooraka SA 5095, Australia",-34.8198906,138.63579099999998
SARA Store,Gun Shop,"10 Gum Ave, Dry Creek SA 5094, Australia",-34.837597599999995,138.5893227
Gunforce,Gun Shop,"28 Orsmond St, Hindmarsh SA 5007, Australia",-34.9075805,138.5726319
The Gunnery - Gun Shop & Shooting Range,Gun Shop,"51 Beach Rd, Christies Beach SA 5165, Australia",-35.139017599999995,138.4755116
Projectile Warehouse,Gun Shop,"809-811 South Rd, Clarence Gardens SA 5039, Australia",-34.9681251,138.5736111
Range and Field,Gun Shop,"516 S Para Rd, Kersbrook SA 5231, Australia",-34.7114589,138.8820366
Safari Zoomer Tactical,Gun Shop,"2/12 Mengel Ct, Salisbury South SA 5106, Australia",-34.7882007,138.6454449
Murraylands Firearms,Gun Shop,"67 Railway Terrace, Tailem Bend SA 5260, Australia",-35.255804499999996,139.4559117
Gunning For You,Gun Shop,"41 Maude St, Encounter Bay SA 5211, Australia",-35.5593802,138.60128939999998
FlindersOutdoors,Gun Shop,"54 Esmond Rd, Port Pirie South SA 5540, Australia",-33.1929825,138.0117604
Western Adelaide Firearms. Appointment only.,Gun Shop,"Jh, Ferryden Park SA 5013, Australia",-34.8632132,138.5565021
Woolfwinch Guns & Ammo,Gun Shop,"Warnertown SA 5540, Australia",-33.2363651,138.119899
Classic Firearms,Gun Shop,"230 Tea Tree Glen Rd, Nalyappa SA 5558, Australia",-34.19900810000001,137.5701367
Ziersch Custom Rifles,Gun Shop,"2 Stanley St, Auburn SA 5451, Australia",-34.0276635,138.69082260000002
Oz Gun Mart,Gun Shop,"6/2a Madeline St, Strathfield South NSW 2136, Australia",-33.896611199999995,151.0794846
Williams Outdoors - New Norfolk Gun Shop,Gun Shop,"41 High St, New Norfolk TAS 7140, Australia",-42.781084,147.063376
Gun Sales & Service PTY LTD,Gun Shop,"Unit 2/190 Invermay Rd, Mowbray TAS 7248, Australia",-41.4106853,147.1325951
Southeast Firearms,Gun Shop,"Unit 3/31 Cole St, Sorell TAS 7172, Australia",-42.781191799999995,147.5631262
Rod & Range Sports,Gun Shop,"351 Main Rd, Glenorchy TAS 7010, Australia",-42.8333663,147.27839659999998
The Hunting Shed,Gun Shop,"41A Besser Cres, Camdale TAS 7320, Australia",-41.0413551,145.8508148
Brighton Hunting & Outdoors,Gun Shop,"24 Elderslie Rd, Brighton TAS 7030, Australia",-42.702059000000006,147.2462051
J and J Guns,Gun Shop,"137 Weld St, Beaconsfield TAS 7270, Australia",-41.2002074,146.8157863
Griffiths Guns & Ammo,Gun Shop,"180 Wandilla Rd, Quamby Brook TAS 7304, Australia",-41.5952987,146.7348274
AmmoInk,Gun Shop,"50 William St, Ulverstone TAS 7315, Australia",-41.1642497,146.18135680000003
Rolf Hey Gunsmith and General Engineer,Gun Shop,"2 Merriworth Rd, Tea Tree TAS 7017, Australia",-42.6898379,147.3318926
Elite Arms & Ammo,Gun Shop,"3/45 Heffernan St, Mitchell ACT 2911, Australia",-35.218508899999996,149.1418268
Monaro Arms - Canberra Gun Shop,Gun Shop,"Unit 6/105 Newcastle St, Fyshwick ACT 2609, Australia",-35.3286604,149.17641989999998
Tough Gear Hunting,Gun Shop,"35 Carrington St, Queanbeyan NSW 2620, Australia",-35.3402554,149.2406617
Valhalla Tactical & Outdoor,Gun Shop,"34 Wollongong St, Fyshwick ACT 2609, Australia",-35.326032999999995,149.179316
ACT Firearms Registry,Gun Shop,"86 Vicars St, Mitchell ACT 2911, Australia",-35.2096479,149.1408002
Ironside Military & Security,Gun Shop,"Unit 4/64-66 Wollongong St, Fyshwick ACT 2609, Australia",-35.324291200000005,149.18014599999998
Military Shop,Gun Shop,"65 Kembla St, Fyshwick ACT 2609, Australia",-35.3233345,149.17398369999998
Canberra National Pistol Club,Gun Shop,"20 Mount Ainslie Dr, Campbell ACT 2612, Australia",-35.2834433,149.1625551
Coolalinga Guns & Ammo,Gun Shop,"26 McKenzie Pl, Yarrawonga NT 0830, Australia",-12.4689006,130.98435039999998
Fishing & Outdoor World,Gun Shop,"36 Cavenagh St, Darwin City NT 0800, Australia",-12.461991,130.84278799999998
Rod & Rifle Tackleworld,Gun Shop,"12 Giles St, Katherine NT 0850, Australia",-14.463575599999999,132.26519919999998
Valhalla Tactical & Outdoor,Gun Shop,"1 Calvin St, Yarrawonga NT 0830, Australia",-12.4717908,130.98589479999998
Hansen Custom,Gun Shop,"4 Bathurst St, Leanyer NT 0812, Australia",-12.3745777,130.8920067
Gun Supplies,Gun Shop,"43 Dixon Rd, Braitling NT 0870, Australia",-23.6754788,133.8683465
Mitchells Adventure,Gun Shop,"788 Stuart Hwy, Berrimah NT 0828, Australia",-12.443273,130.94708
The NT General Store,Gun Shop,"42 Cavenagh St, Darwin City NT 0800, Australia",-12.4611539,130.84244859999998
Goldfields Guns And Ammo,Gun Shop,"113 Paterson St, Tennant Creek NT 0860, Australia",-19.643908,134.19101799999999
Badlands,Gun Shop,"2/7 Hoyle Ave, Castle Hill NSW 2154, Australia",-33.7316587,150.98341489999999
Arms & Ammo,Gun Shop,"5/3 Arunga Dr, Beresfield NSW 2322, Australia",-32.809498,151.639683
Herron Security & Sport,Gun Shop,"Willoughby NSW 2068, Australia",-33.803557,151.1989173
Lock N Load Firearm Supplies,Gun Shop,"16/9-11 Willow Tree Rd, Wyong NSW 2259, Australia",-33.2647385,151.44768480000002
Twin Rivers Firearms,Gun Shop,"Unit 1/12 Corporation Ave, Robin Hill NSW 2795, Australia",-33.415247199999996,149.5482965
Extreme Outdoor Sports Pty Ltd,Gun Shop,"154 Industrial Rd, Oak Flats NSW 2529, Australia",-34.564473899999996,150.8044755
Buy A Safe,Gun Shop,"203 Victoria Rd, Marrickville NSW 2204, Australia",-33.909472,151.162059
Old West Guns,Gun Shop,"83 Amber Way, Kundabung NSW 2441, Australia",-31.186051900000002,152.81286620000003
Newcastle Armoury,Gun Shop,"Unit 2/78 Seventh St, Boolaroo NSW 2284, Australia",-32.954763,151.61657549999998
Bullets & Bits,Gun Shop,"139 Kite St, Orange NSW 2800, Australia",-33.2858385,149.1025186
Wilson's Target Arms,Gun Shop,"439 Avoca Dr, Green Point NSW 2251, Australia",-33.464673499999996,151.370455
Young Guns and Ammunition,Gun Shop,"79-81 Boorowa St, Young NSW 2594, Australia",-34.313381899999996,148.2984998
South West Shooting Supplies,Gun Shop,"2/6 Corcoran Ct, Boorowa NSW 2586, Australia",-34.4317697,148.7341179
